left_out,n,interaction,atr_main,ext_main
2021,265,0.036877452297994995,-0.17898582622334855,-0.018200887718039682
2022,278,0.052771113054345356,-0.16906837739451436,-0.016206072747267958
2023,275,0.04218631522835317,-0.06536021283979304,-0.015297008065956068
2024,263,0.023650970828735622,0.13995238024931428,-0.019711689268040622
2025_H1,295,0.03547412290191846,-0.05754966225446843,-0.022711965146961943
2025_H2,294,0.04038200447834498,-0.10774655457319658,-0.010226835374566437
2026_JAN_JUL,292,0.04219996728731691,-0.2388814882062244,-0.02394421312960976
