variant,kind,qualifying_h4_all,qualifying_h4_eval,episodes_all,permission_hours_eval,permission_pct_eval,trades,mean_trades_month,median_trades_month,pct_months_ge8,pct_months_ge10,gross_expectancy_r,commission_expectancy_r,spread20_expectancy_r,spread40_expectancy_r,pf_spread40,cum_spread40_r,mean_spread40_r_month,max_dd_r,max_dd_pct_at_025,max_consecutive_losses,win_rate_net40,median_hold_h,p90_hold_h,timeout_frac,positive_blocks,min_block_cum_r,top_abs_trade_share,h2_expansion_edge,h3_dual,target_dual
C0_E75_CORE,CONTROL,62,53,42,964.0,0.03145392847820412,98,2.3333333333333335,0.0,0.09523809523809523,0.07142857142857142,0.18126842381389616,0.17213914172207218,0.12371876069019865,0.07529837965832512,1.140735157481485,7.379241206515861,0.17569621920275863,7.683614747470914,1.9209036868677285,5,0.5,1.3416666666666668,8.0,0.1326530612244898,3,-2.8042107122610407,0.013718968906444282,False,False,False
C1_EXPANSION_RAW_24H,CONTROL,848,804,98,5200.0,0.16966849386583138,444,10.571428571428571,9.5,0.5476190476190477,0.5,0.15104636901813834,0.1410144957913508,0.08608402318917402,0.03115355058699717,1.0537279870634455,13.832176460626744,0.3293375347768274,21.55268764909853,5.3881719122746325,8,0.46846846846846846,1.2333333333333334,5.188333333333332,0.060810810810810814,3,-14.135997711359074,0.005413335490278573,False,False,False
X1_EXP_LIVE4H,EXP,848,804,107,3216.0,0.10493343774471417,351,8.357142857142858,6.0,0.42857142857142855,0.40476190476190477,0.1655484763979396,0.15582805673349076,0.10277368570346156,0.04971931467343231,1.087376165116226,17.45147945037474,0.4155114154851127,15.874677017378303,3.968669254344576,10,0.4757834757834758,1.2666666666666666,5.433333333333334,0.07122507122507123,3,-5.045493187218687,0.006865273210013733,False,False,False
X2_EXP_FORMING_LIVE4H,EXP,270,261,98,1044.0,0.034064212999216914,176,4.190476190476191,4.0,0.23809523809523808,0.047619047619047616,0.09875373104599944,0.08982600047269941,0.04173572896985642,-0.006354542532986577,0.989228599247662,-1.1183994858056376,-0.02662855918584856,15.544866994553308,3.886216748638327,8,0.44886363636363635,1.35,6.091666666666667,0.08522727272727272,3,-6.8035906459579865,0.013857610378671545,False,False,False
X3_EXP_MATURE_LIVE4H,EXP,578,543,77,2172.0,0.07086922474549726,253,6.023809523809524,4.0,0.3333333333333333,0.2857142857142857,0.17276585466610378,0.1637587359935075,0.11438272262408437,0.06500670925466123,1.1202596177210846,16.446697441429293,0.39158803431974515,11.15234859983357,2.7880871499583924,6,0.48221343873517786,1.2333333333333334,8.0,0.1067193675889328,4,0.5077624203059838,0.007631453808643988,False,False,False
X4_EXP_ADX_HIGH_LIVE4H,EXP,720,682,92,2728.0,0.08901070216653616,298,7.095238095238095,5.5,0.42857142857142855,0.35714285714285715,0.1674454914214638,0.15756111656480415,0.10246641596299835,0.04737171536119259,1.0829419863803247,14.116771177635393,0.3361135994675093,14.534689797925584,3.633672449481396,10,0.47315436241610737,1.2166666666666666,5.305000000000002,0.07046979865771812,3,-1.9523862576199764,0.008073460005134607,False,False,False
X5_EXP_BREAKOUT_ACCEPT_LIVE4H,EXP,219,208,135,832.0,0.02714695901853302,156,3.7142857142857144,2.0,0.21428571428571427,0.09523809523809523,0.13820714626638184,0.1316213202792116,0.09836939534256632,0.06511747040592102,1.1209625839805257,10.158325383323678,0.24186489007913511,13.582845256903033,3.3957113142257582,8,0.47435897435897434,2.033333333333333,8.0,0.1282051282051282,3,-11.522016775026113,0.01606918106111553,False,False,False
X6_EXP_NO_G1_LIVE4H,EXP,832,788,107,3152.0,0.10284521012790394,344,8.19047619047619,6.0,0.42857142857142855,0.40476190476190477,0.16746370702231647,0.1577178563647867,0.10420526264716395,0.050692668929541246,1.089236641118357,17.438278111762187,0.41519709789909953,15.636454634045698,3.9091136585114246,10,0.47674418604651164,1.2583333333333333,5.503333333333332,0.07267441860465117,3,-5.045493187218687,0.007010512967285371,False,False,False
D0_CORE_PLUS_RAW_EXP24H,DUAL_DIAG,910,857,128,6052.0,0.1974680240146176,518,12.333333333333334,10.5,0.6190476190476191,0.5476190476190477,0.15094764011981218,0.141082605641922,0.08741555439520059,0.03374850314847917,1.0588665465367402,17.48172463091221,0.41623153883124314,19.323143636119045,4.830785909029761,8,0.47297297297297297,1.275,5.433333333333334,0.07528957528957529,2,-6.679319102073976,0.0046811644875457215,False,False,False
D1_CORE_PLUS_EXP_LIVE4H,DUAL,910,857,139,4088.0,0.13338553902375358,429,10.214285714285714,8.5,0.5476190476190477,0.47619047619047616,0.1637447323048563,0.15421400429913096,0.10267190961748962,0.0511298149358483,1.0908776960187585,21.93469060747892,0.5222545382733076,15.636454634045698,3.9091136585114246,10,0.4801864801864802,1.2833333333333334,6.093333333333332,0.08624708624708624,3,-1.4907178046451697,0.005671461400631894,False,False,False
D2_CORE_PLUS_EXP_FORMING_LIVE4H,DUAL,332,314,130,1928.0,0.06290785695640824,256,6.095238095238095,6.0,0.40476190476190477,0.2619047619047619,0.11726418596563457,0.10840155906362547,0.061182786012741255,0.013964012961857022,1.0243651630609911,3.5747873182353977,0.08511398376750964,13.734862878159353,3.4337157195398382,7,0.46484375,1.35,8.0,0.10546875,2,-0.6879442218009011,0.009636694118695315,False,False,False
D3_CORE_PLUS_EXP_MATURE_LIVE4H,DUAL,640,596,114,3124.0,0.10193161054554946,336,8.0,6.5,0.40476190476190477,0.3333333333333333,0.15611368406643114,0.1470242494330697,0.09780834954225866,0.04859244965144764,1.0880457589116386,16.327063082886408,0.38873959721158113,11.716192033664539,2.9290480084161348,6,0.4791666666666667,1.25,8.0,0.10416666666666667,3,-1.6590986199810696,0.005714991179959091,False,False,False
D4_CORE_PLUS_EXP_ADX_HIGH_LIVE4H,DUAL,782,735,128,3632.0,0.11850691725398069,380,9.047619047619047,8.0,0.5238095238095238,0.4523809523809524,0.14615192470184984,0.1364646467744691,0.0833535364364626,0.030242426098456166,1.0528244248775382,11.492121917413343,0.2736219504146033,20.584176204145354,5.1460440510363386,10,0.4710526315789474,1.2333333333333334,7.235,0.0868421052631579,2,-2.859916552431192,0.006408856712625974,False,False,False
D5_CORE_PLUS_EXP_BREAKOUT_ACCEPT_LIVE4H,DUAL,281,261,165,1752.0,0.05716523101018011,240,5.714285714285714,5.0,0.2857142857142857,0.2619047619047619,0.1466637073360915,0.13925021103676655,0.1010590821673544,0.06286795329794234,1.1168296983469772,15.088308791506162,0.3592454474168132,12.286155322524605,3.0715388306311513,5,0.48333333333333334,1.5583333333333333,8.0,0.13333333333333333,3,-3.9055306790891944,0.010469467363333587,False,False,False
D6_CORE_PLUS_EXP_NO_G1_LIVE4H,DUAL,894,841,140,4032.0,0.13155833985904464,425,10.119047619047619,8.5,0.5476190476190477,0.4523809523809524,0.16881527096184343,0.15927335326559122,0.10751220608349542,0.05575105890139962,1.0994849141771152,23.694200033094837,0.5641476198355914,15.636454634045698,3.9091136585114246,10,0.4823529411764706,1.2833333333333334,6.14666666666667,0.08705882352941176,3,-0.897755564228834,0.005724008054560451,False,False,False
