fill_time,entry,family,gate,episode,activation,evidence,atr15,sl,tp,stop_dist,exit_time,exit_price,reason,holding_hours,gross_r,commission_r,net_comm_r,net20_r,net40_r,prio,variant
2025-12-22 22:20:00,4432.76,OB_RETEST,75,126,2025-12-22 22:15:00,100,5.163571428571556,4427.596428571429,4440.505357142857,5.163571428571231,2025-12-22 23:02:00,4440.505357142857,TP,0.7,1.5,0.012018549730253607,1.4879814502697464,1.4492485688200285,1.4105156873703106,1,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
2025-12-23 05:18:00,4484.95,OB_RETEST,75,126,2025-12-23 04:45:00,100,8.424999999999986,4475.9975,4498.378749999999,8.952499999999418,2025-12-23 07:57:00,4475.9975,SL,2.65,-1.0,0.00701360513823,-1.00701360513823,-1.02935373359397,-1.05169386204971,1,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
2025-12-24 05:15:00,4485.29,SWEEP_RECLAIM,75,127,2025-12-24 05:15:00,100,11.509999999999959,4467.9490000000005,4511.3015,17.34099999999944,2025-12-24 13:15:00,4487.84,TIME,8.0,0.14705034311748252,0.0036211325759761275,0.1434292105415064,0.1318958502969988,0.12036249005249118,0,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
2026-01-20 14:03:00,4729.835,FVG_RETEST,75,128,2026-01-20 14:00:00,100,6.0307142857141764,4720.926928571428,4743.197107142858,8.90807142857193,2026-01-20 15:21:00,4720.926928571428,SL,1.3,-1.0,0.007433448477704391,-1.0074334484777043,-1.0298849972336468,-1.052336545989589,2,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
2026-01-20 20:25:00,4762.27,BOS_RETEST,75,129,2026-01-20 20:15:00,100,9.82357142857154,4739.627642857143,4796.233535714287,22.64235714285769,2026-01-21 03:06:00,4796.233535714287,TP,6.683333333333334,1.50000000000002,0.0029445600376032826,1.4970554399624167,1.4882224373409079,1.4793894347193992,3,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
2026-01-21 06:12:00,4838.445,FVG_RETEST,75,129,2026-01-21 06:00:00,100,15.230714285714255,4815.856928571428,4872.327107142857,22.58807142857131,2026-01-21 07:18:00,4872.327107142857,TP,1.1,1.5000000000000202,0.002998849645672668,1.4970011503543474,1.4881469194549788,1.4792926885556104,2,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
2026-01-21 08:36:00,4878.14,BOS_RETEST,75,129,2026-01-21 08:30:00,100,12.270714285714153,4857.6429285714285,4908.885607142858,20.49707142857187,2026-01-21 08:46:00,4857.6429285714285,SL,0.16666666666666666,-1.0,0.0033318886670220464,-1.003331888667022,-1.0130893801553529,-1.0228468716436836,3,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
2026-01-22 21:49:00,4906.549999999999,FVG_RETEST,75,130,2026-01-22 20:30:00,100,10.442142857142958,4896.107857142856,4922.213214285714,10.442142857143153,2026-01-22 22:05:00,4922.213214285714,TP,0.26666666666666666,1.4999999999999565,0.006578314522196953,1.4934216854777596,1.4742685286270862,1.4551153717764131,2,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
2026-01-23 01:30:00,4930.625,FVG_RETEST,75,130,2026-01-23 00:00:00,100,9.866428571428644,4913.143357142857,4956.8474642857145,17.481642857143015,2026-01-23 01:53:00,4956.8474642857145,TP,0.38333333333333336,1.5,0.003948642044920555,1.4960513579550794,1.4846107855995883,1.4731702132440971,2,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
2026-01-23 03:01:00,4951.67,OB_RETEST,75,130,2026-01-23 03:00:00,100,13.26071428571426,4929.143928571429,4985.459107142857,22.526071428571413,2026-01-23 10:22:00,4929.143928571429,SL,7.35,-1.0,0.0030774731501593414,-1.0030774731501593,-1.0119560741363183,-1.020834675122477,1,X5_EXP_BREAKOUT_ACCEPT_LIVE4H
