month,trades,net40_r,expectancy_net40,variant
2023-01,0,0.0,,C0_E75_CORE
2023-02,0,0.0,,C0_E75_CORE
2023-03,4,2.615030482259243,0.6537576205648108,C0_E75_CORE
2023-04,3,3.0798746774551047,1.026624892485035,C0_E75_CORE
2023-05,0,0.0,,C0_E75_CORE
2023-06,0,0.0,,C0_E75_CORE
2023-07,4,-2.856677382418017,-0.7141693456045043,C0_E75_CORE
2023-08,0,0.0,,C0_E75_CORE
2023-09,0,0.0,,C0_E75_CORE
2023-10,0,0.0,,C0_E75_CORE
2023-11,5,-2.8976734049752344,-0.5795346809950469,C0_E75_CORE
2023-12,6,5.522420384584649,0.9204033974307748,C0_E75_CORE
2024-01,0,0.0,,C0_E75_CORE
2024-02,0,0.0,,C0_E75_CORE
2024-03,2,0.1770893495750332,0.0885446747875166,C0_E75_CORE
2024-04,0,0.0,,C0_E75_CORE
2024-05,0,0.0,,C0_E75_CORE
2024-06,0,0.0,,C0_E75_CORE
2024-07,0,0.0,,C0_E75_CORE
2024-08,11,-1.3523378259352832,-0.12293980235775302,C0_E75_CORE
2024-09,6,1.3183780748066165,0.21972967913443608,C0_E75_CORE
2024-10,3,2.303693327934983,0.7678977759783278,C0_E75_CORE
2024-11,0,0.0,,C0_E75_CORE
2024-12,0,0.0,,C0_E75_CORE
2025-01,0,0.0,,C0_E75_CORE
2025-02,3,1.7349893716530511,0.5783297905510171,C0_E75_CORE
2025-03,10,-3.447247395192845,-0.3447247395192845,C0_E75_CORE
2025-04,3,-3.1878435298546144,-1.062614509951538,C0_E75_CORE
2025-05,0,0.0,,C0_E75_CORE
2025-06,4,0.7198603179615619,0.17996507949039048,C0_E75_CORE
2025-07,0,0.0,,C0_E75_CORE
2025-08,0,0.0,,C0_E75_CORE
2025-09,7,4.939643859219674,0.7056634084599535,C0_E75_CORE
2025-10,0,0.0,,C0_E75_CORE
2025-11,1,0.9217958797931157,0.9217958797931157,C0_E75_CORE
2025-12,10,0.5924557319098647,0.059245573190986466,C0_E75_CORE
2026-01,4,-0.3678595730755534,-0.09196489326888835,C0_E75_CORE
2026-02,8,1.6971651544483002,0.21214564430603752,C0_E75_CORE
2026-03,4,-4.133516293633788,-1.033379073408447,C0_E75_CORE
2026-04,0,0.0,,C0_E75_CORE
2026-05,0,0.0,,C0_E75_CORE
2026-06,0,0.0,,C0_E75_CORE
2023-01,20,-10.518560305465384,-0.5259280152732692,C1_EXPANSION_RAW_24H
2023-02,0,0.0,,C1_EXPANSION_RAW_24H
2023-03,14,-1.269999980414892,-0.09071428431534943,C1_EXPANSION_RAW_24H
2023-04,2,-2.32527900097622,-1.16263950048811,C1_EXPANSION_RAW_24H
2023-05,6,-1.9880066261826876,-0.3313344376971146,C1_EXPANSION_RAW_24H
2023-06,0,0.0,,C1_EXPANSION_RAW_24H
2023-07,7,-4.028153562036514,-0.5754505088623592,C1_EXPANSION_RAW_24H
2023-08,0,0.0,,C1_EXPANSION_RAW_24H
2023-09,0,0.0,,C1_EXPANSION_RAW_24H
2023-10,10,5.920527093249532,0.5920527093249532,C1_EXPANSION_RAW_24H
2023-11,9,1.589179278644934,0.17657547540499266,C1_EXPANSION_RAW_24H
2023-12,12,-1.5157046081778442,-0.1263087173481537,C1_EXPANSION_RAW_24H
2024-01,0,0.0,,C1_EXPANSION_RAW_24H
2024-02,2,-0.04472799570195418,-0.02236399785097709,C1_EXPANSION_RAW_24H
2024-03,21,9.627307662920003,0.45844322204380966,C1_EXPANSION_RAW_24H
2024-04,20,1.4307559064042457,0.07153779532021229,C1_EXPANSION_RAW_24H
2024-05,16,-6.13797651625253,-0.3836235322657831,C1_EXPANSION_RAW_24H
2024-06,2,-2.157864141143591,-1.0789320705717955,C1_EXPANSION_RAW_24H
2024-07,19,-2.175890253475076,-0.11452053965658295,C1_EXPANSION_RAW_24H
2024-08,17,-1.9124678557415766,-0.11249810916126922,C1_EXPANSION_RAW_24H
2024-09,19,-2.1459880417349124,-0.1129467390386796,C1_EXPANSION_RAW_24H
2024-10,16,8.895388700828804,0.5559617938018002,C1_EXPANSION_RAW_24H
2024-11,1,1.3743503051888228,1.3743503051888228,C1_EXPANSION_RAW_24H
2024-12,6,0.6339120206780933,0.10565200344634888,C1_EXPANSION_RAW_24H
2025-01,18,-4.985925205170332,-0.27699584473168515,C1_EXPANSION_RAW_24H
2025-02,16,5.843394251165628,0.36521214069785174,C1_EXPANSION_RAW_24H
2025-03,16,4.211496330084174,0.26321852063026085,C1_EXPANSION_RAW_24H
2025-04,25,4.966922335812453,0.19867689343249811,C1_EXPANSION_RAW_24H
2025-05,10,5.728300010314651,0.5728300010314651,C1_EXPANSION_RAW_24H
2025-06,10,-4.049034657186318,-0.4049034657186318,C1_EXPANSION_RAW_24H
2025-07,7,-3.004762300448966,-0.42925175720699515,C1_EXPANSION_RAW_24H
2025-08,6,-4.3971530676884125,-0.7328588446147354,C1_EXPANSION_RAW_24H
2025-09,33,2.6018818999962496,0.07884490606049241,C1_EXPANSION_RAW_24H
2025-10,30,9.32748610598016,0.310916203532672,C1_EXPANSION_RAW_24H
2025-11,8,-0.9358127153491964,-0.11697658941864955,C1_EXPANSION_RAW_24H
2025-12,16,3.0507124107831887,0.1906695256739493,C1_EXPANSION_RAW_24H
2026-01,21,3.976556064804466,0.1893598126097365,C1_EXPANSION_RAW_24H
