variant,spread_multiplier,commission_points,slip_R_per_changed_BE,changed_BE_N,total_R,gross_MaxDD_R,net_MaxDD_R,PC1_PASS,PC2_PASS,delta_vs_base_R
BASE,1.0,6.0,0.0,1070,2127.4027761054895,10.618161241655343,12.070277674612498,True,True,0.0
COMMISSION_9_ONLY,1.0,9.0,0.0,1070,2002.1903243642826,10.618161241655343,13.2216708001788,False,True,-125.2124517412069
COMMISSION_9_PLUS_BE_SLIP_0.05,1.0,9.0,0.05,1070,1948.6903243642823,10.768161241655207,13.7216708001788,False,True,-178.71245174120713
SPREAD_X1.5_ONLY,1.5,6.0,0.0,1070,2081.9221195345704,10.669815142135349,12.116472453408733,True,True,-45.48065657091911
CENTRAL_PC5_SPREAD_X1.5_COMM9_SLIP0.05,1.5,9.0,0.05,1070,1903.2096677933632,10.819815142135212,13.767865578975034,False,True,-224.19310831212624
