side,signal_ts,entry_ts,age_min,R,dow,hour,year
-1,1609650900,1609653840,49.0,0.9962758127752915,6,5,2021
1,1609749900,1609751460,26.0,-1.0008591038063688,0,8,2021
1,1609777800,1609780440,44.0,0.7265115172329757,0,16,2021
-1,1609908300,1609912140,64.0,-1.0009761389386913,2,4,2021
1,1610045100,1610046060,16.0,0.6403900834262355,3,18,2021
-1,1610194500,1610197080,43.0,0.7628134081378714,5,12,2021
1,1610303400,1610306580,53.0,-1.0008036707413706,6,18,2021
1,1610480700,1610481900,20.0,0.789648764888735,1,19,2021
-1,1610575200,1610578440,54.0,-1.001061580729974,2,21,2021
1,1610637300,1610638920,27.0,-1.0012148997445378,3,15,2021
1,1610714700,1610715780,18.0,-1.0012722750185994,4,12,2021
-1,1610729100,1610731020,32.0,-0.37266788724556266,4,16,2021
1,1610871300,1610872800,25.0,0.9897642077368123,6,8,2021
-1,1611133200,1611134340,19.0,2.2208277219359984,2,8,2021
-1,1611324900,1611327540,44.0,0.4859375430457185,4,14,2021
-1,1611425700,1611427440,29.0,0.18621804789168106,5,18,2021
1,1611809100,1611810420,22.0,2.221030601776685,3,4,2021
-1,1611908100,1611909120,17.0,-1.0011995719762563,4,8,2021
-1,1611910800,1611911940,19.0,-1.0010069317097217,4,8,2021
-1,1611952200,1611955440,54.0,0.16342093085378984,4,20,2021
-1,1612352700,1612354140,24.0,-1.0016991749700261,2,11,2021
1,1612398600,1612401600,50.0,-1.0018543291220563,3,0,2021
-1,1612520100,1612522860,46.0,-1.0018452979368393,4,10,2021
-1,1612685700,1612688100,40.0,0.28498954562056905,6,8,2021
-1,1612789200,1612790160,16.0,-1.0015965795317443,0,12,2021
-1,1612791000,1612791960,16.0,-1.0008024531588773,0,13,2021
-1,1612827000,1612828380,23.0,-0.05695755459116349,0,23,2021
-1,1613017800,1613019780,33.0,-1.0012195824382792,3,4,2021
-1,1613234700,1613237520,47.0,-1.0016529102970486,5,16,2021
1,1613285100,1613286420,22.0,-1.0016410974333563,6,6,2021
1,1613358900,1613360580,28.0,0.9868169443501564,0,3,2021
1,1613523600,1613524980,23.0,2.2200574108880042,2,0,2021
-1,1613620800,1613622840,34.0,0.8928909477754934,3,3,2021
1,1613726100,1613730300,70.0,2.2195151060629876,4,9,2021
-1,1613954700,1613955780,18.0,2.2205826467036394,0,0,2021
1,1614049200,1614050940,29.0,-1.0008821123434832,1,2,2021
1,1614071700,1614073020,22.0,0.6403760747018986,1,9,2021
-1,1614213900,1614215460,26.0,1.5334342635133034,3,0,2021
1,1614394800,1614396420,27.0,-1.0011476022560983,5,2,2021
-1,1614546900,1614548160,21.0,-1.0012949033136367,6,21,2021
1,1614609000,1614610260,21.0,0.566966775878414,0,14,2021
1,1614767400,1614771240,64.0,-1.0015056215408153,2,10,2021
-1,1615025700,1615028460,46.0,-1.0022905273667528,5,10,2021
1,1615094100,1615095360,21.0,1.2670568196158687,6,5,2021
1,1615237200,1615241040,64.0,2.219768265713929,0,20,2021
-1,1615336200,1615338300,35.0,-1.0020943439280992,2,0,2021
1,1615409100,1615410240,19.0,0.8873188939070317,2,20,2021
1,1615624200,1615626720,42.0,2.219938691461644,5,8,2021
1,1615709700,1615712580,48.0,-1.0028151816718236,6,8,2021
-1,1615788900,1615790880,33.0,2.220110062098038,0,6,2021
-1,1616319000,1616319960,16.0,-1.0022844458387883,6,9,2021
-1,1616417100,1616420880,63.0,2.220270494696879,0,12,2021
1,1616500800,1616501820,17.0,-1.002312579901487,1,11,2021
-1,1616570100,1616571720,27.0,-1.0015873534156974,2,7,2021
