side,signal_ts,entry_ts,age_min,R,dow,hour,year
1,1616675400,1616677860,41.0,1.2625721421125569,3,12,2021
1,1616806800,1616807760,16.0,0.7404143259360101,5,0,2021
-1,1616960700,1616962740,34.0,-1.0020000575979786,6,19,2021
-1,1617080400,1617082500,35.0,-1.002842543453854,1,4,2021
1,1617204600,1617207600,50.0,-0.1899920531317273,2,15,2021
1,1617332400,1617334860,41.0,-1.0024944861945568,4,2,2021
1,1617447600,1617449100,25.0,-1.0025062696719889,5,10,2021
-1,1617581700,1617583680,33.0,-1.0043258646178435,0,0,2021
1,1617636600,1617639540,49.0,-1.0023044971275692,0,15,2021
1,1617963300,1617964980,28.0,2.218795433289904,4,10,2021
1,1618029900,1618031040,19.0,-1.001772196895821,5,4,2021
-1,1618376400,1618380600,70.0,2.2192320383368975,2,4,2021
-1,1618548300,1618549320,17.0,-0.27304113977187616,4,4,2021
-1,1618704000,1618706040,34.0,2.2192482020697994,5,23,2021
1,1618717500,1618718520,17.0,0.6421868729245394,6,3,2021
-1,1618934400,1618937460,51.0,-1.0017564914900634,1,15,2021
-1,1619115300,1619119680,73.0,2.2206643055726425,3,18,2021
1,1619262900,1619264520,27.0,0.13080285810572612,5,11,2021
1,1619384400,1619385600,20.0,-1.002192966713398,6,20,2021
1,1619534700,1619538540,64.0,-0.4541967693943997,1,14,2021
-1,1619706600,1619709600,50.0,-1.0023028452599316,3,14,2021
-1,1619826300,1619827740,24.0,0.18520612627378893,4,23,2021
1,1620142200,1620143700,25.0,1.3626342848155923,1,15,2021
-1,1620279000,1620281820,47.0,0.7831716665191437,3,5,2021
1,1620464400,1620466320,32.0,-1.0021948689088112,5,8,2021
-1,1620670500,1620672420,32.0,0.31220666876166275,0,18,2021
1,1620900000,1620901320,22.0,-1.0013622878955803,3,9,2021
-1,1621100700,1621101780,18.0,0.5409644952041175,5,17,2021
-1,1621350900,1621353900,50.0,2.221280416778294,1,15,2021
1,1621424700,1621425660,16.0,-1.000763750039451,2,11,2021
1,1621429200,1621431960,46.0,1.5339311761535495,2,12,2021
-1,1621551600,1621552620,17.0,2.2212966585871916,3,22,2021
-1,1621662300,1621665300,50.0,-1.0007572635336026,5,5,2021
-1,1621722600,1621724460,31.0,2.2211253980364303,5,22,2021
-1,1621805400,1621807200,30.0,-1.0006030850648373,6,21,2021
1,1621939500,1621941480,33.0,2.2211633174509173,1,10,2021
1,1622666700,1622669700,50.0,1.2966079268745763,2,20,2021
-1,1623011400,1623012600,20.0,-1.0029772197774571,6,20,2021
-1,1623186000,1623188760,46.0,-1.0012404690832244,1,20,2021
1,1623303000,1623304980,33.0,0.07996264112098292,3,5,2021
-1,1623560400,1623562080,28.0,-1.0018403688318518,6,4,2021
-1,1623615300,1623616920,27.0,-1.0018120848098846,6,20,2021
-1,1623678300,1623679860,26.0,0.44606430152621357,0,13,2021
1,1623818700,1623823500,80.0,-1.0024536948574927,2,4,2021
-1,1623971700,1623973740,34.0,2.2201382063146373,3,23,2021
-1,1624145400,1624147440,34.0,2.2201333456664956,5,23,2021
1,1624340700,1624343940,54.0,-1.0013083831216554,1,5,2021
1,1624523400,1624526040,44.0,1.1094818028479254,3,8,2021
-1,1624652100,1624656720,77.0,0.3896250004570025,4,20,2021
1,1624865400,1624866600,20.0,-1.0024257594443582,0,7,2021
1,1624876200,1624879020,47.0,1.2002575913642608,0,10,2021
-1,1625033700,1625036280,43.0,1.3667468476409619,2,6,2021
1,1625122800,1625125740,49.0,-1.0025563231629182,3,6,2021
1,1625215500,1625216700,20.0,1.4770515509592461,4,8,2021
1,1625352300,1625353260,16.0,2.2194770952453267,5,22,2021
1,1625446800,1625448120,22.0,-1.0019033987387904,0,0,2021
1,1625835600,1625836920,22.0,1.1453365092371275,4,12,2021
-1,1626089400,1626092400,50.0,0.9503793120166334,0,11,2021
-1,1626183000,1626186900,65.0,-0.39318912531427963,1,13,2021
1,1626310800,1626311940,19.0,-1.0027087940172303,3,0,2021
-1,1626347700,1626349500,30.0,1.0824566395687607,3,11,2021
-1,1626482700,1626486480,63.0,-1.0023771016930538,5,0,2021
-1,1626602400,1626603720,22.0,0.8708508845337457,6,9,2021
1,1626949800,1626951540,29.0,0.7348192376195956,3,10,2021
-1,1627084800,1627086120,22.0,-1.0020071361466167,4,23,2021
-1,1627146000,1627147980,33.0,-0.06894249104603155,5,16,2021
-1,1627390800,1627392180,23.0,-1.0018045246363012,1,12,2021
1,1627604100,1627605960,31.0,-1.002339410924987,4,0,2021
-1,1627721100,1627725720,77.0,-0.12263713973395303,5,8,2021
-1,1627859700,1627860840,19.0,0.3613109032445813,6,23,2021
-1,1628006400,1628007360,16.0,-1.0018008349402345,1,15,2021
1,1628118000,1628120400,40.0,-1.002538232430952,2,22,2021
-1,1628311500,1628312820,22.0,-1.0017091802018654,5,4,2021
1,1628552700,1628554380,28.0,-0.17553871227617965,0,23,2021
1,1628779500,1628784120,77.0,1.7584448166911386,3,14,2021
-1,1628885700,1628887740,34.0,-1.0036292796950268,4,20,2021
-1,1628935200,1628936160,16.0,1.112017670644366,5,9,2021
-1,1629123300,1629125340,34.0,0.25288546527204625,0,14,2021
1,1629273600,1629275100,25.0,-1.002662010677363,2,7,2021
1,1629446400,1629448500,35.0,2.218890872080764,4,7,2021
1,1629470700,1629471660,16.0,0.5346304273304129,4,14,2021
1,1629630000,1629631980,33.0,-1.0034848503356595,6,10,2021
1,1629675900,1629678660,46.0,0.15467864744902649,6,23,2021
-1,1629883800,1629885660,31.0,-1.0022548010428616,2,9,2021
1,1629906300,1629907920,27.0,-1.0021850859390915,2,15,2021
-1,1630209600,1630211640,34.0,0.34477064596186474,6,3,2021
1,1630397700,1630398900,20.0,-1.0028158173029837,1,8,2021
-1,1630448100,1630449900,30.0,-1.00270840464998,1,22,2021
1,1630519200,1630521000,30.0,0.47196943197207236,2,17,2021
-1,1630713600,1630714680,18.0,0.12357075774824376,4,23,2021
1,1630854000,1630857120,52.0,2.2191811873675205,6,14,2021
-1,1630927800,1630929060,21.0,-1.004454338630507,0,11,2021
-1,1631000700,1631002560,31.0,2.218742711056524,1,7,2021
-1,1631148300,1631152860,76.0,-1.0019432316554708,3,0,2021
-1,1631313900,1631315160,21.0,-1.001702025876055,4,22,2021
-1,1631385000,1631386620,27.0,-1.0036970039655684,5,18,2021
-1,1631480400,1631482380,33.0,-1.0028181302779162,6,20,2021
1,1631682900,1631683980,18.0,1.950624472171685,2,5,2021
-1,1632057300,1632059280,33.0,2.2194270128734988,6,13,2021
1,1632141900,1632143160,21.0,-1.0009284365645954,0,12,2021
1,1632184200,1632185520,22.0,-1.001055377074395,1,0,2021
1,1632365100,1632368460,56.0,0.3975409576759885,3,2,2021
1,1632469500,1632472800,55.0,-1.0021792479020897,4,7,2021
1,1632521700,1632524940,54.0,-1.0021069430431075,4,22,2021
1,1632559500,1632561060,26.0,-1.0019716891469441,5,8,2021
-1,1632781800,1632783720,32.0,2.219673557012535,0,22,2021
-1,1632839400,1632843240,64.0,-0.2179430255946339,1,14,2021
1,1633252500,1633254120,27.0,2.216856976335875,6,9,2021
-1,1633284000,1633285260,21.0,2.2176292906277686,6,17,2021
-1,1633338000,1633339200,20.0,-1.0034763089543726,0,8,2021
1,1633422600,1633424040,24.0,2.218632378012453,1,8,2021
-1,1633517100,1633518120,17.0,-1.0017673739193054,2,10,2021
1,1633567500,1633569240,29.0,-1.0021082739871803,3,0,2021
1,1633685400,1633686960,26.0,-1.0017885688661046,4,9,2021
-1,1633833900,1633835700,30.0,-1.002652150820028,6,2,2021
-1,1633998600,1633999560,16.0,2.2195644609587295,1,0,2021
1,1634103900,1634106720,47.0,-1.0042089534347607,2,5,2021
-1,1634117400,1634118600,20.0,-1.001412741910587,2,9,2021
-1,1634200200,1634203020,47.0,-1.0027494100102683,3,8,2021
1,1634265900,1634267640,29.0,2.220299961889954,4,2,2021
-1,1634376600,1634379060,41.0,0.4518556500548496,5,9,2021
-1,1634499900,1634501760,31.0,-1.0036270852336726,6,19,2021
1,1634615100,1634618400,55.0,0.9475136715740174,1,3,2021
-1,1634730300,1634731380,18.0,-1.0039360972745253,2,11,2021
-1,1634738400,1634740200,30.0,2.22002416789049,2,13,2021
1,1634889600,1634891340,29.0,-1.0025637888700016,4,7,2021
-1,1634915700,1634916780,18.0,-0.1885621672243072,4,15,2021
-1,1635075900,1635078120,37.0,-1.002731357597391,6,11,2021
1,1635148800,1635149820,17.0,0.20987476349918086,0,7,2021
-1,1635279300,1635281400,35.0,2.2188833945534587,1,20,2021
-1,1635576300,1635578340,34.0,0.27229933701245307,5,6,2021
-1,1635791400,1635793260,31.0,-1.0027834874126926,0,18,2021
-1,1635948900,1635951060,36.0,-1.00239653180806,2,14,2021
-1,1636039800,1636042260,41.0,0.3107219774080718,3,15,2021
1,1636333200,1636334760,26.0,1.5492926613666178,0,0,2021
1,1636458300,1636459680,23.0,-1.0037257037851182,1,11,2021
-1,1636477200,1636479180,33.0,-1.001883412059018,1,16,2021
-1,1636578000,1636580100,35.0,0.08944274375108732,2,20,2021
-1,1636915500,1636917720,37.0,-1.0026208248151431,6,18,2021
1,1636969500,1636970580,18.0,-1.0033316791757307,0,9,2021
-1,1636990200,1636991160,16.0,2.2194930891991196,0,15,2021
-1,1637038800,1637040600,30.0,0.7388732734387206,1,4,2021
-1,1637208000,1637210880,48.0,2.219984945379126,3,3,2021
1,1637348400,1637350260,31.0,1.224043171954708,4,18,2021
1,1637540100,1637541900,30.0,-1.0026245488347512,0,0,2021
1,1637708400,1637711880,58.0,-1.0026949589279313,1,22,2021
-1,1637753400,1637756220,47.0,-1.002309556072642,2,11,2021
-1,1638001800,1638005580,63.0,0.7304676495468971,5,8,2021
1,1638098100,1638099660,26.0,-1.0030586482765023,6,11,2021
1,1638180000,1638181860,31.0,-1.0031731827788437,0,9,2021
1,1638369000,1638370200,20.0,-1.0022701305712247,2,14,2021
-1,1638543600,1638544560,16.0,2.219690374059424,4,14,2021
-1,1638777600,1638780480,48.0,-1.0019362650434245,0,7,2021
1,1638881100,1638883320,37.0,-1.0023835827227143,1,12,2021
-1,1639087200,1639090140,49.0,-1.0015216649148764,3,21,2021
1,1639239300,1639241340,34.0,0.7037237062598555,5,16,2021
-1,1639409400,1639411560,36.0,0.4207861866577977,0,15,2021
1,1639559700,1639563420,62.0,-1.0025160617103188,2,9,2021
-1,1639582200,1639584180,33.0,-1.0018030083361518,2,15,2021
-1,1639649700,1639651020,22.0,2.218519138191537,3,10,2021
-1,1639726200,1639727820,27.0,0.8360389959896458,4,7,2021
-1,1640012400,1640013840,24.0,-1.0021556300767318,0,14,2021
-1,1640141100,1640142060,16.0,1.2866860275470033,2,2,2021
-1,1640429100,1640430480,23.0,1.2157507193454333,5,10,2021
1,1640556900,1640558820,32.0,-0.2025513107531498,6,22,2021
-1,1640657700,1640661720,67.0,1.2571415113403384,1,2,2021
-1,1640822400,1640823840,24.0,2.220490471452728,2,23,2021
1,1642662000,1642665120,52.0,2.2173966604644684,3,6,2022
-1,1642715100,1642716180,18.0,2.2198390115787974,3,21,2022
1,1642802400,1642803480,18.0,-1.0008935984357172,4,21,2022
1,1643170500,1643173560,51.0,-1.0021633126174208,2,4,2022
-1,1643276700,1643278020,22.0,-1.002114678255329,3,9,2022
1,1643468400,1643469540,19.0,0.3525077243340109,5,14,2022
1,1643629500,1643630640,19.0,2.21749194063802,0,11,2022
-1,1643708700,1643712300,60.0,-1.0023315132782784,1,9,2022
-1,1643813100,1643814060,16.0,2.21912120366608,2,14,2022
1,1643896800,1643899680,48.0,1.466459526237903,3,13,2022
-1,1644158700,1644160020,22.0,-1.0037686677233033,6,14,2022
-1,1644300000,1644303240,54.0,2.2187343458388105,1,5,2022
-1,1644398100,1644401340,54.0,-1.0019606342356773,2,9,2022
-1,1644466500,1644469020,42.0,-1.002981452721909,3,4,2022
1,1644489000,1644491880,48.0,-1.0032499935022792,3,10,2022
1,1644650100,1644654420,72.0,0.2506380878737398,5,7,2022
1,1644766200,1644767460,21.0,-1.0029261560817513,6,15,2022
-1,1644804900,1644807900,50.0,-1.0022001907785565,0,2,2022
1,1644929100,1644931320,37.0,-0.16440715702423292,1,12,2022
-1,1645107300,1645110180,48.0,2.2202431792410695,3,14,2022
1,1645195500,1645197060,26.0,-0.4069795790117344,4,14,2022
1,1645625700,1645626720,17.0,-1.0025440534892622,2,14,2022
-1,1645991100,1645992060,16.0,-1.0021934126479333,6,19,2022
1,1646037900,1646040660,46.0,2.220674353635259,0,8,2022
-1,1646088300,1646089320,17.0,-1.0018538824481962,0,22,2022
1,1646147700,1646149260,26.0,0.3365111056289764,1,15,2022
-1,1646321400,1646322540,19.0,1.7391526142379552,3,15,2022
1,1646425800,1646428320,42.0,0.12175028026648459,4,20,2022
1,1646761500,1646763960,41.0,2.2209978834846478,1,17,2022
1,1647000000,1647002880,48.0,-1.0017416348185413,4,11,2022
-1,1647095400,1647096360,16.0,-1.003764729890302,5,14,2022
-1,1647134100,1647137040,49.0,2.218489449149647,6,1,2022
1,1647246600,1647248820,37.0,-1.0024117442374727,0,8,2022
-1,1647396900,1647397920,17.0,2.2197422849851702,2,2,2022
-1,1647534600,1647537600,50.0,-1.002717609976551,3,16,2022
1,1647723600,1647726060,41.0,-1.0036887731377588,5,20,2022
-1,1647769500,1647772200,45.0,2.217202720632463,6,9,2022
-1,1647831600,1647833760,36.0,-1.0025206802001407,0,2,2022
-1,1648010700,1648013700,50.0,-1.0023200060115678,2,4,2022
1,1648080000,1648080960,16.0,1.5507875402416933,2,23,2022
-1,1648305000,1648306680,28.0,-1.0045873801535985,5,14,2022
-1,1648374300,1648375260,16.0,-1.006721164759882,6,9,2022
1,1648395900,1648397400,25.0,2.2175189318086255,6,15,2022
1,1648476900,1648481160,71.0,0.35755074399483067,0,14,2022
-1,1648704600,1648708260,61.0,-1.0050000053072543,3,5,2022
-1,1648735200,1648736160,16.0,2.2188798049135494,3,13,2022
-1,1648861200,1648864080,48.0,1.191991976090588,5,0,2022
-1,1648959300,1648961520,37.0,-1.0035122010447541,6,4,2022
1,1649023200,1649026080,48.0,-1.0032854465684766,6,21,2022
1,1649164500,1649166780,38.0,-1.0032515919703273,1,13,2022
1,1649243700,1649246280,43.0,-1.003028452173914,2,11,2022
-1,1649308500,1649310720,37.0,-0.36403699298599157,3,5,2022
1,1649423700,1649427420,62.0,-1.0033433645831633,4,13,2022
1,1649593800,1649595120,22.0,-1.0050909936127335,6,12,2022
-1,1649630700,1649632200,25.0,2.2194160477778686,6,22,2022
1,1649695500,1649697240,29.0,-1.0018501228782692,0,16,2022
-1,1649799000,1649802780,63.0,-1.0019940683374562,1,21,2022
-1,1649942100,1649944020,32.0,1.0612006621115992,3,13,2022
-1,1650072600,1650075960,56.0,0.6805222069921606,5,1,2022
-1,1650217500,1650218700,20.0,2.2177161633071885,6,17,2022
1,1650458700,1650460440,29.0,-1.0023896964815295,2,12,2022
1,1650516300,1650518760,41.0,2.2181957174283022,3,4,2022
1,1650867300,1650868920,27.0,-1.0039851917222782,0,6,2022
1,1650939300,1650940680,23.0,-1.0026480831123663,1,2,2022
-1,1650987900,1650988860,16.0,-0.20636954941498148,1,15,2022
-1,1651235400,1651238280,48.0,0.45766433172243076,4,12,2022
-1,1651361400,1651362600,20.0,-1.0028118277716636,5,23,2022
-1,1651585500,1651588140,44.0,-1.0039586680240247,1,13,2022
-1,1651762800,1651763820,17.0,2.2199103665361575,3,14,2022
1,1651823100,1651824060,16.0,-1.00473383380363,4,7,2022
1,1651894200,1651895820,27.0,-1.0052330847953217,5,3,2022
-1,1651959900,1651960860,16.0,-1.0031274330732691,5,21,2022
1,1652030100,1652033400,55.0,-1.0022822308615338,6,17,2022
-1,1652254200,1652255940,29.0,-1.0009473970777356,2,7,2022
1,1652333400,1652337600,70.0,1.3137060962159304,3,5,2022
-1,1652549400,1652550420,17.0,-1.0014988494291377,5,17,2022
1,1652619600,1652620980,23.0,-1.0017947159175182,6,12,2022
-1,1652848200,1652850480,38.0,1.1518712301914427,2,4,2022
1,1652960700,1652961960,21.0,1.5155045379911332,3,11,2022
-1,1653064200,1653065400,20.0,-0.5149262559197263,4,16,2022
1,1653211800,1653212760,16.0,-1.0066172821969674,6,9,2022
1,1653264000,1653265380,23.0,-1.0025464100115917,6,23,2022
-1,1653334200,1653336060,31.0,-0.29695616649882567,0,19,2022
1,1653448500,1653451620,52.0,-1.0025855452515857,2,3,2022
-1,1653554700,1653556440,29.0,-1.0023840777643067,3,8,2022
-1,1653615000,1653618000,50.0,0.3315188452018918,4,1,2022
-1,1653942600,1653944340,29.0,-1.0033165090611793,0,20,2022
-1,1653946200,1653947760,26.0,0.014025080958492591,0,21,2022
-1,1654083000,1654084080,18.0,-1.0049305681894447,2,11,2022
-1,1654093800,1654095240,24.0,2.220002275395631,2,14,2022
1,1654175700,1654176660,16.0,-0.10554078916277007,3,13,2022
1,1654345800,1654349700,65.0,0.3614505948155377,5,12,2022
1,1654444800,1654445760,16.0,2.21818278773535,6,15,2022
-1,1654568100,1654570080,33.0,-1.0013608285009057,1,2,2022
1,1654635600,1654637280,28.0,-1.0014873777995066,1,20,2022
-1,1654695900,1654699560,61.0,0.4617664965703473,2,13,2022
-1,1654824600,1654826700,35.0,1.3330030130834776,4,1,2022
1,1655001900,1655006400,75.0,-1.0017601365427753,6,2,2022
1,1655086500,1655088420,32.0,-1.0008381397810175,0,2,2022
1,1655170200,1655173500,55.0,0.5259442044569136,1,1,2022
-1,1655424900,1655427660,46.0,-1.0011069683924751,4,0,2022
1,1655535600,1655536560,16.0,-1.0033273954244781,5,6,2022
1,1655538300,1655539980,28.0,-1.0010375088168024,5,7,2022
1,1655639100,1655641680,43.0,0.6506512876666563,6,11,2022
-1,1655840700,1655841660,16.0,1.6655827915267558,1,19,2022
-1,1656001800,1656006600,80.0,-1.001907872035182,3,16,2022
1,1656143100,1656144840,29.0,-1.0029049881961345,5,7,2022
-1,1656245700,1656246660,16.0,0.9894518243862376,6,12,2022
-1,1656342000,1656343920,32.0,0.15449670464526805,0,14,2022
-1,1656432900,1656437400,75.0,1.2850138419356971,1,16,2022
-1,1656633600,1656634740,19.0,-1.0016087149475765,3,23,2022
-1,1656824400,1656825720,22.0,-1.0048605667606376,6,4,2022
-1,1656905400,1656908340,49.0,-1.0028525323616817,0,3,2022
1,1656929700,1656930840,19.0,2.2186640572886067,0,10,2022
1,1657051200,1657052160,16.0,-1.0016425587223468,1,19,2022
1,1657225800,1657229280,58.0,0.49855283193044003,3,20,2022
-1,1657416600,1657420560,66.0,1.770258647731311,6,1,2022
1,1657563300,1657565400,35.0,-1.0027870570048285,0,18,2022
-1,1657629000,1657631160,36.0,2.219787734995718,1,12,2022
1,1657816200,1657820040,64.0,0.4346604554377678,3,16,2022
-1,1657979100,1657982820,62.0,-1.004055112226404,5,13,2022
1,1657994400,1657996500,35.0,-0.29031861978076556,5,17,2022
1,1658129400,1658132700,55.0,-1.001428876803634,0,7,2022
1,1658242800,1658244000,20.0,1.5465262168674667,1,14,2022
-1,1658339100,1658340300,20.0,0.8073302151567844,2,17,2022
1,1658628000,1658632200,70.0,-1.0024415647895148,6,1,2022
-1,1658726100,1658727540,24.0,1.4392681801042084,0,5,2022
1,1658842200,1658843160,16.0,1.1534778885113772,1,13,2022
1,1658940300,1658943240,49.0,2.2194094005371086,2,16,2022
-1,1659078900,1659080220,22.0,0.1052816818801777,4,7,2022
-1,1659375900,1659380220,72.0,-0.05865137787477853,0,17,2022
-1,1659491100,1659494220,52.0,-1.0024800718149578,2,1,2022
1,1659517200,1659518760,26.0,-1.0031608694640703,2,8,2022
-1,1659567600,1659568860,21.0,0.45788019384570344,2,22,2022
1,1659668400,1659670500,35.0,0.15633360462930643,4,2,2022
-1,1659829500,1659831000,25.0,-1.005316825538536,5,23,2022
1,1659942900,1659943980,18.0,0.23256788641642526,0,7,2022
1,1660128300,1660131060,46.0,2.2176703124824426,2,10,2022
1,1660136400,1660138500,35.0,-1.0020964890781836,2,12,2022
-1,1660439700,1660441320,27.0,-1.0036491624651653,6,1,2022
1,1660462200,1660463400,20.0,-1.0043890061260203,6,7,2022
1,1660535100,1660536300,20.0,-1.0019324027638468,0,3,2022
-1,1660620600,1660622220,27.0,0.33571729957995977,1,3,2022
1,1660716900,1660718160,21.0,-1.004544537815131,2,6,2022
1,1660892400,1660893960,26.0,-1.001650152003783,4,6,2022
-1,1661116500,1661118480,33.0,1.3338842405633344,6,21,2022
1,1661216400,1661217840,24.0,-1.0027026337448528,1,0,2022
-1,1661234400,1661235780,23.0,-1.0034449191098,1,5,2022
1,1661343300,1661347200,65.0,0.5381873305127537,2,12,2022
-1,1661441400,1661444340,49.0,2.2192168505568506,3,15,2022
-1,1661654700,1661656080,23.0,1.118086430230094,6,2,2022
1,1661837400,1661841600,70.0,-1.0035066922433684,1,5,2022
-1,1661871600,1661872740,19.0,-1.0023252903658981,1,14,2022
1,1661913000,1661914440,24.0,-1.0024617827625895,2,2,2022
-1,1661991300,1661993280,33.0,-0.27754557503025773,3,0,2022
-1,1662192000,1662193140,19.0,0.9716623531021092,5,7,2022
-1,1662345900,1662348000,35.0,-1.0032940740740797,0,2,2022
1,1662426000,1662427200,20.0,-1.0036407203636744,1,0,2022
1,1662547500,1662550620,52.0,2.2170999593615153,2,10,2022
1,1662615000,1662618120,52.0,-1.0043117763094918,3,5,2022
1,1662694200,1662695160,16.0,2.2171664461603,4,3,2022
1,1662888600,1662890220,27.0,2.219194040404042,6,9,2022
-1,1663001100,1663003140,34.0,2.220282543004034,0,16,2022
-1,1663122600,1663126380,63.0,1.0319047498258354,2,2,2022
-1,1663231500,1663234260,46.0,0.7029263383191277,3,8,2022
1,1663324200,1663325280,18.0,-1.0041478468011276,4,10,2022
-1,1663515000,1663516920,32.0,2.2190336716472667,6,15,2022
-1,1663660800,1663662480,28.0,1.195163829535994,1,7,2022
1,1663979400,1663982460,51.0,-0.47257057321234114,5,0,2022
-1,1664145000,1664146260,21.0,-1.002592186050174,6,22,2022
1,1664185500,1664188380,48.0,2.220089258037264,0,9,2022
-1,1664361000,1664363940,49.0,-1.0023671793634232,2,10,2022
1,1664524800,1664528520,62.0,-1.0038498844376973,4,7,2022
-1,1664542800,1664544840,34.0,-1.0022820627681523,4,12,2022
-1,1664728200,1664729460,21.0,-1.0047507277256547,6,16,2022
1,1664808300,1664811240,49.0,2.219836138554641,0,14,2022
-1,1664953200,1664955300,35.0,2.2178038944202956,2,6,2022
-1,1665068400,1665069540,19.0,0.8619823048563485,3,14,2022
-1,1665313200,1665317580,73.0,2.2149297152025746,6,10,2022
-1,1665441000,1665442980,33.0,0.4209525241545867,0,22,2022
-1,1665657000,1665658080,18.0,-1.005106157448053,3,10,2022
1,1665824400,1665825600,20.0,-1.0085998242055536,5,8,2022
1,1666002600,1666006380,63.0,0.5391847317653604,0,10,2022
1,1666098900,1666100040,19.0,-1.0049054126473669,1,13,2022
-1,1666109700,1666111320,27.0,0.6493679056433374,1,16,2022
1,1666259100,1666260540,24.0,-1.007204463244976,3,9,2022
1,1666341900,1666345200,55.0,-1.0064661633657304,4,8,2022
1,1666452600,1666455180,43.0,-1.0074729564782494,5,15,2022
1,1666705500,1666706820,22.0,2.215693340047006,1,13,2022
-1,1666773900,1666776360,41.0,-1.0032928555954612,2,8,2022
-1,1666859400,1666860600,20.0,2.2183062207105086,3,8,2022
-1,1666944900,1666945920,17.0,-1.00479829756795,4,8,2022
1,1667017800,1667021520,62.0,0.387129013152593,5,4,2022
-1,1667110500,1667111520,17.0,2.2152228766071733,6,6,2022
-1,1667170800,1667172300,25.0,-1.0048003241226469,6,22,2022
1,1667381400,1667383200,30.0,-1.0056959598853918,2,9,2022
-1,1667476800,1667478660,31.0,-1.0047065914899935,3,11,2022
1,1667542500,1667544180,28.0,-1.0065761122518864,4,6,2022
-1,1667701800,1667705640,64.0,1.4757693161496481,6,2,2022
-1,1667861100,1667862900,30.0,2.219295229556185,0,22,2022
-1,1667880900,1667882940,34.0,-1.002228585072603,1,4,2022
1,1667985300,1667986260,16.0,-1.0017385098300173,2,9,2022
