feature,std_coefficient,abs_coefficient
d7_aligned_ret60d,-0.2519145102221842,0.2519145102221842
d7_rv30_90_ratio,-0.2509672891410104,0.2509672891410104
d7_oriented_pos30d,0.20678120288884186,0.20678120288884186
d30_rv30_90_ratio,0.2066092146484493,0.2066092146484493
d30_eff60d,-0.1758029637795125,0.1758029637795125
d30_eff90d,0.1699845667722341,0.1699845667722341
d7_aligned_ret30d,-0.1688502529013369,0.1688502529013369
d30_aligned_ret60d,0.13759794077294363,0.13759794077294363
d30_eff30d,0.13140316352029194,0.13140316352029194
d7_eff60d,-0.12574698282214278,0.12574698282214278
d30_rv60d,-0.10907639255255216,0.10907639255255216
curve_ret30_60,0.09859921615563594,0.09859921615563594
d7_eff90d,0.09482069068841703,0.09482069068841703
d7_rv90d,0.07800033931112207,0.07800033931112207
d30_rv90d,-0.07154769163679262,0.07154769163679262
d7_eff30d,-0.07124644947991547,0.07124644947991547
d30_oriented_pos90d,-0.06605114364188673,0.06605114364188673
d7_rv60d,-0.06404209956008541,0.06404209956008541
d7_oriented_pos90d,0.06259569588323209,0.06259569588323209
curve_ret60_90,0.06096354446822251,0.06096354446822251
d30_rv30d,-0.03853495293883313,0.03853495293883313
d30_aligned_ret90d,0.029011736092643355,0.029011736092643355
d7_rv30d,0.027500453452399817,0.027500453452399817
d30_aligned_ret30d,-0.015572974624456965,0.015572974624456965
d30_oriented_pos30d,-0.010891481461796864,0.010891481461796864
d7_aligned_ret90d,0.004400861286850516,0.004400861286850516
