period,signals,on_n,coverage,base_cum_R,gated_cum_R,delta_R,mean_score,threshold
2025_H1,11,9,0.8181818181818182,-1.679295223470002,-0.561596817276923,1.117698406193079,0.30864472918177094,0.05751626610134368
2025_H2,16,4,0.25,6.641638379143569,0.47641310827672245,-6.165225270866847,-0.1698268339704107,0.05751626610134368
