family,bucket,train_n,signals,on_n,coverage,base_filled,gated_filled,base_cum_R,gated_cum_R,delta_cum_R,base_ev_per_opportunity,gated_ev_per_opportunity,gated_ev_per_traded_signal,base_pf,gated_pf,base_maxdd_R,gated_maxdd_R,base_max_consecutive_losses,gated_max_consecutive_losses,threshold
TREND_TRANSITION,2022,47,33,10,0.30303030303030304,20,4,-2.789905950092312,-3.1765857654114593,-0.3866798153191473,-0.08454260454825188,-0.09626017470943816,-0.31765857654114593,0.7811072930542744,0.0,5.87259804938012,3.1765857654114593,2,2,0.20542128770833465
TREND_TRANSITION,2023,80,9,7,0.7777777777777778,6,5,1.5706208683097895,1.0276162753214197,-0.5430045929883698,0.17451342981219883,0.11417958614682441,0.14680232504591711,1.698167931773271,1.4567930708636159,2.249631924973383,2.249631924973383,1,1,0.06282997360614168
TREND_TRANSITION,2024,89,33,20,0.6060606060606061,24,14,-5.6610114576703765,0.0686250202366967,5.729636477907073,-0.17154580174758716,0.002079546067778688,0.003431251011834835,0.6711993855615386,1.0080116627305868,9.482021730643114,6.059847467093618,4,2,0.08406342201949678
TREND_TRANSITION,2025,122,27,10,0.37037037037037035,18,5,4.962343155673568,1.8016841004304598,-3.160659055243108,0.18379048724716918,0.06672904075668369,0.18016841004304598,1.555518398122641,1.779243550626952,4.061983193932155,1.1817584171975541,3,1,0.01643583748520684
TREND_TRANSITION,2026_JAN_JUL,149,22,9,0.4090909090909091,15,4,6.172553540376626,0.7481768751495916,-5.424376665227034,0.2805706154716648,0.03400803977952689,0.08313076390551018,1.9289693029183879,1.3454554716633622,2.2803130256894093,1.0999833304959745,2,1,0.045448590537865825
TREND_TRANSITION,FRESH_AUG2026,171,0,0,,0,0,0.0,0.0,0.0,,,,,,,,0,0,
EFFICIENCY_TRANSITION,2022,47,33,25,0.7575757575757576,20,16,-2.789905950092312,1.45647284786679,4.246378797959102,-0.08454260454825188,0.044135540844448186,0.058258913914671646,0.7811072930542744,1.1713666393927415,5.87259804938012,3.0781340200108946,2,2,0.1529623207894471
EFFICIENCY_TRANSITION,2023,80,9,8,0.8888888888888888,6,6,1.5706208683097895,1.5706208683097895,0.0,0.17451342981219883,0.17451342981219883,0.19632760853872372,1.698167931773271,1.698167931773271,2.249631924973383,2.249631924973383,1,1,0.07033340414131792
EFFICIENCY_TRANSITION,2024,89,33,18,0.5454545454545454,24,13,-5.6610114576703765,-3.761988591742175,1.8990228659282016,-0.17154580174758716,-0.11399965429521743,-0.20899936620789858,0.6711993855615386,0.6077127480218573,9.482021730643114,4.875352601688778,4,3,0.10910401725316002
EFFICIENCY_TRANSITION,2025,122,27,21,0.7777777777777778,18,16,4.962343155673568,2.1567857699382857,-2.8055573857352822,0.18379048724716918,0.07988095444215873,0.10270408428277547,1.555518398122641,1.2414452484286516,4.061983193932155,4.061983193932155,3,3,0.010162916130442855
EFFICIENCY_TRANSITION,2026_JAN_JUL,149,22,6,0.2727272727272727,15,4,6.172553540376626,3.0320259038652546,-3.1405276365113712,0.2805706154716648,0.1378193592666025,0.5053376506442091,1.9289693029183879,3.5687957493676032,2.2803130256894093,1.1803296951934348,2,1,0.0487385448354795
EFFICIENCY_TRANSITION,FRESH_AUG2026,171,0,0,,0,0,0.0,0.0,0.0,,,,,,,,0,0,
VOL_TRANSITION,2022,47,33,2,0.06060606060606061,20,2,-2.789905950092312,-2.154485237846392,0.6354207122459199,-0.08454260454825188,-0.06528743144989067,-1.077242618923196,0.7811072930542744,0.0,5.87259804938012,2.154485237846392,2,2,0.2155131411085605
VOL_TRANSITION,2023,80,9,1,0.1111111111111111,6,1,1.5706208683097895,-1.1064212307692307,-2.6770420990790202,0.17451342981219883,-0.1229356923076923,-1.1064212307692307,1.698167931773271,0.0,2.249631924973383,1.1064212307692307,1,1,0.07114856053516758
VOL_TRANSITION,2024,89,33,15,0.45454545454545453,24,12,-5.6610114576703765,-5.462353846485526,0.19865761118485015,-0.17154580174758716,-0.16552587413592504,-0.3641569230990351,0.6711993855615386,0.44477595687337573,9.482021730643114,5.733663774393176,4,3,0.11048702419389074
VOL_TRANSITION,2025,122,27,8,0.2962962962962963,18,5,4.962343155673568,-0.7059390839021915,-5.66828223957576,0.18379048724716918,-0.026145891996377464,-0.08824238548777394,1.555518398122641,0.7926968253940166,4.061983193932155,2.287647822797163,3,2,0.032157486931892444
VOL_TRANSITION,2026_JAN_JUL,149,22,11,0.5,15,6,6.172553540376626,3.411838269206519,-2.760715271170107,0.2805706154716648,0.1550835576912054,0.3101671153824108,1.9289693029183879,2.4962148752253057,2.2803130256894093,2.2803130256894093,2,2,0.04686486832878721
VOL_TRANSITION,FRESH_AUG2026,171,0,0,,0,0,0.0,0.0,0.0,,,,,,,,0,0,
POSITION_TRANSITION,2022,47,33,16,0.48484848484848486,20,10,-2.789905950092312,-3.2570918862368368,-0.46718593614452475,-0.08454260454825188,-0.098699754128389,-0.2035682428898023,0.7811072930542744,0.5647922459906457,5.87259804938012,5.419804852509224,2,2,0.2724526348322922
POSITION_TRANSITION,2023,80,9,5,0.5555555555555556,6,4,1.5706208683097895,1.3001198947646124,-0.2705009735451771,0.17451342981219883,0.14445776608495695,0.2600239789529225,1.698167931773271,2.1372530902273374,2.249631924973383,1.1432106942041529,1,1,0.09093548828325351
POSITION_TRANSITION,2024,89,33,11,0.3333333333333333,24,9,-5.6610114576703765,-2.0548403609384547,3.606171096731922,-0.17154580174758716,-0.06226788972540772,-0.18680366917622315,0.6711993855615386,0.6754385047034525,9.482021730643114,5.206230229931603,4,2,0.09383880182191107
POSITION_TRANSITION,2025,122,27,16,0.5925925925925926,18,10,4.962343155673568,4.137559126431377,-0.8247840292421911,0.18379048724716918,0.15324293060856953,0.25859744540196106,1.555518398122641,1.9484954363521507,4.061983193932155,3.2728129629584437,3,2,0.023990442558141742
POSITION_TRANSITION,2026_JAN_JUL,149,22,8,0.36363636363636365,15,4,6.172553540376626,0.5244269171645581,-5.648126623212068,0.2805706154716648,0.023837587143843552,0.06555336464556977,1.9289693029183879,1.2295213022116287,2.2803130256894093,1.2190864965986394,2,1,0.05160439156660743
