entry_ts,side,vol_percentile,expansion15_atr,eff15,early_exit_R,original_R,delta_R,saved_R,given_up_R,original_exit_ts,original_exit_reason,original_right_tail,period
1610105700,-1,0.8596230158730159,-0.16132293626044555,-0.10308994125506309,-0.10981732545216691,-1.0022687012785378,0.8924513758263709,0.8924513758263709,0.0,1610118300,INITIAL_STOP,False,historical
1610132400,-1,0.8377976190476191,-0.8685589980401693,-0.40626998419640775,-0.5811323259557244,-1.0020929939289438,0.4209606679732194,0.4209606679732194,0.0,1610148300,INITIAL_STOP,False,historical
1610346300,1,0.9990079365079365,-0.18792619182221468,-0.12007391438250938,-0.12638114260781047,0.25758186837766545,-0.3839630109854759,0.0,0.3839630109854759,1610367900,TIME_EXIT,False,historical
1610357400,1,0.9538690476190477,-0.39597398504862036,-0.3942588593928638,-0.2652435278886226,-1.0012608711895399,0.7360173433009173,0.7360173433009173,0.0,1610366400,INITIAL_STOP,False,historical
1611793200,-1,0.8090277777777778,-0.3673059622680884,-0.17315304240934284,-0.24747488754742664,-1.0026042460353681,0.7551293584879415,0.7551293584879415,0.0,1611795300,INITIAL_STOP,False,historical
1611973200,-1,0.8903769841269841,-0.7473091983432549,-0.4159204308892051,-0.5004460332763198,-0.46795002671718483,-0.03249600655913493,0.0,0.03249600655913493,1611994800,TIME_EXIT,False,historical
1612581600,1,0.9508928571428571,-0.49794301889846493,-0.3330858698342085,-0.33502012323719954,-1.0030581106382208,0.6680379874010213,0.6680379874010213,0.0,1612585200,INITIAL_STOP,False,historical
1612659000,-1,0.8665674603174603,-0.21153064846534253,-0.12335463147236916,-0.1449640040371456,1.4960564282730837,-1.6410204323102293,0.0,1.6410204323102293,1612663800,PROFIT_STOP,False,historical
1612664400,-1,0.9618055555555556,-0.4329638589908224,-0.18338517840805313,-0.29234497959251227,-1.003702406931968,0.7113574273394557,0.7113574273394557,0.0,1612684200,INITIAL_STOP,False,historical
1612791300,-1,1.0,-0.12396941371298922,-0.049277864747213525,-0.08455423377587884,0.6088109493698921,-0.693365183145771,0.0,0.693365183145771,1612812900,TIME_EXIT,False,historical
1612824300,1,0.9246031746031746,-0.07873625350033524,-0.0406255960328023,-0.05555762711615297,2.874795886086007,-2.93035351320216,0.0,2.93035351320216,1612827300,PROFIT_STOP,True,historical
1612830000,-1,0.9791666666666666,-0.16138644483126544,-0.08000853130783582,-0.10975342269398455,-0.36999236099270794,0.26023893829872335,0.26023893829872335,0.0,1612851600,TIME_EXIT,False,historical
