trade_index,year,raw_R,target_boost_state,side,H1,H4,weighted_R_1x,equity_1x,drawdown_1x,weighted_R_1.25x,equity_1.25x,drawdown_1.25x,weighted_R_1.5x,equity_1.5x,drawdown_1.5x,weighted_R_2x,equity_2x,drawdown_2x
1,2021,0.9962758127752915,0,SHORT,UP,UP,0.9962758127752915,0.9962758127752915,0.0,0.9962758127752915,0.9962758127752915,0.0,0.9962758127752915,0.9962758127752915,0.0,0.9962758127752915,0.9962758127752915,0.0
2,2021,-1.0008591038063688,0,LONG,NEUTRAL,UP,-1.0008591038063688,-0.004583291031077241,1.0008591038063688,-1.0008591038063688,-0.004583291031077241,1.0008591038063688,-1.0008591038063688,-0.004583291031077241,1.0008591038063688,-1.0008591038063688,-0.004583291031077241,1.0008591038063688
3,2021,0.7265115172329757,0,LONG,DOWN,UP,0.7265115172329757,0.7219282262018984,0.2743475865733931,0.7265115172329757,0.7219282262018984,0.2743475865733931,0.7265115172329757,0.7219282262018984,0.2743475865733931,0.7265115172329757,0.7219282262018984,0.2743475865733931
4,2021,-1.0009761389386913,0,SHORT,UP,UP,-1.0009761389386913,-0.27904791273679286,1.2753237255120844,-1.0009761389386913,-0.27904791273679286,1.2753237255120844,-1.0009761389386913,-0.27904791273679286,1.2753237255120844,-1.0009761389386913,-0.27904791273679286,1.2753237255120844
5,2021,0.6403900834262355,1,LONG,UP,UP,0.6403900834262355,0.36134217068944263,0.6349336420858489,0.8004876042827944,0.5214396915460016,0.47483612122929,0.9605851251393532,0.6815372124025604,0.31473860037273116,1.280780166852471,1.0017322541156781,0.0
6,2021,0.7628134081378714,0,SHORT,UP,UP,0.7628134081378714,1.124155578827314,0.0,0.7628134081378714,1.2842530996838728,0.0,0.7628134081378714,1.4443506205404317,0.0,0.7628134081378714,1.7645456622535494,0.0
7,2021,-1.0008036707413706,0,LONG,DOWN,UP,-1.0008036707413706,0.12335190808594354,1.0008036707413706,-1.0008036707413706,0.28344942894250225,1.0008036707413706,-1.0008036707413706,0.4435469497990612,1.0008036707413706,-1.0008036707413706,0.7637419915121788,1.0008036707413706
8,2021,0.789648764888735,0,LONG,DOWN,DOWN,0.789648764888735,0.9130006729746786,0.21115490585263552,0.789648764888735,1.0730981938312372,0.21115490585263563,0.789648764888735,1.2331957146877963,0.2111549058526354,0.789648764888735,1.5533907564009137,0.21115490585263563
9,2021,-1.001061580729974,0,SHORT,UP,NEUTRAL,-1.001061580729974,-0.08806090775529551,1.2122164865826095,-1.001061580729974,0.07203661310126308,1.2122164865826097,-1.001061580729974,0.23213413395782223,1.2122164865826095,-1.001061580729974,0.5523291756709396,1.2122164865826097
10,2021,-1.0012148997445378,1,LONG,UP,UP,-1.0012148997445378,-1.0892758074998334,2.2134313863271475,-1.2515186246806722,-1.1794820115794091,2.463735111263282,-1.5018223496168068,-1.2696882156589846,2.7140388361994163,-2.0024297994890756,-1.450100623818136,3.2146462860716856
11,2021,-1.0012722750185994,1,LONG,UP,UP,-1.0012722750185994,-2.090548082518433,3.214703661345747,-1.2515903437732492,-2.4310723553526583,3.715325455036531,-1.5019084125278992,-2.7715966281868836,4.215947248727315,-2.002544550037199,-3.452645173855335,5.217190836108884
12,2021,-0.37266788724556266,0,SHORT,DOWN,NEUTRAL,-0.37266788724556266,-2.4632159697639957,3.58737154859131,-0.37266788724556266,-2.803740242598221,4.087993342282093,-0.37266788724556266,-3.1442645154324462,4.588615135972878,-0.37266788724556266,-3.8253130611008976,5.589858723354447
13,2021,0.9897642077368123,0,LONG,DOWN,DOWN,0.9897642077368123,-1.4734517620271834,2.5976073408544975,0.9897642077368123,-1.8139760348614087,3.0982291345452815,0.9897642077368123,-2.154500307695634,3.5988509282360654,0.9897642077368123,-2.8355488533640854,4.600094515617634
14,2021,2.2208277219359984,1,SHORT,DOWN,DOWN,2.2208277219359984,0.747375959908815,0.3767796189184991,2.776034652419998,0.9620586175585895,0.32219448212528334,3.3312415829039974,1.1767412752083635,0.26760934533206826,4.441655443871997,1.6061065905079115,0.15843907174563787
15,2021,0.4859375430457185,1,SHORT,DOWN,DOWN,0.4859375430457185,1.2333135029545335,0.0,0.6074219288071482,1.5694805463657375,0.0,0.7289063145685778,1.9056475897769412,0.0,0.971875086091437,2.5779816765993484,0.0
16,2021,0.18621804789168106,1,SHORT,DOWN,DOWN,0.18621804789168106,1.4195315508462145,0.0,0.23277255986460132,1.8022531062303389,0.0,0.2793270718375216,2.1849746616144627,0.0,0.3724360957833621,2.9504177723827105,0.0
17,2021,2.221030601776685,0,LONG,NEUTRAL,DOWN,2.221030601776685,3.6405621526228997,0.0,2.221030601776685,4.023283708007024,0.0,2.221030601776685,4.4060052633911475,0.0,2.221030601776685,5.171448374159396,0.0
18,2021,-1.0011995719762563,0,SHORT,UP,NEUTRAL,-1.0011995719762563,2.6393625806466434,1.0011995719762563,-1.0011995719762563,3.0220841360307675,1.0011995719762563,-1.0011995719762563,3.404805691414891,1.0011995719762563,-1.0011995719762563,4.170248802183139,1.0011995719762563
19,2021,-1.0010069317097217,0,SHORT,UP,NEUTRAL,-1.0010069317097217,1.6383556489369218,2.002206503685978,-1.0010069317097217,2.021077204321046,2.002206503685978,-1.0010069317097217,2.4037987597051695,2.002206503685978,-1.0010069317097217,3.1692418704734178,2.002206503685978
20,2021,0.16342093085378984,0,SHORT,UP,UP,0.16342093085378984,1.8017765797907117,1.838785572832188,0.16342093085378984,2.184498135174836,1.838785572832188,0.16342093085378984,2.5672196905589595,1.838785572832188,0.16342093085378984,3.3326628013272077,1.838785572832188
21,2021,-1.0016991749700261,0,SHORT,UP,UP,-1.0016991749700261,0.8000774048206856,2.840484747802214,-1.0016991749700261,1.1827989602048097,2.840484747802214,-1.0016991749700261,1.5655205155889333,2.840484747802214,-1.0016991749700261,2.330963626357182,2.840484747802214
22,2021,-1.0018543291220563,1,LONG,UP,UP,-1.0018543291220563,-0.20177692430137073,3.8423390769242705,-1.2523179114025704,-0.06951895119776075,4.092802659204785,-1.5027814936830843,0.06273902190584901,4.343266241485298,-2.0037086582441126,0.3272549681130692,4.844193406046326
23,2021,-1.0018452979368393,0,SHORT,UP,UP,-1.0018452979368393,-1.20362222223821,4.8441843748611095,-1.0018452979368393,-1.0713642491346,5.094647957141624,-1.0018452979368393,-0.9391062760309903,5.345111539422138,-1.0018452979368393,-0.6745903298237701,5.846038703983166
24,2021,0.28498954562056905,0,SHORT,NEUTRAL,UP,0.28498954562056905,-0.9186326766176409,4.559194829240541,0.28498954562056905,-0.7863747035140309,4.809658411521054,0.28498954562056905,-0.6541167304104212,5.060121993801569,0.28498954562056905,-0.38960078420320104,5.5610491583625965
25,2021,-1.0015965795317443,0,SHORT,UP,UP,-1.0015965795317443,-1.9202292561493852,5.560791408772285,-1.0015965795317443,-1.7879712830457752,5.811254991052799,-1.0015965795317443,-1.6557133099421655,6.061718573333313,-1.0015965795317443,-1.3911973637349453,6.562645737894341
26,2021,-1.0008024531588773,0,SHORT,UP,UP,-1.0008024531588773,-2.9210317093082625,6.561593861931162,-1.0008024531588773,-2.7887737362046527,6.812057444211677,-1.0008024531588773,-2.6565157631010425,7.06252102649219,-1.0008024531588773,-2.3919998168938226,7.563448191053219
27,2021,-0.05695755459116349,0,SHORT,UP,UP,-0.05695755459116349,-2.977989263899426,6.618551416522326,-0.05695755459116349,-2.845731290795816,6.8690149988028395,-0.05695755459116349,-2.713473317692206,7.119478581083353,-0.05695755459116349,-2.448957371484986,7.620405745644382
28,2021,-1.0012195824382792,0,SHORT,NEUTRAL,UP,-1.0012195824382792,-3.979208846337705,7.619770998960605,-1.0012195824382792,-3.8469508732340953,7.870234581241119,-1.0012195824382792,-3.714692900130485,8.120698163521633,-1.0012195824382792,-3.450176953923265,8.621625328082661
