mode,trade_index,signal_time_utc,period_label,quality_state,raw_R,risk_multiplier,weighted_R,equity_R,drawdown_R
FLAT_1_1_1,1,2026-03-01 14:00:00+00:00,2026-03,NORMAL,0.0539374874815626,1.0,0.0539374874815626,0.0539374874815626,0.0
FLAT_1_1_1,2,2026-03-02 15:30:00+00:00,2026-03,NORMAL,-1.001610178787831,1.0,-1.001610178787831,-0.9476726913062685,1.001610178787831
FLAT_1_1_1,3,2026-03-03 10:00:00+00:00,2026-03,NORMAL,-1.0022251199374392,1.0,-1.0022251199374392,-1.9498978112437078,2.0038352987252703
FLAT_1_1_1,4,2026-03-03 16:45:00+00:00,2026-03,NORMAL,1.969522256361238,1.0,1.969522256361238,0.019624445117530254,0.03431304236403235
FLAT_1_1_1,5,2026-03-05 05:45:00+00:00,2026-03,NORMAL,1.5599364478678033,1.0,1.5599364478678033,1.5795608929853335,0.0
FLAT_1_1_1,6,2026-03-06 06:45:00+00:00,2026-03,NORMAL,2.219347859404499,1.0,2.219347859404499,3.7989087523898326,0.0
FLAT_1_1_1,7,2026-03-08 09:15:00+00:00,2026-03,LOW,2.217890902749247,1.0,2.217890902749247,6.01679965513908,0.0
FLAT_1_1_1,8,2026-03-09 09:30:00+00:00,2026-03,NORMAL,2.2194323888888925,1.0,2.2194323888888925,8.236232044027972,0.0
FLAT_1_1_1,9,2026-03-10 15:15:00+00:00,2026-03,HIGH,-0.369209450787765,1.0,-0.369209450787765,7.867022593240207,0.369209450787765
FLAT_1_1_1,10,2026-03-12 02:45:00+00:00,2026-03,NORMAL,-1.003695026690561,1.0,-1.003695026690561,6.863327566549645,1.3729044774783263
FLAT_1_1_1,11,2026-03-12 11:30:00+00:00,2026-03,HIGH,1.3224616129643092,1.0,1.3224616129643092,8.185789179513954,0.050442864514018027
FLAT_1_1_1,12,2026-03-14 03:45:00+00:00,2026-03,NORMAL,-0.5205721457927348,1.0,-0.5205721457927348,7.665217033721219,0.5710150103067528
FLAT_1_1_1,13,2026-03-15 06:30:00+00:00,2026-03,HIGH,2.217316611076805,1.0,2.217316611076805,9.882533644798023,0.0
FLAT_1_1_1,14,2026-03-15 23:00:00+00:00,2026-03,HIGH,1.223878050109179,1.0,1.223878050109179,11.106411694907202,0.0
