feature,delta_h1_h2,delta_hist_recent,stable_shift,structural
ret_24h,0.3626373626373626,0.18876404494382024,False,True
ret_72h,0.6153846153846154,0.22771535580524344,False,True
ret_7d,0.054945054945054944,0.10711610486891386,False,True
range_pos_7d,-0.17582417582417584,-0.027715355805243445,False,True
range_pos_30d,0.14285714285714285,-0.08389513108614233,False,True
rv_ratio_24h_7d,-0.38461538461538464,-0.12434456928838951,False,True
range_ratio_24h_7d,-0.24175824175824176,-0.052434456928838954,False,True
parent_range_pct,-0.8791208791208791,-0.4966292134831461,True,True
parent_body_frac,-0.1978021978021978,0.010486891385767791,False,True
parent_reclaim_frac,0.12087912087912088,0.1295880149812734,False,True
router_conf,0.3956043956043956,-0.09138576779026217,False,False
child_latency_h,-0.016483516483516484,0.07415730337078652,False,False
child_parent_range_ratio,0.43956043956043955,0.17303370786516853,False,False
prior_virtual_fills,0.38461538461538464,0.25205992509363295,False,False
episode_age_h,0.21978021978021978,0.351310861423221,False,False
