window,regime_like,opportunities,real_fills,cum_R,mean_R,profit_factor,max_dd_R,median_score
2026_JAN_JUL,True,2,1,1.078227075098828,1.078227075098828,inf,0.0,0.7263882984899024
2026_JAN_JUL,False,15,5,4.049130498367912,0.8098260996735824,4.45844155607076,1.1707962770862181,0.07956740027395565
AUG2026_REUSED_AUDIT,True,2,2,-2.9220094982742264,-1.4610047491371132,0.0,2.9220094982742264,0.6935496531989533
AUG2026_REUSED_AUDIT,False,2,0,0.0,,,0.0,0.2387034559223801
