feature,coef_standardized
parent_range_pct,-2.0177990560789496
ret_72h,0.8416682987533373
rv_ratio_24h_7d,0.48035001067220096
range_pos_30d,-0.4514840435022379
episode_age_h,0.41522713754011564
ret_24h,0.4136531247512596
prior_virtual_fills,0.3702271248248827
range_ratio_24h_7d,-0.3640384557543355
child_latency_h,0.2722280062164122
range_pos_7d,0.23508717629538914
router_conf,0.17998729720378046
child_parent_range_ratio,0.11308300158268479
parent_reclaim_frac,0.06404322196738933
parent_body_frac,-0.05049163314346643
ret_7d,0.04970119628662519
