source_index,parent_time,signal_time,fill_time,real_fill,real_R,episode_7d,ret_24h,ret_72h,ret_7d,range_pos_7d,range_pos_30d,rv_ratio_24h_7d,range_ratio_24h_7d,parent_range_pct,parent_body_frac,parent_reclaim_frac,router_conf,child_latency_h,child_parent_range_ratio,prior_virtual_fills,episode_age_h,regime_score,regime_like,window
186,2026-01-20 11:45:00+00:00,2026-01-20 12:45:00+00:00,2026-01-20 13:00:00+00:00,False,0.0,84,-0.01923582742563179,-0.04168810560292446,-0.009000606344524265,0.08121562776136,0.4224707049160802,0.7883585779019057,0.3771007081528147,0.00822065668563097,0.05467541473302361,0.7014322291566677,0.3524233310465181,1.0,0.14814370299249263,0.0,0.0,0.07956740027395565,False,2026_JAN_JUL
187,2026-01-25 23:45:00+00:00,2026-01-26 00:00:00+00:00,2026-01-26 00:15:00+00:00,True,1.4025252194705795,84,-0.02480367811085571,-0.02776193082189482,-0.05838194863070412,0.13295068397664866,0.08241172613476863,0.9505380071641808,0.44169997603903516,0.010834961340878154,0.18655691269021876,0.6342871138466826,0.3572489901050774,0.25,0.4742883917067073,1.0,131.25,0.3282277586461808,False,2026_JAN_JUL
188,2026-02-23 19:45:00+00:00,2026-02-23 20:30:00+00:00,,False,0.0,85,-0.04664778042114015,-0.051149791832757585,-0.05815777985254267,0.07110977430124132,0.13952352941176466,1.4491859833293055,0.7216251207332365,0.026060617372085895,0.8146481495849218,0.14704846708881125,0.3439348858777843,0.75,0.19907852253263056,0.0,0.0,0.004753992014860255,False,2026_JAN_JUL
189,2026-02-23 23:45:00+00:00,2026-02-24 00:00:00+00:00,2026-02-24 01:00:00+00:00,False,0.0,85,-0.0404055743554218,-0.045905045417816925,-0.05812729435809805,0.18798515144664965,0.15996797385620903,1.4865659383494827,0.6990290899376214,0.017742972734789465,0.3146035094448134,0.6687906972689741,0.3580403390127951,0.25,0.20834386631682136,0.0,3.5,0.03793131477587469,False,2026_JAN_JUL
190,2026-02-24 15:45:00+00:00,2026-02-24 16:00:00+00:00,2026-02-24 16:15:00+00:00,True,1.4323206995849918,85,-0.01629243189716234,-0.06134695051463801,-0.05285466377184189,0.267115030977213,0.13605555555555565,1.2427175453227735,0.5193571218501655,0.023782797909837443,0.4908773036779971,0.9620172463653806,0.3255668577389677,0.25,0.3104082866682427,1.0,19.5,0.0329011172309278,False,2026_JAN_JUL
191,2026-03-19 15:45:00+00:00,2026-03-19 18:45:00+00:00,,False,0.0,86,-0.017940766341747905,-0.055367212529223275,2.2486509526631338e-05,0.14262660181915335,0.5419630652081738,1.108227953359456,0.3913663075076478,0.019970175404980934,0.38973293511665724,0.446666378103848,0.3178567130996702,3.0,0.19618664242738929,0.0,0.0,0.023788229113889402,False,2026_JAN_JUL
192,2026-03-22 03:45:00+00:00,2026-03-22 04:45:00+00:00,2026-03-22 05:00:00+00:00,False,0.0,86,-0.01817796264070748,-0.020672510701819413,-0.03139834584433343,0.1453387376954256,0.507625065605513,0.9194701855197986,0.36961204400694875,0.019617683821413785,0.3101323982386196,0.8170978247285582,0.4011674724431432,1.0,0.07732909894213941,0.0,58.0,0.054108107028522354,False,2026_JAN_JUL
193,2026-03-27 19:45:00+00:00,2026-03-27 21:00:00+00:00,2026-03-27 21:30:00+00:00,True,1.3090722357089128,86,-0.040073617545156925,-0.054884328168424035,-0.05678563856324592,0.0930989342126391,0.24065767154973028,0.9746649875383135,0.5645678189025964,0.011231716945287948,0.09728345129761172,0.663849005729698,0.3176589320025703,1.25,0.23324570273002326,1.0,194.25,0.09340198772155113,False,2026_JAN_JUL
194,2026-03-29 23:45:00+00:00,2026-03-30 01:15:00+00:00,,False,0.0,86,0.0007950373799798793,-0.03347272319889283,-0.021857340867896147,0.22818381204909216,0.275500385505012,0.8214804626950043,0.30322697261207887,0.027174742122251603,0.18824526292904414,0.5635595346270227,0.3558460147952169,1.5,0.18504540564044641,2.0,246.5,0.14767964865231673,False,2026_JAN_JUL
198,2026-05-16 11:45:00+00:00,2026-05-16 14:30:00+00:00,2026-05-16 15:00:00+00:00,False,0.0,90,-0.0126824310431074,-0.018668121996813225,-0.0263535125403056,0.11964904160088674,0.49253371525879197,0.7318730578010179,0.3971508393741269,0.011404975633858479,0.32348515474104017,0.4960135651080317,0.4273976595820204,2.75,0.2758725239186061,0.0,0.0,0.18283618562491116,False,2026_JAN_JUL
199,2026-05-18 07:45:00+00:00,2026-05-18 11:30:00+00:00,,False,0.0,90,-0.013457762757257519,-0.0407215842203954,-0.046688427018854894,0.13912310742123038,0.3979644278953149,1.0535688163487833,0.35410421089210714,0.006564626657942442,0.2945489762036549,0.9691675231243744,0.3173211504426819,3.75,1.2278440983476968,1.0,45.0,0.6743563310328542,True,2026_JAN_JUL
200,2026-05-23 03:45:00+00:00,2026-05-23 09:30:00+00:00,2026-05-23 09:45:00+00:00,True,1.078227075098828,90,-0.03331319948419409,-0.03572936678964933,-0.0432990783369438,0.10455202429478284,0.05264473622727784,1.0624781154396936,0.7645108679261035,0.005878478306799337,0.21528496243984113,0.9338761189330339,0.4930194347441274,5.75,0.19915883226126543,1.0,163.0,0.7784202659469507,True,2026_JAN_JUL
201,2026-05-28 07:45:00+00:00,2026-05-28 08:45:00+00:00,2026-05-28 09:00:00+00:00,True,1.0760086206896466,90,-0.033573892455363685,-0.05333363285458992,-0.05901535881530651,0.11119305832592997,0.058988356066257214,1.0857935031256618,0.641665316400057,0.010657296797191674,0.30639992850668585,0.9819479375454818,0.3528363226557972,1.0,0.11032950758978023,2.0,282.25,0.3008165782044195,False,2026_JAN_JUL
202,2026-05-28 15:45:00+00:00,2026-05-28 16:15:00+00:00,,False,0.0,90,-0.02593930251946741,-0.05722361129011466,-0.05224002329040134,0.10284044138711257,0.05524399104720064,1.117924659083016,0.5136564563562704,0.013683633322560163,0.5781167015722568,0.34662751896424737,0.368992119385178,0.5,0.25457697433688203,3.0,289.75,0.3225517676184825,False,2026_JAN_JUL
203,2026-06-23 11:45:00+00:00,2026-06-23 13:45:00+00:00,,False,0.0,91,-0.04730260148220444,-0.014539783569708642,-0.054139314479501044,0.11934302440366172,0.1765298491906469,1.0607800387967188,0.8174106518956611,0.01611146004947284,0.3763156849505526,0.5650593795924819,0.3915061505749876,2.0,0.26484489812130196,0.0,0.0,0.05464482480534024,False,2026_JAN_JUL
204,2026-06-25 15:45:00+00:00,2026-06-25 16:00:00+00:00,2026-06-25 16:30:00+00:00,False,0.0,91,-0.012598040892207396,-0.07674957515835001,-0.045944930706406484,0.2193699369457443,0.08857165904813115,1.9056481658087385,0.5124510177388376,0.06122335559007275,0.47280560781496067,0.3957338043078806,0.3618013875946158,0.25,0.1642743134211293,0.0,50.25,0.00025777407652785025,False,2026_JAN_JUL
205,2026-07-01 03:45:00+00:00,2026-07-01 04:30:00+00:00,2026-07-01 05:00:00+00:00,True,-1.170796277086218,91,-0.004295826623725185,-0.013529262882762905,-0.05259329082977071,0.28677096529242296,0.09878259481725621,0.7556067277790033,0.3516704756686585,0.025639925449088455,0.3771354780901425,0.9203655266469434,0.3226407189631022,0.75,0.11432260954928289,1.0,182.75,0.13878814817283663,False,2026_JAN_JUL
207,2026-08-01 19:45:00+00:00,2026-08-01 20:00:00+00:00,,False,0.0,92,-0.007005470216037146,-0.016558069575081658,-0.02827067813994255,0.08156559833986612,0.22938031885535884,0.4692876462152551,0.25219045423103487,0.012036657070178699,0.6340795854646875,0.3385637414468866,0.4323501840572097,0.25,0.1178635487942589,0.0,0.0,0.1057366426762401,False,AUG2026_REUSED_AUDIT
209,2026-08-11 19:45:00+00:00,2026-08-11 20:00:00+00:00,,False,0.0,93,-0.005912540734487659,-0.021561870692085927,-0.007826037093271676,0.19462901192062412,0.36021149131388885,0.9770290361498928,0.5711839245951195,0.006641903802568623,0.17502369668246584,0.7061611374407583,0.3375432655624469,0.25,0.4260189573459688,1.0,43.5,0.3716702691685201,False,AUG2026_REUSED_AUDIT
210,2026-08-13 19:45:00+00:00,2026-08-13 20:15:00+00:00,2026-08-13 20:30:00+00:00,True,-1.6967328646749174,93,-0.0008424292068158756,-0.010439820500524388,-0.0159833471843166,0.24363911248825956,0.25171592450573066,1.2916081198139355,0.45196262241831686,0.012091536098211036,0.01567757923569063,0.790035215860177,0.3461510341120942,0.5,0.059371331681226734,1.0,91.75,0.5640328754290708,True,AUG2026_REUSED_AUDIT
211,2026-08-14 11:45:00+00:00,2026-08-14 14:30:00+00:00,2026-08-14 14:45:00+00:00,True,-1.225276633599309,93,-0.018980300187617316,-0.018944101126933455,-0.03616625750417124,0.059557498026696895,0.10062057400425053,1.1995492149028193,0.4807512675658251,0.004737323726240837,0.17442836517475332,0.5668670046670945,0.354783598296572,2.75,0.46707853473457933,2.0,110.0,0.8230664309688358,True,AUG2026_REUSED_AUDIT
