period,variant,N,WR,EV,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses
historical,V192_CANONICAL_CONTROL,1147,0.44725370531822145,0.11484303190535335,1.238697793391438,131.7249575954403,16.86443455010641,7.810813769300622,11
historical,V191D_CONTROL,5405,0.6747456059204441,-0.0458964784402402,0.8468582605181297,-248.0704659694983,264.09040894252206,-0.9393391716224332,6
historical,V191E1_EXITZ_OFF_ONLY,5404,0.6872686898593634,-0.05436595829411943,0.8258930953186637,-293.7936386214214,300.1689050816512,-0.9787610696767688,6
historical,V191E2_SAMESIDE_CONFIRM,5405,0.688436632747456,-0.05251166583563701,0.8312775539314106,-283.82555384161805,292.53770345346413,-0.9702187119506392,6
historical,V191F1_FRESH45,5405,0.7024976873265495,-0.031492831661383766,0.8942706940611482,-170.21875512977925,190.22282595923414,-0.8948387464617844,6
historical,V191F2_MIN_CONFIRM_Z075,5405,0.7023126734505087,-0.02842326313170655,0.9045327584623537,-153.6277372268739,171.8207448742459,-0.8941163497999773,6
historical,V191F3_MAX_ADVERSE075,5403,0.7220062928002962,0.002434190152718742,1.008760579317784,13.151929395139362,51.76595773936882,0.25406521910319285,6
historical,V191F4_FULL_RESPONSE050,5403,0.7210808809920415,-0.000603765852301796,0.9978344428262406,-3.262146899986604,52.94598730094388,-0.06161273150776526,6
2026,V192_CANONICAL_CONTROL,135,0.4666666666666667,0.19629958785586393,1.4313396751426626,26.500444360541632,6.489289729509487,4.083720324588551,7
2026,V191D_CONTROL,552,0.6938405797101449,-0.04892063920099753,0.83072399194302,-27.004192838950637,39.43829219998417,-0.6847201370185466,6
2026,V191E1_EXITZ_OFF_ONLY,552,0.7065217391304348,-0.04807895681095077,0.835395927737788,-26.539584159644825,37.66041882043561,-0.7047076211814112,6
2026,V191E2_SAMESIDE_CONFIRM,552,0.7010869565217391,-0.05845424669543786,0.803590534744615,-32.2667441758817,43.387578836672475,-0.7436862125297686,6
2026,V191F1_FRESH45,552,0.7028985507246377,-0.06052240134600061,0.7979232277850713,-33.408365542992335,51.30901581030435,-0.6511207633860511,6
2026,V191F2_MIN_CONFIRM_Z075,552,0.697463768115942,-0.07500139030597218,0.7526896193073018,-41.400767448896644,58.21705942923218,-0.7111449436779407,6
2026,V191F3_MAX_ADVERSE075,550,0.7127272727272728,-0.043901793811127375,0.8482841103820222,-24.145986596120057,44.120614106462355,-0.5472722237695098,6
2026,V191F4_FULL_RESPONSE050,550,0.7163636363636363,-0.03697320912118664,0.8705674014807673,-20.33526501665265,35.38074671458145,-0.5747551113236365,5
