from,to,N_from,N_to,removed_signal_count,added_signal_count,removed_trade_sumR,added_trade_sumR,full_sequence_deltaR,period
V191D_CONTROL,V191E1_EXITZ_OFF_ONLY,5405,5404,241,240,13.417536686754787,-17.590238957061807,-45.723172651923164,historical
V191E1_EXITZ_OFF_ONLY,V191E2_SAMESIDE_CONFIRM,5404,5405,190,191,-14.813920439652515,-4.845835659849186,9.968084779803348,historical
V191E2_SAMESIDE_CONFIRM,V191F1_FRESH45,5405,5405,1358,1358,-43.07369526155867,70.53310345028012,113.60679871183885,historical
V191F1_FRESH45,V191F2_MIN_CONFIRM_Z075,5405,5405,305,305,-3.2257443899508704,13.365273512954493,16.59101790290532,historical
V191F2_MIN_CONFIRM_Z075,V191F3_MAX_ADVERSE075,5405,5403,1197,1195,-15.498013343478767,151.2816532785345,166.77966662201322,historical
V191F3_MAX_ADVERSE075,V191F4_FULL_RESPONSE050,5403,5403,56,56,9.779664256446479,-6.634412038679493,-16.414076295125952,historical
