from,to,N_from,N_to,removed_signal_count,added_signal_count,removed_trade_sumR,added_trade_sumR,full_sequence_deltaR,period
V191D_CONTROL,V191E1_EXITZ_OFF_ONLY,552,552,4,4,2.7221285139308167,1.0881473800301562,0.46460867930581173,2026
V191E1_EXITZ_OFF_ONLY,V191E2_SAMESIDE_CONFIRM,552,552,9,9,0.9982148144520487,-4.728945201784826,-5.727160016236876,2026
V191E2_SAMESIDE_CONFIRM,V191F1_FRESH45,552,552,95,95,-0.022826680148450462,-1.1644480472590906,-1.1416213671106448,2026
V191F1_FRESH45,V191F2_MIN_CONFIRM_Z075,552,552,18,18,4.189225994679287,-3.8031759112250203,-7.992401905904302,2026
V191F2_MIN_CONFIRM_Z075,V191F3_MAX_ADVERSE075,552,550,114,112,-9.450542759034219,7.80423809374237,17.25478085277659,2026
V191F3_MAX_ADVERSE075,V191F4_FULL_RESPONSE050,550,550,35,35,-4.986030711727492,-1.1753091322600837,3.8107215794674048,2026
