signal_time,side
2026-08-25 02:15:00+00:00,1
2026-08-25 14:15:00+00:00,-1
2026-08-27 09:45:00+00:00,1
2026-08-28 10:45:00+00:00,-1
2026-08-30 02:00:00+00:00,1
2026-08-30 15:00:00+00:00,1
2026-08-31 10:45:00+00:00,1
2026-09-01 08:30:00+00:00,-1
2026-09-01 21:00:00+00:00,-1
2026-09-02 09:45:00+00:00,-1
2026-09-03 13:00:00+00:00,1
2026-09-04 10:00:00+00:00,-1
2026-09-07 05:00:00+00:00,-1
2026-09-07 17:00:00+00:00,-1
2026-09-08 05:00:00+00:00,-1
2026-09-08 17:00:00+00:00,1
