ticker,window_start,session_end_date,open,high,low,close,transactions,volume,dollar_volume
GCZ6,1790294400000000000,2026-09-25,4299.9,4301.8,4299.3,4301.6,82,106,455854.4
GCZ6,1790294460000000000,2026-09-25,4301.8,4304.1,4301.8,4303.7,39,53,228055.1
GCZ6,1790294520000000000,2026-09-25,4304.0,4304.8,4303.7,4304.3,35,45,193690.0
GCZ6,1790294580000000000,2026-09-25,4304.2,4304.3,4302.7,4303.9,41,56,240996.5
GCZ6,1790294640000000000,2026-09-25,4303.9,4305.5,4303.9,4304.9,39,55,236772.8
GCZ6,1790294700000000000,2026-09-25,4305.0,4305.0,4303.4,4304.4,19,30,129130.2
GCZ6,1790294760000000000,2026-09-25,4304.5,4304.5,4303.2,4303.2,14,17,73160.4
GCZ6,1790294820000000000,2026-09-25,4303.0,4303.3,4302.2,4302.7,15,16,68844.8
GCZ6,1790294880000000000,2026-09-25,4302.8,4303.9,4302.3,4303.7,18,21,90364.2
GCZ6,1790294940000000000,2026-09-25,4304.5,4305.0,4304.3,4304.3,6,7,30132.8
GCZ6,1790295000000000000,2026-09-25,4303.5,4304.4,4303.2,4303.8,12,15,64559.6
GCZ6,1790295060000000000,2026-09-25,4303.5,4303.7,4302.5,4302.5,15,19,81756.8
GCZ6,1790295120000000000,2026-09-25,4301.8,4301.8,4301.0,4301.0,9,9,38714.2
GCZ6,1790295180000000000,2026-09-25,4300.8,4302.8,4300.5,4302.8,20,24,103237.0
GCZ6,1790295240000000000,2026-09-25,4301.7,4301.7,4300.8,4301.2,20,24,103231.5
GCZ6,1790295300000000000,2026-09-25,4301.1,4301.1,4299.9,4301.1,25,33,141910.1
GCZ6,1790295360000000000,2026-09-25,4301.7,4302.9,4301.2,4302.8,19,21,90338.4
GCZ6,1790295420000000000,2026-09-25,4303.3,4303.5,4302.5,4302.7,17,22,94666.5
GCZ6,1790295480000000000,2026-09-25,4302.6,4303.5,4302.3,4302.3,14,16,68848.0
GCZ6,1790295540000000000,2026-09-25,4302.4,4302.7,4302.3,4302.6,7,8,34420.3
GCZ6,1790295600000000000,2026-09-25,4302.4,4302.4,4301.3,4301.3,16,21,90342.9
GCZ6,1790295660000000000,2026-09-25,4301.8,4302.0,4301.6,4301.7,6,6,25810.8
GCZ6,1790295720000000000,2026-09-25,4301.8,4304.4,4301.4,4304.3,35,39,167825.8
GCZ6,1790295780000000000,2026-09-25,4304.5,4305.4,4304.4,4304.8,24,29,124842.7
GCZ6,1790295840000000000,2026-09-25,4304.5,4305.1,4304.2,4304.2,10,14,60266.9
GCZ6,1790295900000000000,2026-09-25,4304.1,4305.1,4303.6,4305.1,13,23,99000.3
GCZ6,1790295960000000000,2026-09-25,4305.0,4305.2,4304.0,4304.9,18,21,90398.4
GCZ6,1790296020000000000,2026-09-25,4305.0,4305.2,4304.5,4304.5,6,6,25829.6
GCZ6,1790296080000000000,2026-09-25,4304.5,4304.5,4303.2,4304.3,10,10,43038.6
GCZ6,1790296140000000000,2026-09-25,4304.1,4305.5,4304.0,4305.1,29,35,150668.8
GCZ6,1790296200000000000,2026-09-25,4305.1,4305.1,4303.5,4303.7,11,12,51648.1
GCZ6,1790296260000000000,2026-09-25,4303.5,4303.5,4302.2,4303.2,24,26,111872.3
GCZ6,1790296320000000000,2026-09-25,4303.0,4304.2,4302.5,4304.1,32,38,163518.9
GCZ6,1790296380000000000,2026-09-25,4304.1,4305.0,4303.9,4304.3,42,47,202307.3
GCZ6,1790296440000000000,2026-09-25,4304.3,4304.5,4303.4,4304.1,10,10,43040.1
GCZ6,1790296500000000000,2026-09-25,4304.8,4305.4,4304.8,4304.8,8,8,34440.8
GCZ6,1790296560000000000,2026-09-25,4304.6,4304.6,4304.1,4304.2,15,16,68869.2
GCZ6,1790296620000000000,2026-09-25,4304.5,4305.0,4304.1,4304.3,10,10,43045.0
GCZ6,1790296680000000000,2026-09-25,4304.1,4304.3,4303.7,4303.7,8,8,34432.4
GCZ6,1790296740000000000,2026-09-25,4303.8,4304.4,4303.8,4304.4,9,11,47344.4
GCZ6,1790296800000000000,2026-09-25,4304.8,4307.4,4304.8,4306.3,39,49,210995.9
GCZ6,1790296860000000000,2026-09-25,4306.2,4306.9,4305.8,4306.5,13,17,73209.7
GCZ6,1790296920000000000,2026-09-25,4306.3,4306.3,4305.6,4306.2,13,15,64588.7
GCZ6,1790296980000000000,2026-09-25,4306.4,4306.4,4305.8,4306.0,8,8,34448.2
GCZ6,1790297040000000000,2026-09-25,4305.6,4306.0,4305.6,4305.9,4,4,17223.4
GCZ6,1790297100000000000,2026-09-25,4306.1,4306.8,4305.5,4305.5,40,50,215306.1
GCZ6,1790297160000000000,2026-09-25,4306.4,4306.5,4306.0,4306.1,12,13,55981.2
GCZ6,1790297220000000000,2026-09-25,4306.1,4306.5,4305.0,4305.1,20,25,107639.8
GCZ6,1790297280000000000,2026-09-25,4305.3,4307.7,4305.3,4307.6,26,31,133510.9
GCZ6,1790297340000000000,2026-09-25,4307.2,4308.4,4307.1,4307.9,38,50,215394.8
GCZ6,1790297400000000000,2026-09-25,4307.9,4309.0,4307.5,4307.5,32,36,155102.4
GCZ6,1790297460000000000,2026-09-25,4307.6,4308.9,4307.1,4308.1,25,29,124931.7
GCZ6,1790297520000000000,2026-09-25,4307.7,4308.1,4307.3,4307.8,24,33,142152.7
GCZ6,1790297580000000000,2026-09-25,4308.0,4308.4,4306.9,4308.3,19,22,94766.9
GCZ6,1790297640000000000,2026-09-25,4308.4,4308.4,4307.6,4308.0,10,10,43078.9
GCZ6,1790297700000000000,2026-09-25,4307.8,4309.0,4307.6,4308.7,20,21,90473.2
GCZ6,1790297760000000000,2026-09-25,4308.8,4311.0,4308.7,4311.0,44,51,219815.6
GCZ6,1790297820000000000,2026-09-25,4310.9,4314.6,4310.9,4314.5,150,248,1069681.1
GCZ6,1790297880000000000,2026-09-25,4314.3,4315.3,4313.6,4315.0,68,97,418492.2
GCZ6,1790297940000000000,2026-09-25,4314.7,4315.5,4313.0,4313.0,63,80,345160.3
GCZ6,1790298000000000000,2026-09-25,4313.2,4317.6,4311.7,4317.0,155,201,867200.3
GCZ6,1790298060000000000,2026-09-25,4316.9,4318.0,4316.3,4317.5,58,65,280610.5
GCZ6,1790298120000000000,2026-09-25,4317.5,4318.0,4316.6,4317.2,44,56,241774.5
GCZ6,1790298180000000000,2026-09-25,4317.5,4318.2,4317.3,4318.2,37,46,198613.8
GCZ6,1790298240000000000,2026-09-25,4318.5,4318.5,4315.7,4316.2,76,114,492147.8
GCZ6,1790298300000000000,2026-09-25,4316.0,4318.5,4315.2,4317.1,73,120,518021.0
GCZ6,1790298360000000000,2026-09-25,4317.2,4318.2,4317.0,4318.1,20,23,99301.2
GCZ6,1790298420000000000,2026-09-25,4317.4,4318.6,4317.4,4318.1,36,42,181350.6
GCZ6,1790298480000000000,2026-09-25,4318.3,4320.0,4318.3,4319.0,76,119,513992.9
GCZ6,1790298540000000000,2026-09-25,4319.0,4319.4,4318.7,4318.9,26,33,142528.8
GCZ6,1790298600000000000,2026-09-25,4319.3,4320.6,4318.9,4320.5,62,81,349907.5
GCZ6,1790298660000000000,2026-09-25,4320.3,4322.8,4320.2,4322.3,88,160,691414.6
GCZ6,1790298720000000000,2026-09-25,4322.3,4323.3,4320.3,4320.5,132,221,955230.6
GCZ6,1790298780000000000,2026-09-25,4320.2,4323.8,4320.2,4323.4,38,49,211789.0
GCZ6,1790298840000000000,2026-09-25,4323.6,4325.4,4322.7,4324.7,124,194,838917.6
GCZ6,1790298900000000000,2026-09-25,4324.9,4325.7,4324.6,4325.5,58,72,311410.4
GCZ6,1790298960000000000,2026-09-25,4325.5,4325.9,4324.4,4325.6,82,104,449798.4
GCZ6,1790299020000000000,2026-09-25,4325.5,4326.5,4324.4,4325.7,88,114,493122.8
GCZ6,1790299080000000000,2026-09-25,4325.6,4326.0,4324.7,4325.2,43,64,276811.2
GCZ6,1790299140000000000,2026-09-25,4324.9,4324.9,4323.5,4324.7,74,106,458380.2
GCZ6,1790299200000000000,2026-09-25,4324.9,4327.0,4324.9,4326.5,93,128,553750.5
GCZ6,1790299260000000000,2026-09-25,4326.7,4328.6,4325.6,4328.2,96,132,571208.8
GCZ6,1790299320000000000,2026-09-25,4328.6,4328.7,4327.5,4327.9,56,79,341922.0
GCZ6,1790299380000000000,2026-09-25,4327.9,4328.0,4326.5,4327.4,49,76,328881.3
GCZ6,1790299440000000000,2026-09-25,4327.4,4328.2,4327.1,4328.0,30,32,138483.9
GCZ6,1790299500000000000,2026-09-25,4328.0,4328.6,4327.7,4327.8,39,56,242372.6
GCZ6,1790299560000000000,2026-09-25,4327.7,4328.5,4327.7,4328.1,17,20,86565.2
GCZ6,1790299620000000000,2026-09-25,4327.6,4328.9,4327.3,4327.3,35,47,203430.4
GCZ6,1790299680000000000,2026-09-25,4327.3,4329.5,4327.2,4329.0,54,98,424191.2
