feature,std_logit_coef,abs_coef
ret60_atr,-0.16716956654644435,0.16716956654644435
pullback60_atr,-0.16526749795931198,0.16526749795931198
range60_atr,0.15744987832143015,0.15744987832143015
eff60,0.150651739412097,0.150651739412097
oi_ch60,0.12461845146504522,0.12461845146504522
close_loc60,-0.10748301253339378,0.10748301253339378
eff30,0.10415063293318112,0.10415063293318112
ret30_atr,-0.09858769065550725,0.09858769065550725
confirm_age_min,-0.09448264797392986,0.09448264797392986
oi_ch30,-0.08901247363248371,0.08901247363248371
pre_adv_atr,0.06226676697266144,0.06226676697266144
pre_fav_atr,0.06120778975332518,0.06120778975332518
confirm_z,0.05463233546974223,0.05463233546974223
delta_abs_z,0.05200346917990533,0.05200346917990533
taker_delta60,-0.04230238149805292,0.04230238149805292
with_aligned,-0.03900403368338127,0.03900403368338127
range15_atr,-0.038489859972455395,0.038489859972455395
signal_z,-0.0384590472455557,0.0384590472455557
with_h4,-0.036421536015054976,0.036421536015054976
close_loc15,-0.03619731402856791,0.03619731402856791
h1_state,0.03399364591569061,0.03399364591569061
h1_h4_aligned,0.031789847573035726,0.031789847573035726
ret15_atr,0.02938384220891877,0.02938384220891877
h4_state,-0.01793330314637008,0.01793330314637008
atr_pct,-0.016309169380194968,0.016309169380194968
taker_delta15,0.009449873305749703,0.009449873305749703
vol_exp15,-0.0069723677201097055,0.0069723677201097055
with_h1,0.0035167001695725953,0.0035167001695725953
response_ratio,0.0014607132593558445,0.0014607132593558445
taker_delta30,0.0005888976418014707,0.0005888976418014707
