period,family,quintile,N,mean_prob,impulse_rate,EV_R,PF,SumR,MaxDD_R,ret15,ret30,ret60,ret120,mfe60,mae60
2024,TREND_ONLY,Q1,215,0.2876002635933245,0.2837209302325581,0.0641715472858903,1.1087769052168404,13.796882666466416,15.310822918813686,0.018566207139087364,-0.032069110088849564,0.02829243252525667,0.06823247525271936,1.283307224950493,1.1758602647351895
2024,TREND_ONLY,Q2,215,0.3065899579435039,0.2930232558139535,-0.021465383250119274,0.9662858084904821,-4.615057398775644,34.04670795583806,-0.003296104590599439,0.016542250851036208,0.05678440797770716,0.24703534323533105,1.2521920175211958,1.1796274627495411
2024,TREND_ONLY,Q3,215,0.31892204262410345,0.26046511627906976,0.10580917436952482,1.1773742262798033,22.748972489447837,16.921961672693083,-0.01723640287247822,-0.01514091408105586,0.05914462629123458,0.11972585250335659,1.36516095619882,1.2587401584591573
2024,TREND_ONLY,Q4,215,0.3251663639643556,0.3581395348837209,0.22157761963886222,1.3979022741253968,47.63918822235538,11.092809357526924,-0.0032836071263054097,-0.00795977257369696,-0.0663370369930803,0.03147623274467645,1.282762883805258,1.3976434700623708
2024,TREND_ONLY,Q5,215,0.34574373615850185,0.3023255813953488,0.07676706095335287,1.130656679237158,16.504918104970866,18.34362946521827,-0.038678279384150485,-0.01169156632402937,0.09890660590412574,0.16710254981173384,1.3094331754858162,1.0741015557460687
2025,TREND_ONLY,Q1,216,0.2886445436222958,0.28703703703703703,0.17167094621451387,1.2954683360697785,37.080924382335,11.375381838936839,-0.12540634457555289,-0.10676832420320743,-0.03993162846061457,-0.06253263351363184,1.13725307215889,1.1595206428709088
2025,TREND_ONLY,Q2,215,0.2963232922015106,0.3023255813953488,0.09298533938220331,1.146099651990781,19.99184796717371,15.798527502399553,-0.027470321144081284,0.014493948397214695,0.06788649848865555,0.3180108731132584,1.3260439684731726,1.2217171976218693
2025,TREND_ONLY,Q3,215,0.30062341982730845,0.3209302325581395,0.11801144138040015,1.1988088358833344,25.372459896786033,17.498813962761172,-0.018395823619335807,-0.01753249396728218,0.050052751973631134,0.1550258179486596,1.2386604402204437,1.1223346376338954
2025,TREND_ONLY,Q4,215,0.3287605191606539,0.3023255813953488,0.09377824357980526,1.1591238510470008,20.16232236965813,23.12410944621348,-0.03397054034607357,0.03460907938848638,-0.03442421435782715,0.16975374340388502,1.1252534290726106,1.130476507663024
2025,TREND_ONLY,Q5,216,0.33780404250875334,0.2916666666666667,0.04299356209610988,1.0703734473341437,9.286609412759734,14.90458614202442,0.006900110243408214,0.044282816248332975,0.09050979734763454,0.17090108630464004,1.3270172017091044,1.1928871715882197
2026,TREND_ONLY,Q1,109,0.28971165536053767,0.26605504587155965,0.18477549354491493,1.3076850297530613,20.140528796395728,9.197884428131609,-0.1190688230765643,-0.20831534925382475,-0.022209401303238764,0.08231619965923935,1.3463937637884362,1.312565966943212
2026,TREND_ONLY,Q2,109,0.299185720026684,0.28440366972477066,0.12858813876906908,1.20756816104047,14.016107125828528,9.053600199030999,0.052492789733979764,0.13680408559855625,0.08347740851476068,-0.018683892526446574,1.2795931244708683,1.0938142086905132
2026,TREND_ONLY,Q3,108,0.30268287739327465,0.26851851851851855,-0.1950487066659226,0.7189536870590719,-21.06526031991964,28.005425477390062,-0.1498571036009444,-0.19581420646973327,-0.15922298323222836,-0.35044363900268255,1.1690026142714438,1.2857380267687832
2026,TREND_ONLY,Q4,109,0.32210210887477153,0.3119266055045872,-0.04797562434486461,0.9238361866634961,-5.2293430535902425,22.63119094737042,0.04474962003890337,0.08501837184653788,0.08780029067294842,0.19433266933031965,1.283228073842095,1.1271900292683352
2026,TREND_ONLY,Q5,109,0.33551633142921033,0.3853211009174312,0.2535395250720254,1.4613189452423772,27.635808232850763,9.72529335906184,0.03595488894846551,0.08244052593724996,0.0883837039820508,0.2067520831924756,1.411118344380934,1.2212733135149532
2024,PRICE_ONLY,Q1,215,0.28054964810695165,0.29767441860465116,0.07184598400171159,1.12553207311944,15.446886560367993,21.750844356655264,-0.0674900486609589,-0.009112303648364,0.013491828234949647,0.19283726860105935,1.0046135213841487,1.1066315789676224
2024,PRICE_ONLY,Q2,215,0.294742138619916,0.26046511627906976,0.09075040413193163,1.1533286489168955,19.5113368883653,12.134927598208819,-0.01223402020222775,0.06624780341983882,0.06815594172595783,0.12144482666137987,1.1666987176582972,1.0553169276257623
2024,PRICE_ONLY,Q3,215,0.30891684335044645,0.3209302325581395,0.12588030036280484,1.2181071127031735,27.06426457800304,12.463072896407148,0.021746051941140432,-0.030871398385130353,-0.08944230820932171,-0.0495969104531282,1.161859477074706,1.2557974932559874
2024,PRICE_ONLY,Q4,215,0.32635477703903487,0.29767441860465116,0.11918845142289036,1.2021603665191927,25.625517055921428,15.645267442482432,-0.023003247984415498,-0.08456535479407476,0.08548486440727662,0.19281163228124323,1.4220431447314954,1.2904801169884532
2024,PRICE_ONLY,Q5,215,0.35960050106006475,0.3209302325581395,0.03919487907817255,1.061564812597244,8.426899001807097,24.18399550690383,0.037053078072015515,0.007982141191134735,0.09910070954638148,0.17607563645726307,1.7376413971129365,1.3777467949145021
2025,PRICE_ONLY,Q1,216,0.28494508923333467,0.3055555555555556,0.18860974082865561,1.3434957179524873,40.73970401898961,8.291048476158721,-0.017137661155765642,0.028292035120352256,0.03045795197958864,-0.016947079715823106,1.0773005486150822,1.0061857510731202
2025,PRICE_ONLY,Q2,215,0.2974921469964876,0.2558139534883721,-0.11168738609743627,0.8259194614250404,-24.012788010948796,36.46087280537732,-0.07583885616427083,-0.10192823213178538,-0.10701843453286358,-0.09021362910382585,0.9749894805072307,1.0975198107495887
2025,PRICE_ONLY,Q3,215,0.3063337418047334,0.31627906976744186,0.20468354676573655,1.3503753809423762,44.00696255463336,10.073201960182,-0.044714118193166015,-0.0011991563345944366,0.04054493505282392,0.28376580982731875,1.2400770493012312,1.1693168537644514
2025,PRICE_ONLY,Q4,215,0.31896148126119067,0.30697674418604654,0.14946840378850296,1.247564152879865,32.135706814528135,14.161779505570928,0.019631639111631637,0.08903469092211222,0.13954886008418238,0.3414816662504862,1.346133159011921,1.1065760528780828
2025,PRICE_ONLY,Q5,216,0.3528334306957749,0.3194444444444444,0.08807675301625156,1.139193211572567,19.02457865151034,15.25623611033605,-0.08038153716106596,-0.045325715561441556,0.030511560576728124,0.23257324690841538,1.51513177165734,1.4468695610167173
2026,PRICE_ONLY,Q1,109,0.282958711517768,0.3211009174311927,0.04886773022285639,1.080078866496846,5.326582594291347,16.141323099152373,-0.003459913631577112,0.016936938694872512,0.039586372712857136,0.007392980844886628,1.1645681820063738,1.0433767334476878
2026,PRICE_ONLY,Q2,109,0.2961124339621961,0.22935779816513763,0.024921676796892448,1.0395443130968518,2.716462770861277,20.072149780788802,-0.020814050136780633,0.03064325409422089,-0.06215772748288802,-0.06819089247624259,1.1603636589590973,1.1651329457485429
2026,PRICE_ONLY,Q3,108,0.304864909207491,0.2962962962962963,0.022689002752164324,1.0358602176206764,2.450412297233747,25.66542311338639,0.009676596533356075,0.006708117217698854,0.03367351184785892,0.053925474629637093,1.097980412745236,1.0930670586328535
2026,PRICE_ONLY,Q4,109,0.3170757875883262,0.30275229357798167,0.12797454766820437,1.2125735224707976,13.949225695834276,17.68576387336824,-0.05761118460047954,-0.11146078955234572,-0.0864833097219647,0.05012544064348675,1.3610558452321058,1.384037118751144
2026,PRICE_ONLY,Q5,109,0.3490857870160536,0.3669724770642202,0.1014234625994906,1.1641743436720942,11.055157423344475,11.009961894126,-0.06205646419284118,-0.04083608982605104,0.15537986389384306,0.07473022539308546,1.7047162419804476,1.3532000650446885
2024,FLOW_ONLY,Q1,215,0.2903547342295947,0.31627906976744186,0.1574327602590897,1.2809070048954367,33.848043455704286,15.796436056903,0.028688338741853472,0.0677217925818422,0.03826765864931674,0.19657443975147526,1.1450176961641976,1.0138574313914837
2024,FLOW_ONLY,Q2,215,0.3063612372221768,0.26046511627906976,0.049608462036075496,1.0837813937893257,10.665819337756231,17.582305386166503,-0.09531833755125264,-0.09237335890680443,0.06974981866032834,0.243340732310954,1.202362514261425,1.2570698822664008
2024,FLOW_ONLY,Q3,215,0.3157506197474575,0.29767441860465116,0.15737536753844347,1.2666246496298224,33.83570402076535,16.898671260207866,0.021022353896114634,-0.0010407779441387668,0.11415712943079524,0.02819914211165947,1.2721443016819307,1.0712811417480388
2024,FLOW_ONLY,Q4,215,0.32401160274884266,0.33488372093023255,0.05119734059322726,1.085684424972327,11.00742822754386,18.792438959008066,-0.04893954265425103,-0.04837614634757957,-0.01710205557677279,-0.06529295989756448,1.3590480807995549,1.3981470826727
2024,FLOW_ONLY,Q5,215,0.3431959130153082,0.28837209302325584,0.031246088570674988,1.0498149032238717,6.717909042695123,16.940487307981414,0.05061900073308938,0.023749378400085015,-0.028281515458423622,0.23075109927129314,1.5142836650544746,1.3456173736737038
