period,family,N,AUC,Brier,base_rate
2024,TREND_ONLY,1075,0.518693342571742,0.21036050634483014,0.29953488372093023
2025,TREND_ONLY,1077,0.5016292853278246,0.21085349946320775,0.3008356545961003
2026,TREND_ONLY,544,0.550899496282082,0.21033528831975423,0.30330882352941174
2024,PRICE_ONLY,1075,0.5169095873235835,0.21038293072575756,0.29953488372093023
2025,PRICE_ONLY,1077,0.5211950551702654,0.21056040244844157,0.3008356545961003
2026,PRICE_ONLY,544,0.535284240825138,0.2104250774619692,0.30330882352941174
2024,FLOW_ONLY,1075,0.501921918949461,0.21056824455926512,0.29953488372093023
2025,FLOW_ONLY,1077,0.4925155345695407,0.21045464566822714,0.3008356545961003
2026,FLOW_ONLY,544,0.5105301031422403,0.21093447061518175,0.30330882352941174
2024,FULL,1075,0.5192274380737918,0.21037155299832822,0.29953488372093023
2025,FULL,1077,0.5169281720853213,0.2115519193796917,0.3008356545961003
2026,FULL,544,0.560917885983849,0.20854328088414315,0.30330882352941174
