period,regime,N,mean_prob,impulse_rate,EV_R,PF,SumR
2024,ALIGNED_COUNTER,341,0.3275328652626138,0.34310850439882695,0.19607825391511802,1.3527096696982812,66.86268458505525
2024,ALIGNED_WITH,431,0.3050547665256843,0.25986078886310904,0.08869522086787412,1.1489796563977035,38.22764019405375
2024,CONFLICT_FOLLOW_H1,123,0.31555069378043493,0.2601626016260163,-0.1267902377485782,0.8107678633427053,-15.595199243075118
2024,CONFLICT_FOLLOW_H4,31,0.26031102653369004,0.2903225806451613,0.07470382966449751,1.1344201599144985,2.315818719599423
2024,MIXED_NEUTRAL,149,0.29818188158956904,0.348993288590604,0.028617180059272083,1.046236482509818,4.26395982883154
2025,ALIGNED_COUNTER,301,0.33604194780098,0.3089700996677741,0.08870637881068448,1.1482641797279323,26.70062002201603
2025,ALIGNED_WITH,414,0.2942606614349425,0.30193236714975846,0.15214256483237865,1.251259773446579,62.987021840604754
2025,CONFLICT_FOLLOW_H1,153,0.31423722882489125,0.29411764705882354,0.17258674007084587,1.307685005334157,26.40577123083942
2025,CONFLICT_FOLLOW_H4,46,0.280618569753381,0.2826086956521739,-0.03976264028107989,0.939881091350363,-1.8290814529296748
2025,MIXED_NEUTRAL,163,0.30220823857365214,0.294478527607362,-0.014540905593974782,0.9766739391763188,-2.3701676118178896
2026,ALIGNED_COUNTER,175,0.3292431075127906,0.33714285714285713,0.184862070291765,1.3252562612609773,32.350862301058875
2026,ALIGNED_WITH,201,0.29244649411452167,0.2537313432835821,0.04299553724157725,1.066263491337565,8.642102985557027
2026,CONFLICT_FOLLOW_H1,75,0.29870444093142257,0.3466666666666667,-0.06845843094676764,0.8963517223216431,-5.134382321007573
2026,CONFLICT_FOLLOW_H4,25,0.29954315649079466,0.4,-0.21642517513453588,0.6920034739760947,-5.410629378363397
2026,MIXED_NEUTRAL,68,0.3011980988907563,0.27941176470588236,0.07426304697529695,1.1277964791567483,5.049887194320193
