R,signal_ts,entry_ts,entry_k,side,signal_z,confirm_z,confirm_age_min,pre_fav_atr,pre_adv_atr,response_ratio,h1_state,h4_state,h1_h4_aligned,with_h1,with_h4,with_aligned,ret15_atr,ret30_atr,ret60_atr,eff30,eff60,range15_atr,range60_atr,close_loc15,close_loc60,pullback60_atr,atr_pct,delta_abs_z,regime,oi_ch30,oi_ch60,taker_delta15,taker_delta30,taker_delta60,vol_exp15,ret_15m,mfe_15m,mae_15m,impulse15,ret_30m,mfe_30m,mae_30m,impulse30,ret_60m,mfe_60m,mae_60m,impulse60,ret_120m,mfe_120m,mae_120m,impulse120,dataset,year
-1.0075244609322458,1609480800,1609482600,6,-1,1.5308934532624656,1.1340504996361362,30.0,0.7235458597491806,0.5364192574956477,1.348843928121293,0.0,0.0,0.0,0.0,0.0,0.0,0.9819797218329713,0.7995129323795817,,0.4487234963219239,,1.1782386019446116,,0.9998545877562595,,,0.004008643110106772,-0.3968429536263294,MIXED_NEUTRAL,0.002327971290379871,0.009851013912638651,-0.35341844150567786,-0.159530186948244,-0.11739493759603206,1.3160372967913567,-0.8868913949347352,0.07041676100033457,0.9468570064921893,0,-0.4714153720009466,0.07170173839086391,0.9468570064921893,0,0.800797909770111,2.5568480116504824,0.9468570064921893,0,0.3466868999614621,2.5568480116504824,0.9468570064921893,0,historical,2021
-1.006301499771922,1609494300,1609496100,51,1,-2.6529675654197464,-2.5250231348482304,30.0,0.7095695124704532,0.39987467343676847,1.7744797503615253,0.0,0.0,0.0,0.0,0.0,0.0,0.4955175749758245,0.3640116091583268,1.0089003547242823,0.3839455782312905,0.44135654431058235,1.10925507900678,1.6036117381490005,0.3771730914587883,0.5691763191763077,0.3454369558207107,0.0052906478202906435,-0.12794443057151605,MIXED_NEUTRAL,0.00958489652668515,0.012243503544234313,0.11181077900120096,-0.002108543013850653,0.06807598611061942,1.111998020232822,-0.20902934537245912,0.595356336665599,0.34911318929378204,0,-0.046694614640448794,0.595356336665599,0.47352466946147526,0,0.12176717188004502,0.595356336665599,0.47352466946147526,0,-0.18561754272814432,0.9546597871654313,0.5952918413414968,0,historical,2021
-1.007711963229668,1609523700,1609524000,144,-1,1.3324157978786806,1.4897484308254758,5.0,0.5811998818745494,0.1388996160923291,4.1843159401095775,0.0,0.0,0.0,0.0,0.0,0.0,0.6627376974796948,1.4225652765746801,1.6256960772181608,0.5794642594607343,0.5008562215056108,1.901878892876304,3.184692488553401,-0.3029946483470607,0.22185955845686145,1.239069009611033,0.004760693789182737,0.15733263294679523,MIXED_NEUTRAL,-0.004379156191012368,-0.006487413715149604,-0.27054343905852796,-0.25906829328049197,-0.254714784804694,4.614565204382035,-0.9820154271336126,0.6532813595677107,1.4509342903106062,0,0.8232066988409094,0.9644020954502232,1.4509342903106062,0,0.3916078868126885,3.406302850307315,1.4509342903106062,0,1.306851462277778,3.406302850307315,1.4509342903106062,0,historical,2021
1.995671028856499,1609550400,1609551600,236,1,-2.7280595046344773,-2.340443211329543,20.0,0.7611701073939101,0.37003775895498603,2.057006580859489,0.0,1.0,0.0,0.0,1.0,0.0,0.6348030177989067,0.8888225550619342,1.3237695562852225,0.3918855449980065,0.33152742719940864,1.0640140939872176,1.822221441824238,0.4801694262610534,0.6964655094882521,0.2765535284718444,0.004164709478527074,-0.3876162933049345,MIXED_NEUTRAL,-0.008727340983663012,-0.007683645960144703,0.21821287857285795,0.09728355226452354,-0.006814047973173146,1.0536162125736315,0.6570092418628908,1.041889811709494,0.023353409070943826,1,1.009113097223942,1.0922020684448113,0.023353409070943826,1,0.916191111657401,1.6154823152066526,0.023353409070943826,1,-0.14626608839176355,1.6154823152066526,0.293843245362948,1,historical,2021
-1.0082676769302519,1609569900,1609570200,298,1,-1.7693657440117838,-1.7831570819650506,5.0,0.8719067632418385,0.04615338758233271,18.89150049484341,1.0,1.0,1.0,1.0,1.0,1.0,0.46821067692031515,0.7740916271721989,1.6338132284121663,0.36888994948892145,0.28678581892762595,1.2769382097827109,1.9721601239977362,0.9798692810457275,0.9869657215403989,0.012852842111545684,0.004031765345272153,0.013791337953266813,ALIGNED_WITH,0.0039693543964500755,0.020171663482749125,0.022269176826292095,0.08921983234615004,0.06738858423129851,0.7869439156348937,0.24912814092821375,0.680532951801852,0.29720110882590245,0,-0.011267101851011773,0.9286595725655085,0.29720110882590245,0,0.5510030105219289,0.9286595725655085,0.58805925660973,0,1.1186145637724176,1.5032817669677465,0.58805925660973,0,historical,2021
2.7106413746186346,1609590300,1609591200,368,1,-2.1108522868294135,-1.8728890053614482,15.0,2.5205001872821016,0.5653326418301788,4.458437380625903,1.0,1.0,1.0,1.0,1.0,1.0,1.4605563528475625,3.7328509923187156,4.489779377319059,0.8968747264291338,0.8677853901950666,2.3891495579366877,4.991344630919889,0.5890631808278775,0.8033015965711736,0.4908947599324884,0.006281527503746864,-0.2379632814679653,ALIGNED_WITH,0.012411086421788786,0.014940312665461919,0.1005379299790636,0.10404092500199796,0.10314713770400724,2.6790328781054575,0.7836826959541413,1.9535331603251012,0.4304112787489795,1,1.0076589606121216,1.9535331603251012,0.4304112787489795,1,4.269759002996671,4.291828706974115,0.4304112787489795,1,3.3422588728686886,5.675401351843732,0.4304112787489795,1,historical,2021
-1.0037424981740641,1609637700,1609639200,528,-1,1.2289256354125728,1.041581688997658,25.0,0.46065202475893635,0.4631308697352091,0.9946476338916089,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.11221219953267966,0.17680778984872736,-0.4997480103598757,0.09411906483490144,-0.1428170927637201,1.0124000463552973,2.1847420946672456,0.6528026237328666,-0.2340984059547897,1.3480933682255904,0.008127086984035877,-0.18734394641491492,ALIGNED_COUNTER,-0.004230184615685806,-0.0009054475417478169,0.0661667933237638,-0.027820357229861068,-0.03369127588250197,1.2025143851828322,-0.1401709217430729,0.04139098281350236,0.5096335504666507,0,-0.7249270308074072,0.04139098281350236,0.8635132476478733,0,-0.5251032888016947,0.04139098281350236,1.196150352920264,0,-0.05006912870876355,0.5655509948874372,1.196150352920264,0,historical,2021
-1.0041056506356585,1609652400,1609653000,574,-1,2.7841093006467523,1.5597679003017904,10.0,0.834996047328383,0.3169653849642904,2.6343445824158676,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.4131085077481234,0.01115865853095084,-3.6487792787210185,0.010619010619006655,-0.7745632596465608,1.2097959024978182,4.634347381287377,0.236354433227422,-0.5937837222789097,3.693073709840859,0.008659793528068073,-1.224341400344962,ALIGNED_COUNTER,0.005404741221407994,0.01596438376155218,-0.07746743392376952,0.012190263340901265,0.07168460732329984,0.5689331416230486,-0.5746368940437849,0.8584002196739366,0.6180808176536194,0,-0.19354148897134518,0.8584002196739366,0.8094790276998206,0,-0.11352574243231432,0.8584002196739366,0.8094790276998206,0,-2.4076166592550856,0.8584002196739366,3.0241665633907484,0,historical,2021
0.3642305094893833,1609660500,1609661400,602,-1,2.4203986165862514,1.6271153488362449,15.0,0.9275037819338693,0.4116728016070115,2.253012042719949,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.2813949570393592,0.6182063233559812,-0.709855674734659,0.4325908926578551,-0.23263226860815417,1.2130061211882959,1.938383781658893,0.07877777777776762,0.21336856255504166,0.7623968102431655,0.012975560447734447,-0.7932832677500066,ALIGNED_COUNTER,0.004954095890410182,-0.04534468518070345,-0.06501709228641074,-0.09108461907709202,0.025163009653089836,1.3953250829277477,-0.20490818217553508,1.1427640815409734,0.3163699668669544,1,-0.5959903408771821,1.1427640815409734,0.6250575616330535,1,0.06678272589431837,1.1427640815409734,0.9775706182961639,1,0.1676644016398195,1.1427640815409734,0.9775706182961639,1,historical,2021
2.0144864824588598,1609725300,1609726800,820,-1,1.1078176301865728,1.2068924164191932,25.0,0.4682426761019575,0.25283801608224976,1.8519472724295067,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.6714812651709409,0.6398073643177694,-0.7368664104141113,0.5303654664595018,-0.24246920642865638,0.7817694619666807,1.9591638742124768,0.8760207095451795,-0.2271706275477594,1.2021141804931141,0.011121876213474777,0.09907478623262045,ALIGNED_COUNTER,-0.005754954585689531,-0.0049645853026671904,-0.22743676910345414,-0.18646232622973055,-0.004403337283704231,0.8597809354015046,0.07983670206470073,0.22902457812435748,0.20971056139487468,0,-0.9254700927670506,0.22902457812435748,1.0830246596181132,0,-0.9144956022484569,0.22902457812435748,1.4896512649963194,0,-0.9118606379407722,0.22902457812435748,1.505596873744854,0,historical,2021
-1.0029360504930813,1609746300,1609746600,886,1,-2.5403059852601118,-3.5070174977039468,5.0,0.5668391682513927,0.21653365339651728,2.6177878437935314,1.0,1.0,1.0,1.0,1.0,1.0,-0.5287316457274628,-1.107300402157309,-2.4029834460828567,-0.21404955627152153,-0.32121760184361353,1.3027753530567068,4.435721077407487,0.1614983563307435,-0.2644040071089887,2.8042717523459126,0.011353119918014886,0.966711512443835,ALIGNED_WITH,-0.04358091275872655,-0.027299395777271696,-0.06777597526742808,-0.06697788521257608,-0.06930750726771384,0.6499952639838814,0.4775306294229543,0.5314321788197139,1.0086354708981562,0,0.2782094647254985,0.9616080057361979,1.0086354708981562,0,-0.5650933690806489,0.9616080057361979,2.029982542008292,0,-2.7791486111544073,0.9616080057361979,5.156054182124261,0,historical,2021
-0.26920933720275475,1609764600,1609765500,949,-1,2.1253982251803514,1.5010574454122851,15.0,0.455336474542026,0.06718459840108618,6.777393608075374,-1.0,1.0,0.0,1.0,-1.0,0.0,0.31917865403431894,0.2551128719970716,-0.35245475119693676,0.23795177458683225,-0.16295560151486552,0.5228437054182374,1.1260891539807911,0.4780888888888888,-0.021357820883202372,0.5750699822150155,0.02779300242683547,-0.6243407797680662,CONFLICT_FOLLOW_H1,0.0008456859659515814,0.016382563381226012,-0.17841394914105319,-0.05415004996063174,0.018387998758897482,0.7692045240869406,0.21509790040906404,0.40367019682990746,0.16381274228203604,0,-0.2507209848715598,0.40367019682990746,0.3747859867928015,0,-0.9357043327144964,0.40367019682990746,1.0219386878614791,0,-1.1735168874367297,0.40367019682990746,1.4147221168696749,0,historical,2021
-1.0032970883115309,1609806000,1609806300,1085,-1,3.622289403983752,2.7278257534649635,5.0,0.6710881761382613,0.06857634528829794,9.786000748960545,0.0,1.0,0.0,0.0,-1.0,0.0,-0.07728979085546454,-1.1405747379960738,-2.697010130745355,-0.4790067024472886,-0.5965000067619644,0.9385756683038083,3.4433396736934707,0.38427961822862244,-0.622677025527185,2.793714089794337,0.01010993039425535,-0.8944636505187886,MIXED_NEUTRAL,-0.011129961425215162,0.013888997905213474,-0.0128424166676222,0.08451712341771069,0.08807636504909111,1.3943812408855563,-1.2444023209648996,0.07655602701822418,1.5548761445951498,0,-0.6716690725094132,0.07655602701822418,1.6741433416391358,0,-0.6711798966179233,0.10550912509581013,1.6741433416391358,0,-0.4095625151502658,0.10550912509581013,1.6741433416391358,0,historical,2021
2.396488791251151,1609807500,1609807800,1090,-1,3.623172564631244,3.5191530996253952,5.0,0.4519728284434181,0.10469721057956682,4.316951919010106,0.0,1.0,0.0,0.0,-1.0,0.0,-0.2289926289926322,-0.7621621621621671,-2.230091053620464,-0.3510872025672089,-0.5453761434166052,0.8426651250180669,3.0351206821795036,0.09028540065860646,-0.69729523809524,2.575747940453826,0.010566236666597442,-0.10401946500584858,MIXED_NEUTRAL,0.002368392376282946,-0.005533373660595142,0.03523458266583716,0.036490712081794496,0.0742376949913312,1.1796589275304046,0.45477670183553015,1.0568579274461696,-0.17621043503397232,1,0.650151756034114,1.2232114467408632,-0.17621043503397232,1,0.32640554993496695,1.2232114467408632,0.08032952738835339,1,1.1088018499783203,1.3693597340656247,0.4037577684636514,1,historical,2021
-0.13066473997565595,1609832700,1609834200,1178,1,-1.0549371525679947,-1.5223354940225982,25.0,0.44717154078952087,0.5854631483539271,0.7637910964729131,-1.0,1.0,0.0,-1.0,1.0,0.0,0.8345837243749867,0.7529200918146972,0.503753999932153,0.3719016342169038,0.1645551619825725,1.1400852565044832,1.1400852565044832,0.9347056373229579,0.9347056373229579,0.03722057011047422,0.016126625712950017,0.46739834145460346,CONFLICT_FOLLOW_H4,-0.0027230321600468788,0.003629459948869096,0.10331570766818583,0.03430007636899505,-0.03828413893410013,1.6502190815562467,-0.07390687366433074,0.42058650595326175,0.10942570585375089,0,-0.32835626816223357,0.42058650595326175,0.4043606327525159,0,-0.17145998937120072,0.42058650595326175,0.5685981297843684,0,0.44611257476905136,1.014413889799752,0.5685981297843684,0,historical,2021
3.1707566997562457,1609892700,1609893000,1374,1,-2.046257339463418,-2.4760838270370447,5.0,0.7247383434469143,0.023148176961779256,31.30865611295863,1.0,1.0,1.0,1.0,1.0,1.0,-0.5199580063873569,-0.9018469561656448,-0.5946271461004266,-0.2818238502138399,-0.1383601326122894,1.4252616069582655,2.26997557063739,0.270407760864416,-0.20234233788099676,1.3646438672664531,0.010565650677727733,0.4298264875736266,ALIGNED_WITH,-0.015776855479241125,-0.011925717569891248,-0.16400459180173746,-0.14048077159558525,-0.09752579373351213,1.9311453861739962,0.5482575260302096,0.7279187267022692,-0.0916713337388241,0,0.8552244108950547,1.144064989732439,-0.0916713337388241,1,0.20790451471481575,1.144064989732439,-0.0916713337388241,1,0.7822414391845343,1.430292008165865,0.34482135652215046,1,historical,2021
1.4970481880378292,1609907700,1609908300,1425,-1,3.191677454419829,2.663698461765491,10.0,0.6010506914753426,0.1873440575748811,3.208271967883645,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.7281820512276127,-1.424475420569751,-3.5387750370238447,-0.42146021439924447,-0.6440979084407141,1.7803256792877002,4.989218588505372,0.48737834159368676,-0.4185688497099742,3.5387750370238447,0.01238764873894138,-0.5279789926543383,ALIGNED_COUNTER,-0.0029512042060799715,0.03180925649436106,-0.03625785270595867,0.06179207113143142,0.08300393791769065,1.5461097600609406,-0.5578119106594324,0.4852565871436161,0.7677285886196705,0,-0.2926672359713442,0.4852565871436161,0.9191712534880742,0,1.1323339478122803,1.6067781001660557,0.9191712534880742,0,0.6885440767548944,1.6067781001660557,0.9191712534880742,0,historical,2021
-0.7514752085754136,1609935000,1609936500,1519,-1,1.5387614536971084,0.842038749315131,25.0,0.568522525470066,0.48758497751079394,1.1659968016374818,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.4289391639660333,0.2541808535368065,0.546768812131649,0.148443177371571,0.17981569068773556,0.8394046300474634,1.3700209213602903,0.5206112093049773,0.6247816670160112,0.2570284831329987,0.012038200062667585,-0.6967227043819774,ALIGNED_COUNTER,-0.010227890210472101,-0.013195902329327214,-0.18494775610379716,-0.0743301397913278,-0.06671795593724682,0.6567685418267442,-0.13455648083576807,0.5221691211661242,0.15515991850242244,0,-0.5398531402551549,0.5221691211661242,1.1528113932532027,0,0.3276209815262929,0.87051318866144,1.1528113932532027,0,0.7954458437598189,1.4364975181523456,1.1528113932532027,0,historical,2021
-0.2769192674760663,1609977600,1609979400,1662,1,-1.4956414409214378,-1.1630175049586802,30.0,0.7713022078490545,0.6634117204415986,1.1626297560329641,1.0,1.0,1.0,1.0,1.0,1.0,0.8109310983091831,0.5437264729738196,1.6890793003764353,0.4269523467354691,0.5601798843994364,1.3313645155252414,1.9715907909240222,0.8280429892526822,0.7576371308016914,0.2389202004866524,0.012965577568577403,-0.33262393596275763,ALIGNED_WITH,0.004889285945392174,0.016484433013085775,0.08228648823749984,0.005715319775860791,0.029012138209643497,0.8557270687612034,0.13582763138738743,0.7380571095813415,-0.0493313645155124,0,0.15934945822846983,0.7380571095813415,0.3282449098433986,0,-0.004284258469739705,0.7380571095813415,0.4672545390262774,0,-0.8798535865066736,0.7380571095813415,1.1502402096374982,0,historical,2021
-1.0039238666269323,1610021400,1610022000,1804,-1,2.683032791155792,1.984964881100255,10.0,1.3068858613220118,0.3719459307988925,3.513644725192564,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.9958115975572863,-0.37248295262341297,-1.5250770025103582,-0.12248849909324214,-0.28019600210656015,2.1442305980379848,3.308539711930491,0.27718686428365424,-0.17226831404381993,1.939248135025893,0.008489165269615297,-0.6980679100555369,ALIGNED_COUNTER,0.0006359537586702046,0.005257360933060173,-0.05778480507349899,0.018730299614487654,0.043679826384710026,2.264490656773483,-0.646447202093766,-0.023305499670635072,0.9635017002866615,0,-0.5651583670126795,0.019940534477522056,0.9635017002866615,0,-1.6616073495112877,0.019940534477522056,1.983086153791382,0,-1.824932789716385,0.019940534477522056,2.8467605533498324,0,historical,2021
-1.003686305611901,1610025000,1610026800,1820,-1,2.207134150791058,1.4338179186969289,30.0,0.6186412322842533,0.3856712669412372,1.604063573588563,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.5358085197891544,0.3303293691675167,-0.622178657518088,0.351470544414309,-0.23850216859192278,0.9727282729373209,1.9497974574660637,0.44721158552385776,-0.27800519958057857,1.2459256443853124,0.009336083698762158,-0.7733162320941289,ALIGNED_COUNTER,-0.005291364389660602,-0.007208778841512942,-0.15220047046670504,-0.028683162809997324,0.011554416873758345,0.8257243779070135,0.06452555036557917,0.5341001610338142,0.1732443813200787,0,-0.866641994818903,0.5341001610338142,1.103431720661338,0,-0.6525090268956418,0.5341001610338142,1.3308394762900115,0,-0.7868252332989839,0.5341001610338142,1.3308394762900115,0,historical,2021
-1.0022687012785378,1610104500,1610105700,2083,-1,1.5400175065224548,0.785957661065709,20.0,1.3696187858466105,0.4014654515413712,3.411548309266961,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.3503199157690192,0.10431683809832581,-1.6664614886207068,0.06977248104008762,-0.38499017681728626,1.4999271077994585,3.0027537053535265,0.04568133221020332,-0.15463250168576836,1.7335385113792774,0.015051278206670743,-0.7540598454567459,ALIGNED_COUNTER,-0.023885638710353208,-0.011533875441598673,-0.05227688943816156,0.007453555795732483,0.03104780198504602,0.7619436895262787,0.08709808050538072,0.2627682837936241,0.5044788207661817,0,-0.755973110877143,0.34831133068761444,0.8241840123106906,0,-0.8707540293188707,0.34831133068761444,1.4318457925002093,0,-0.4404470721632841,0.3817769498663562,1.4318457925002093,0,historical,2021
