impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,raw_24h,cont_24h,rev_24h,tail_cont,tail_rev,p_cont,p_rev,router_conf,router_side,selected_top20,selected_rev,bucket,is_fresh_aug
-1.0,-1.8830110943653526,-2.740443523169735,-1.0988327997786065,-1.0796397507339555,1.8864869709941114,1.4248140483401583,-0.051774432865708236,0.7518398074789774,-0.6593458151000688,1955,2021-01-21 08:45:00+00:00,DEV_2021_2024,33736.56,33938.79,33195.0,33239.0,31526.3,-0.05149086550409265,0.05149086550409265,-0.05149086550409265,1,0,0.21068970669732404,0.2971483021331869,0.2971483021331869,REV,False,False,2021,False
-1.0,-1.618767154801823,-2.796993473669985,-1.798497304587235,-1.743518230998881,1.875730860744237,2.100068234499684,-0.00855186664013477,-0.6087614290087207,-0.7933533402912352,1978,2021-01-21 14:30:00+00:00,DEV_2021_2024,31620.89,31900.62,31037.0,31212.28,32287.78,0.03445759169147533,-0.03445759169147533,0.03445759169147533,0,1,0.21011289291948473,0.2969716840303403,0.2969716840303403,REV,False,False,2021,False
-1.0,-2.521777252721575,-2.7546210044235075,-1.1619050894315843,-1.9479630866530397,1.7868773189385194,1.4226235590640253,-0.0014150352275956346,-0.5000000000000004,0.8660254037844384,2008,2021-01-21 22:00:00+00:00,DEV_2021_2024,31224.71,31249.02,30560.0,30600.0,33357.03,0.09028215850636334,-0.09028215850636334,0.09028215850636334,0,1,0.23947880583603454,0.27752572349363075,0.27752572349363075,REV,False,False,2021,False
1.0,1.5980422492329682,2.9700658884122317,-0.16436493427990956,-1.9449879983046288,1.4621848596811813,1.9013823412752104,0.033209496367439376,0.49999999999999994,0.8660254037844387,2024,2021-01-22 02:00:00+00:00,DEV_2021_2024,30068.29,30585.52,29781.2,30462.5,32609.96,0.07049519901518253,0.07049519901518253,-0.07049519901518253,1,0,0.33103226068994956,0.3458768216979167,0.3458768216979167,REV,True,True,2021,False
1.0,5.27672559097134,2.7057841278881805,0.3484817926556553,0.9535096559026175,1.9293316916170984,4.336409613019387,0.009325034310145653,0.7933533402912352,-0.6087614290087207,2722,2021-01-29 08:30:00+00:00,DEV_2021_2024,32018.34,33400.0,32006.91,33329.35,34023.63,0.020622351224615976,0.020622351224615976,-0.020622351224615976,0,0,0.23115705071610487,0.31634753292995743,0.31634753292995743,REV,False,False,2021,False
-1.0,-0.47612448953125847,-2.7419605722842064,-0.6830942737816551,0.5124309678032689,1.4304506963335757,-0.046989628972348166,-0.02238610290025992,0.659345815100069,-0.7518398074789773,3301,2021-02-04 09:15:00+00:00,DEV_2021_2024,37310.31,37400.0,37013.81,37175.54,37559.95,0.01034040124232205,-0.01034040124232205,0.01034040124232205,0,0,0.17837144557738374,0.2828318793162221,0.2828318793162221,REV,False,False,2021,False
1.0,8.658233721609783,6.286243246650887,3.5860481101951835,1.7728358608795063,4.59584377824474,8.82462230214402,-0.01177148460792824,-0.19509032201612792,-0.9807852804032305,3699,2021-02-08 12:45:00+00:00,DEV_2021_2024,40315.43,43231.1,40266.7,42984.07,45300.17,0.05388275237779938,0.05388275237779938,-0.05388275237779938,1,0,0.35756836279388765,0.172841510030647,0.35756836279388765,CONT,True,False,2021,False
1.0,2.750441387691653,2.76641456289288,2.6534381764946504,2.8146531350819775,3.4541720898765678,3.4406858153357667,-0.0037400559152426234,-0.19509032201612872,0.9807852804032303,3741,2021-02-08 23:15:00+00:00,DEV_2021_2024,45270.24,46794.45,45236.37,46203.7,46489.53,0.006234648760169437,0.006234648760169437,-0.006234648760169437,0,0,0.30503348930563634,0.13804194065979325,0.30503348930563634,CONT,False,False,2021,False
1.0,2.399721841577227,2.895316716660461,2.5926998033412816,0.51065741779985,2.258326698987961,2.7226807463150045,-0.03611790316945708,-0.32143946530316153,-0.9469301294951057,3984,2021-02-11 13:15:00+00:00,DEV_2021_2024,47321.86,48399.0,47201.03,48078.9,47823.5,-0.00514594389492018,-0.00514594389492018,0.00514594389492018,0,0,0.24520419349150752,0.20824571414425924,0.24520419349150752,CONT,False,False,2021,False
-1.0,-0.857456886804599,-2.7466538982066733,-0.36224114255210926,0.549323904279862,1.0822905454253517,1.203744770835069,-0.03015581641333168,-0.6593458151000687,0.7518398074789775,4016,2021-02-11 21:15:00+00:00,DEV_2021_2024,47218.01,47300.0,46542.29,46961.71,47660.96,0.014889790001258563,-0.014889790001258563,0.014889790001258563,0,0,0.15095276583001455,0.2563524054457865,0.2563524054457865,REV,False,False,2021,False
1.0,0.8709551784496301,2.6675449039428005,1.3645697831229513,0.4550130589891617,1.9959503400245278,0.12307390647858649,-0.034628422092151154,1.0,6.123233995736766e-17,4243,2021-02-14 06:00:00+00:00,DEV_2021_2024,48929.18,49404.94,48929.18,49200.0,46980.25,-0.045030495644423185,-0.045030495644423185,0.045030495644423185,0,1,0.29505928055079644,0.23725211104861593,0.29505928055079644,CONT,False,False,2021,False
-1.0,-4.136650494495078,-3.295530270509442,-2.6304159706678822,-0.5522575383732315,2.335220228061167,6.346953845371207,-0.029627697117645273,0.5555702330196022,0.8314696123025452,4324,2021-02-15 02:15:00+00:00,DEV_2021_2024,47550.0,47589.17,45570.79,46359.53,48483.65,0.04569051788841638,-0.04569051788841638,0.04569051788841638,0,1,0.2216347244302943,0.29376869224135604,0.29376869224135604,REV,False,False,2021,False
1.0,1.1064319835083989,2.6275834954739428,1.5686778413287394,1.4022045333895292,1.1921538322431418,0.049620168061217405,-0.056520982972131664,-0.13052619222005177,-0.9914448613738104,4845,2021-02-20 12:30:00+00:00,DEV_2021_2024,57199.99,57595.83,57100.0,57586.19,57053.29,-0.00919734851839693,-0.00919734851839693,0.00919734851839693,0,0,0.19684353660257273,0.22879699444581245,0.22879699444581245,REV,False,False,2021,False
-1.0,-3.647260899571184,-3.123826199034864,-1.8069304866175808,-0.6543996475576744,2.0187294109376928,5.798431645929598,-0.07898264788798075,-0.38268343236508956,0.9238795325112868,4885,2021-02-20 22:30:00+00:00,DEV_2021_2024,56003.76,56016.69,53863.93,54838.73,57122.72,0.04130533220652155,-0.04130533220652155,0.04130533220652155,0,1,0.17716526656778225,0.2681435581632477,0.2681435581632477,REV,False,False,2021,False
-1.0,-0.4072688730613747,-2.409900166862128,-2.0992503263870628,-1.7004122014533702,1.1635174896138538,0.06893059862305231,-0.03545270603314512,-0.13052619222005177,-0.9914448613738104,5037,2021-02-22 12:30:00+00:00,DEV_2021_2024,53647.3,53979.4,53534.05,53534.06,47684.37,-0.10927043456072627,0.10927043456072627,-0.10927043456072627,1,0,0.18301976230896236,0.34844099545540214,0.34844099545540214,REV,True,True,2021,False
1.0,0.9209966603500361,2.7219069656574955,-0.00815171628328924,-2.0895034963985415,0.26732943991530783,0.6971774370632007,0.0006046222563460848,-0.9659258262890684,0.2588190451025203,5063,2021-02-22 19:00:00+00:00,DEV_2021_2024,53227.23,53579.37,52942.33,53517.68,47057.34,-0.12071429091950725,-0.12071429091950725,0.12071429091950725,0,1,0.22380200099049297,0.35029707149793404,0.35029707149793404,REV,True,True,2021,False
-1.0,-1.437095219824221,-2.4209265779115015,-2.3828287053229134,-2.3662488392173726,0.9603095241792543,1.3413861679257093,-0.012722366870438604,0.6087614290087207,0.7933533402912352,5093,2021-02-23 02:30:00+00:00,DEV_2021_2024,51993.13,52300.0,51500.0,51573.92,50055.72,-0.02944225191752925,0.02944225191752925,-0.02944225191752925,1,0,0.21661618234833468,0.396353758637867,0.396353758637867,REV,True,True,2021,False
-1.0,-4.28066194023785,-2.4332336118788604,-3.378170330638474,-3.261767765144086,1.786006116802977,4.79384958526938,-0.01452484769578558,0.8660254037844387,-0.4999999999999998,5115,2021-02-23 08:00:00+00:00,DEV_2021_2024,49642.92,50027.01,48320.0,48424.18,50491.91,0.042398991869636804,-0.042398991869636804,0.042398991869636804,0,1,0.26406611889783393,0.40372629202636334,0.40372629202636334,REV,True,True,2021,False
-1.0,0.7238680548849589,-2.49592435134515,-1.8163528398325968,-2.9964413242013834,1.5098390313659853,1.4918972023351282,-0.010811371842690239,1.2246467991473532e-16,-1.0,5131,2021-02-23 12:00:00+00:00,DEV_2021_2024,46359.14,46818.47,46018.38,46576.69,50818.7,0.09107253542158178,-0.09107253542158178,0.09107253542158178,0,1,0.20876778788282715,0.3827090868068494,0.3827090868068494,REV,True,True,2021,False
-1.0,-2.6148232930118733,-2.7028459506602776,-0.3345841158442429,-2.569035731892931,0.7844639383638082,2.68196482878316,0.03758785374430034,-0.9238795325112868,-0.3826834323650895,5149,2021-02-23 16:30:00+00:00,DEV_2021_2024,48194.59,48485.28,47300.0,47429.07,49577.25,0.04531583762422242,-0.04531583762422242,0.04531583762422242,0,1,0.1901167294605111,0.33312398255088405,0.33312398255088405,REV,True,True,2021,False
1.0,1.3445835277446345,2.8345788722641747,-0.24192998957480444,-2.7826754444363067,0.5509288489211841,1.073840128917164,0.037826139297689076,-0.7933533402912357,0.6087614290087199,5165,2021-02-23 20:30:00+00:00,DEV_2021_2024,46871.85,47479.97,46760.09,47269.48,48629.66,0.02889081282730932,0.02889081282730932,-0.02889081282730932,1,0,0.2705601942434961,0.36933592975369817,0.36933592975369817,REV,True,True,2021,False
1.0,1.4321141270475415,3.309642059582226,0.9058267369304316,-1.532688641143578,0.6627228790407865,0.7156954285243006,0.04450267335355621,0.3214394653031616,0.9469301294951057,5184,2021-02-24 01:15:00+00:00,DEV_2021_2024,48723.21,49359.55,48717.38,49166.12,50832.65,0.033791400597383614,0.033791400597383614,-0.033791400597383614,1,0,0.294878027939946,0.34493052690017395,0.34493052690017395,REV,True,True,2021,False
-1.0,-2.715874483120896,-2.5701401960379173,-1.0786907632857272,0.08734030186748906,1.4344453775134705,1.740086257527984,0.05232882989883374,-0.32143946530316153,-0.9469301294951057,5232,2021-02-24 13:15:00+00:00,DEV_2021_2024,50431.67,50431.67,49462.86,49590.82,51430.06,0.03689678907128591,-0.03689678907128591,0.03689678907128591,0,1,0.20640211319313082,0.2712721349362633,0.2712721349362633,REV,False,False,2021,False
-1.0,-2.5181844514401845,-2.657964037751314,-2.213055579361085,-1.6342015412159059,0.7753518765574821,1.6851461315351886,0.03427987787026371,0.06540312923014306,0.9978589232386035,5372,2021-02-26 00:15:00+00:00,DEV_2021_2024,47494.54,47613.5,46713.44,46752.35,46720.95,-0.0006716239932325063,0.0006716239932325063,-0.0006716239932325063,0,0,0.21207474409693788,0.3639233791608365,0.3639233791608365,REV,True,True,2021,False
-1.0,-2.4590044519388776,-2.71026016487471,-0.9921662635935519,-2.128505002597663,1.2187967502991717,1.795306574826616,0.02992584214375842,0.9978589232386035,0.06540312923014327,5394,2021-02-26 05:45:00+00:00,DEV_2021_2024,46223.69,46414.31,45502.69,45517.53,47803.71,0.0500690289921768,-0.0500690289921768,0.0500690289921768,0,1,0.2409916265054947,0.36193050883433875,0.36193050883433875,REV,True,True,2021,False
1.0,0.3894741669059671,2.583845344933805,0.6014295345918003,-1.4089663376429216,0.6178614263940089,0.6099481804148343,0.025741268752823038,-0.8968727415326883,-0.44228869021900136,5436,2021-02-26 16:15:00+00:00,DEV_2021_2024,47730.12,48219.08,47613.62,47862.29,46944.39,-0.019177732444003892,-0.019177732444003892,0.019177732444003892,0,0,0.23869942987508672,0.30743680287712605,0.30743680287712605,REV,False,False,2021,False
-1.0,-0.3299167060160787,-2.6391872860325565,-0.6828693861480178,-0.11983262371666527,0.4510253515027906,0.1890128772509553,-0.031572085012952875,0.8660254037844386,0.5000000000000001,5963,2021-03-04 04:00:00+00:00,DEV_2021_2024,49574.89,49811.66,49338.54,49485.62,47138.01,-0.0474456360296569,0.0474456360296569,-0.0474456360296569,1,0,0.15395479761358424,0.34960717001629343,0.34960717001629343,REV,True,True,2021,False
-1.0,-4.038228553008002,-3.1406277630106616,-0.56068573502395,-1.2553148337773286,1.410595508096622,3.287894132419971,-0.03574893665564601,0.659345815100069,-0.7518398074789773,5984,2021-03-04 09:15:00+00:00,DEV_2021_2024,49860.98,49922.74,48600.05,48697.36,46831.88,-0.03830762078272831,0.03830762078272831,-0.03830762078272831,1,0,0.18987200352087358,0.30789014538510007,0.30789014538510007,REV,False,False,2021,False
-1.0,-1.4021255194501825,-3.0349999744259977,-1.152598382749214,-1.5816334413612454,1.1812742985130893,1.2560330487328901,-0.04612247144630468,0.06540312923014306,0.9978589232386035,6044,2021-03-05 00:15:00+00:00,DEV_2021_2024,47300.08,47447.75,46710.93,46910.05,49127.13,0.04720990612290121,-0.04720990612290121,0.04720990612290121,0,1,0.1834236720014128,0.3204989882030789,0.3204989882030789,REV,False,False,2021,False
1.0,0.8313856542942935,2.5991043280699753,1.4543572452985114,0.5572414406520857,1.5835945170817276,0.3453656228980943,-0.02114226615975391,0.44228869021900125,0.8968727415326884,6428,2021-03-09 01:45:00+00:00,DEV_2021_2024,53309.63,53760.0,53200.11,53575.35,54676.87,0.02056020165990513,0.02056020165990513,-0.02056020165990513,0,0,0.2722474980100127,0.23678666437402504,0.2722474980100127,CONT,False,False,2021,False
-1.0,-2.910580142275415,-2.902061806009778,-0.678734811730827,-0.08301621884339128,1.725411173429288,3.0340190911764235,-0.003720314744998832,0.49999999999999994,0.8660254037844387,6525,2021-03-10 02:00:00+00:00,DEV_2021_2024,54676.86,54676.87,53300.0,53764.61,55943.34,0.04055059212424261,-0.04055059212424261,0.04055059212424261,0,1,0.21274322720203895,0.26992713159761084,0.26992713159761084,REV,False,False,2021,False
1.0,4.786661263137509,3.0268643474355827,2.1624872966083335,0.939673571186508,3.9208106879376405,4.648702697219637,0.005060614736493538,0.49999999999999994,-0.8660254037844387,6845,2021-03-13 10:00:00+00:00,DEV_2021_2024,57610.77,59377.65,57446.81,59144.3,60741.21,0.02743591677968693,0.02743591677968693,-0.02743591677968693,1,0,0.34394600305027423,0.1908318972695204,0.34394600305027423,CONT,True,False,2021,False
-1.0,-4.700652497393003,-3.6404240431175077,-3.2383417903915697,-1.9513862064690408,4.399882808679518,6.63617563744105,0.024816114873984507,0.659345815100069,-0.7518398074789773,7034,2021-03-15 09:15:00+00:00,DEV_2021_2024,57523.9,57741.77,55332.06,56079.61,55838.0,-0.004145855054515368,0.004145855054515368,-0.004145855054515368,0,0,0.3782851023489641,0.24392454976567432,0.3782851023489641,CONT,True,False,2021,False
-1.0,-3.5428800360443926,-2.791270096063412,-1.7753392353885449,-1.9646952035795435,2.288901386675613,2.3793944706279513,0.03563553868351754,0.06540312923014306,0.9978589232386035,7094,2021-03-16 00:15:00+00:00,DEV_2021_2024,55954.39,55962.85,54821.78,54880.31,56374.3,0.027222696081709463,-0.027222696081709463,0.027222696081709463,0,1,0.3004005161703863,0.279102812781428,0.3004005161703863,CONT,False,False,2021,False
1.0,2.4074911407199746,2.9774680371005653,2.099672596938408,0.6342439180794165,1.6618849344958901,1.5703142051345989,0.02128906843096557,-0.9914448613738105,0.13052619222005127,7263,2021-03-17 18:30:00+00:00,DEV_2021_2024,56528.19,57460.0,56517.46,57283.7,58258.77,0.017221366080660827,0.017221366080660827,-0.017221366080660827,0,0,0.2490272026377637,0.21530042165600632,0.2490272026377637,CONT,False,False,2021,False
1.0,1.6562677016304324,2.705971042702455,1.108156634693386,1.5328713762588069,2.391704763378308,0.5215053956564815,0.03701663448355075,-0.8314696123025452,-0.5555702330196022,7348,2021-03-18 15:45:00+00:00,DEV_2021_2024,58991.77,59637.39,58991.77,59533.68,58971.5,-0.009442891728327796,-0.009442891728327796,0.009442891728327796,0,0,0.2904707432625859,0.1818476637569674,0.2904707432625859,CONT,False,False,2021,False
1.0,2.7678032369440686,3.0425699924316287,1.066239527916322,0.753756979468124,2.0997484935624255,1.8862919948567096,-0.029256672528520617,0.9659258262890683,-0.25881904510252063,7889,2021-03-24 07:00:00+00:00,DEV_2021_2024,54661.64,55600.0,54606.0,55493.46,53058.55,-0.043877594967479894,-0.043877594967479894,0.043877594967479894,0,1,0.2751341895554576,0.25998031986121756,0.2751341895554576,CONT,False,False,2021,False
-1.0,-1.9237280954616436,-2.6367263396431184,-1.9705540392288021,-0.46959766924884455,1.9889504340059447,1.5279517093991812,-0.03437374464150157,-0.8314696123025455,0.5555702330196018,7942,2021-03-24 20:15:00+00:00,DEV_2021_2024,54288.77,54446.05,53620.97,53735.87,52223.04,-0.028153256260063042,0.028153256260063042,-0.028153256260063042,1,0,0.20534968942475978,0.24887559695315425,0.24887559695315425,REV,False,False,2021,False
-1.0,-3.476329308097749,-3.322873952800981,-1.1856065344976088,-2.344184263634537,3.101417521136834,4.132834097243486,-0.033314660783008355,1.2246467991473532e-16,-1.0,8005,2021-03-25 12:00:00+00:00,DEV_2021_2024,52163.2,52408.64,51057.0,51242.16,53200.01,0.038207796080415024,-0.038207796080415024,0.038207796080415024,0,1,0.2674915511543952,0.25206240459647744,0.2674915511543952,CONT,False,False,2021,False
1.0,3.7413330668058604,2.5105811956723065,1.840609431750349,0.22082536252223794,3.150099826122492,3.211597200117396,-0.036457254590528954,0.7518398074789774,-0.6593458151000688,8376,2021-03-29 08:45:00+00:00,DEV_2021_2024,56204.04,57230.0,56204.03,57126.15,57940.0,0.01418564603485617,0.01418564603485617,-0.01418564603485617,0,0,0.30089215244740575,0.22292696874432796,0.30089215244740575,CONT,False,False,2021,False
-1.0,-5.035245757596669,-3.1789244194646673,-0.5337290629178061,-0.20340804165432724,3.1800907913302403,7.824799162754062,-0.008712600587916404,0.8968727415326884,-0.44228869021900113,8564,2021-03-31 07:45:00+00:00,DEV_2021_2024,59397.99,59397.99,57500.18,58173.83,58817.77,0.011069412323275296,-0.011069412323275296,0.011069412323275296,0,0,0.25917659979378477,0.23265102553189124,0.25917659979378477,CONT,False,False,2021,False
-1.0,-2.9111246986964376,-2.670814655746824,-1.9956246649956668,-1.3062826557839031,2.665731185122522,4.476775483634645,-0.05261366960143235,0.19509032201612816,-0.9807852804032304,9250,2021-04-07 11:15:00+00:00,DEV_2021_2024,56890.6,57195.0,56041.0,56279.92,56554.74,0.004890590712426368,-0.004890590712426368,0.004890590712426368,0,0,0.2314468764648049,0.2772545262900402,0.2772545262900402,REV,False,False,2021,False
1.0,4.418253135230265,4.102452055163761,3.1158557872106285,1.3389455065049527,4.518737759633599,5.524080400871399,-0.0704558640291628,0.8968727415326884,0.44228869021900125,9510,2021-04-10 04:15:00+00:00,DEV_2021_2024,59801.67,61232.83,59800.0,60761.79,60083.53,-0.011162607289877391,-0.011162607289877391,0.011162607289877391,0,0,0.3785402825883437,0.15534369971042458,0.3785402825883437,CONT,True,False,2021,False
1.0,4.650013647816005,4.08740759796609,2.4974103381621613,0.9969392878729376,4.7670234740430155,4.16541629599653,-0.04318236438337504,0.8314696123025451,-0.5555702330196023,9814,2021-04-13 08:15:00+00:00,DEV_2021_2024,61555.79,62723.0,61555.79,62560.82,64474.27,0.030585601433229526,0.030585601433229526,-0.030585601433229526,1,0,0.4167220251870795,0.15710356945937262,0.4167220251870795,CONT,True,False,2021,False
