bucket,rr,cost_bps,selected_rev,filled,fill_rate,tp_rate,sl_rate,time_rate,net_ev_R,profit_factor,cum_net_R,max_dd_R,max_consecutive_losses,equity_return_025_pct,equity_maxdd_025_pct,equity_return_050_pct,equity_maxdd_050_pct,max_overlap,risk_load_050_pct
2021,1.5,5.0,47,27,0.574468085106383,0.5555555555555556,0.4444444444444444,0.0,0.33685098437056105,1.7282506096182537,9.094976578005149,3.1870672171387273,3,2.2857175173178312,0.7946527299840812,4.594963316587197,1.5850848030772617,2,1.0
2021,2.0,5.0,47,27,0.574468085106383,0.4074074074074074,0.5925925925925926,0.0,0.1701843177038943,1.2755002192983693,4.594976578005146,5.274217622086443,4,1.1368932931911102,1.313411075181703,2.2494825074053315,2.616502567029122,2,1.0
2022,1.5,5.0,33,20,0.6060606060606061,0.35,0.6,0.05,-0.13949529750461556,0.7811072930542744,-2.789905950092311,5.87259804938012,3,-0.7036528557776478,1.4635686534592647,-1.4194260943656722,2.9178269967161277,2,1.0
2022,2.0,5.0,33,20,0.6060606060606061,0.35,0.6,0.05,0.03550470249538445,1.0557131356937695,0.710094049907689,3.8725980493801204,3,0.1653537331395949,0.9716948669652747,0.30636229301768125,1.9501895004898444,2,1.0
2023,1.5,5.0,9,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.26177014471829835,1.698167931773271,1.57062086830979,2.249631924973383,2,0.3912147996433468,0.5616174358787873,0.7795247621105172,1.1216537810284082,1,0.5
2023,2.0,5.0,9,6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.42843681138496503,2.142685094291682,2.57062086830979,2.249631924973383,2,0.641460270256422,0.5616174358787772,1.2804889748634585,1.1216537810284157,1,0.5
2024,1.5,5.0,33,24,0.7272727272727273,0.3333333333333333,0.6666666666666666,0.0,-0.23587547740293238,0.6711993855615386,-5.661011457670377,9.482021730643114,5,-1.4161451674218895,2.349098838361574,-2.833636768465808,4.655661417218093,1,0.5
2024,2.0,5.0,33,24,0.7272727272727273,0.2916666666666667,0.7083333333333334,0.0,-0.19420881073626572,0.7445634787211453,-4.661011457670377,10.982021730643115,7,-1.1726798040495034,2.7153038298660337,-2.359588664765133,5.370783446198946,1,0.5
2025,1.5,5.0,27,18,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.0,0.2756857308707537,1.555518398122641,4.962343155673567,4.061983193932155,3,1.2390361293141305,1.0138576985752823,2.4746764830627432,2.024373851472261,1,0.5
2025,2.0,5.0,27,18,0.6666666666666666,0.5,0.4444444444444444,0.05555555555555555,0.42291042088495523,1.8163097542555793,7.612387575929194,3.4885773760617624,3,1.9079499834441016,0.8696129225954301,3.82515969505397,1.7341728116494086,1,0.5
2026_JAN_JUL,1.5,5.0,22,15,0.6818181818181818,0.6,0.4,0.0,0.41150356935844173,1.9289693029183879,6.172553540376626,2.2803130256894093,2,1.5469748525612337,0.5692667920540895,3.1014063109861656,1.1369106553717017,1,0.5
2026_JAN_JUL,2.0,5.0,22,15,0.6818181818181818,0.5333333333333333,0.4666666666666667,0.0,0.5115035693584418,1.9881814198563603,7.672553540376627,3.4001114581865037,3,1.9244342446529616,0.8476227400248386,3.86110209911652,1.690444317771386,1,0.5
FRESH_AUG2026,1.5,5.0,0,0,,,,,,,,,0,,,,,0,0.0
FRESH_AUG2026,2.0,5.0,0,0,,,,,,,,,0,,,,,0,0.0
