sample,accept_trades,original_signals,ev_trade,policy_ev_original_signal,cum_atr,t,pf,dd_atr,trigger_rate,median_hold_h,long_n,short_n
ORIGIN_CLOSE2,1496,3196,0.22904884854639582,0.10721435463873846,342.65707742540815,2.4089077392205334,1.228258789067168,72.96734537387647,0.7346256684491979,2.5,736,760
HARD_SL15,1496,3196,0.19632141584816365,0.09189513082254469,293.69683810885283,2.028899527615415,1.1720025405410335,67.4956302217534,0.68048128342246,,736,760
TIME_ONLY,1496,3196,0.3794282928490352,0.17760473282295264,567.6247261021566,2.637381398236814,1.2216149505697418,139.58965003389096,,,736,760
ORIGIN_CLOSE1,1496,3196,0.16825815202527675,0.07875913499055508,251.71419542981403,1.9446133557849694,1.2016650958680797,74.85042231024437,0.8028074866310161,,736,760
