group,n,time_only_ev,primary_ev,median_mae,win_rate,median_mfe
TRIGGER,1099,-1.1529125243828255,-1.3576146614863274,3.359619423305735,0.34303912647861695,2.3551417270929718
NO_TRIGGER,397,4.621349094203733,4.621349094203733,0.7138020458147439,0.9521410579345088,5.979182139892528
