sample,accept_trades,original_signals,ev_trade,policy_ev_original_signal,cum_atr,t,pf,dd_atr,trigger_rate,median_hold_h,long_n,short_n,window
2021,322,631,0.349779974989782,0.17849310926578418,112.62915194670981,1.687144340616173,1.3717396213377404,55.556527410881856,0.7267080745341615,2.75,162,160,2021
2022,268,529,0.4597973057328281,0.23294079004990156,123.22567793639793,2.0392301916036977,1.5249443229222552,43.723497957816676,0.7052238805970149,2.625,136,132,2022
2023,265,572,0.36755229134159345,0.17028209301664732,97.40135720552226,1.430170063442179,1.361742288883291,38.1031181257068,0.7283018867924528,2.75,133,132,2023
2024,253,583,0.09616616894410746,0.04173248840970701,24.330040742859186,0.46422431992226676,1.095280196126485,35.158577050915156,0.7470355731225297,2.75,122,131,2024
2025_H1,128,256,0.21137654826030638,0.10568827413015319,27.056198177319217,0.5963200189919594,1.1961207900998208,33.351035477701686,0.734375,1.75,68,60,2025_H1
2025_H2,132,309,-0.13001354194701426,-0.05553976549192842,-17.161787537005882,-0.4283564794881671,0.8866790320857643,61.79856054215347,0.7803030303030303,2.375,57,75,2025_H2
2026_JAN_JUL,128,316,-0.19393407067495594,-0.07855557293162772,-24.82356104639436,-0.7527171411080709,0.8338998070623935,49.85663834691891,0.7578125,2.25,58,70,2026_JAN_JUL
AUG2026_REUSED_AUDIT,5,13,-1.0570346095513103,-0.40655177290435013,-5.285173047756552,-2.5700341399172593,0.06795278118613741,5.285173047756552,0.8,2.25,5,0,AUG2026_REUSED_AUDIT
ALL_PRE_AUG,1496,3196,0.22904884854639582,0.10721435463873846,342.65707742540815,2.4089077392205334,1.228258789067168,72.96734537387647,0.7346256684491979,2.5,736,760,ALL_PRE_AUG
POOLED_RECENT,260,625,-0.16148210993615478,-0.06717655773344039,-41.985348583400246,-0.8106155543583395,0.8604643666166056,67.53772194013578,0.7692307692307693,2.25,115,145,POOLED_RECENT
