flow_id,signal_time,period,policy,entry_time,entry_price,risk_dist,parent_exit_time,parent_exit_price,exit_time,exit_price,exit_reason,early_exit,sequence_state,state_time,state_price,parent_frozen_net_r_5bps,net_r_0bps,net_r_5bps,net_r_10bps,h4_open,available_time,regime,regime_confidence,bias,atr_ratio,adx14,rsi14,ema20,ema50,ema200,score_expansion,score_pullback,score_reversal,score_range,is_primary,is_strict
79,2021-02-10 08:00:00+00:00,2021,PERSISTENT_EXIT,2021-02-10 12:30:00+00:00,45174.22,790.1696428571437,2021-02-10 13:00:00+00:00,45964.389642857146,2021-02-10 13:00:00+00:00,45964.389642857146,SL,False,UNRESOLVED,,,-1.0285851401710768,-1.0000000000000016,-1.0285851401710768,-1.0571702803421523,2021-02-10 08:00:00+00:00,2021-02-10 12:00:00+00:00,EXPANSION,0.25,BULL,1.4425893825048357,43.60300746932204,69.66407909692865,44057.3175460096,40663.68085979904,35511.22022790363,70.0,45.0,15.0,0.0,True,False
85,2021-02-13 09:00:00+00:00,2021,PERSISTENT_EXIT,2021-02-13 11:00:00+00:00,46650.57,753.9196428571437,2021-02-13 16:15:00+00:00,47404.489642857145,2021-02-13 12:15:00+00:00,47244.07,PERSISTENT_FAILURE_EXIT,True,PERSISTENT_FAILURE_FIRST,2021-02-13 12:15:00+00:00,47244.07,-1.0309386885207088,-0.7872191759731869,-0.8181578644938942,-0.8490965530146014,2021-02-13 04:00:00+00:00,2021-02-13 08:00:00+00:00,PULLBACK,0.5000000000000001,BULL,0.963091351370689,28.260687581938946,56.905045069102094,46544.39329151603,43739.646212942775,37271.88949032227,40.0,100.0,15.0,25.0,True,False
88,2021-02-14 23:15:00+00:00,2021,PERSISTENT_EXIT,2021-02-15 01:30:00+00:00,48065.21,563.6375000000004,2021-02-15 02:15:00+00:00,47219.75375,2021-02-15 02:15:00+00:00,47219.75375,TP,False,,,,1.4573615932225985,1.4999999999999911,1.4573615932225854,1.4147231864451797,2021-02-14 20:00:00+00:00,2021-02-15 00:00:00+00:00,PULLBACK,0.31666666666666665,BULL,0.827000366785426,24.236649244315956,62.04729700899897,47561.823121174144,45152.85554300315,38288.90028899954,50.0,90.0,15.0,15.0,True,False
98,2021-02-20 13:15:00+00:00,2021,PERSISTENT_EXIT,2021-02-20 22:30:00+00:00,54922.38,949.7321428571444,2021-02-20 23:00:00+00:00,55872.11214285714,2021-02-20 23:00:00+00:00,55872.11214285714,SL,False,UNRESOLVED,,,-1.028914668421548,-1.0000000000000009,-1.028914668421548,-1.057829336843095,2021-02-20 16:00:00+00:00,2021-02-20 20:00:00+00:00,EXPANSION,0.06666666666666664,BULL,0.9928586506403677,39.80080747064819,77.43290104733039,53717.483856847764,50739.01157783841,42269.79738106109,50.0,60.0,0.0,0.0,True,False
101,2021-02-22 01:15:00+00:00,2021,PERSISTENT_EXIT,2021-02-22 03:45:00+00:00,55954.31,1000.0910714285716,2021-02-22 09:45:00+00:00,54454.17339285714,2021-02-22 09:45:00+00:00,54454.17339285714,TP,False,,,,1.4720253926874505,1.4999999999999991,1.4720253926874507,1.4440507853749025,2021-02-21 20:00:00+00:00,2021-02-22 00:00:00+00:00,EXPANSION,0.11666666666666671,BULL,1.059374284410568,35.38747505022263,67.59893947725578,55447.582441193765,52287.07702488762,43268.265581046035,60.0,60.0,25.0,0.0,True,False
128,2021-03-08 04:15:00+00:00,2021,PERSISTENT_EXIT,2021-03-08 07:45:00+00:00,49783.97,930.0035714285724,2021-03-08 13:15:00+00:00,50713.97357142857,2021-03-08 13:15:00+00:00,50713.97357142857,SL,False,,,,-1.0267654724828217,-0.9999999999999968,-1.0267654724828217,-1.053530944965646,2021-03-08 00:00:00+00:00,2021-03-08 04:00:00+00:00,RANGE,0.05,BULL,0.840740339021406,16.572747847591444,58.91847113228908,49505.018271311594,49066.172572731026,46434.94458270964,45.0,75.0,45.0,65.0,False,False
139,2021-03-14 10:45:00+00:00,2021,PERSISTENT_EXIT,2021-03-14 11:00:00+00:00,60173.52,694.5803571428548,2021-03-14 22:45:00+00:00,60274.32,2021-03-14 22:45:00+00:00,60274.32,TIME,False,,,,-0.1884400539894383,-0.1451235972388307,-0.1884400539894383,-0.2317565107400458,2021-03-14 04:00:00+00:00,2021-03-14 08:00:00+00:00,EXPANSION,0.05,BULL,1.0068171658724536,39.712574038222016,69.4017028002672,58160.61344557447,55245.75916419196,49467.79236573856,50.0,60.0,25.0,0.0,True,False
155,2021-03-22 19:45:00+00:00,2021,PERSISTENT_EXIT,2021-03-22 19:45:00+00:00,55563.91,994.0571428571432,2021-03-22 20:45:00+00:00,54072.82428571429,2021-03-22 20:45:00+00:00,54072.82428571429,TP,False,RECOVERED_FIRST,2021-03-22 20:30:00+00:00,54965.68,1.4720519537537349,1.4999999999999982,1.4720519537537349,1.4441039075074713,2021-03-22 12:00:00+00:00,2021-03-22 16:00:00+00:00,PULLBACK,0.25,BULL,0.8039081102538626,17.202228516331605,45.31149291649643,57727.85526393951,57379.68995017816,52685.911521088135,35.0,85.0,30.0,65.0,True,False
159,2021-03-24 19:45:00+00:00,2021,PERSISTENT_EXIT,2021-03-24 20:00:00+00:00,54362.36,905.8410714285726,2021-03-24 22:15:00+00:00,53003.59839285714,2021-03-24 22:15:00+00:00,53003.59839285714,TP,False,,,,1.4699934338844496,1.500000000000005,1.4699934338844576,1.43998686776891,2021-03-24 16:00:00+00:00,2021-03-24 20:00:00+00:00,PULLBACK,0.3666666666666667,NEUTRAL,0.9738625354681579,23.18055422453367,42.28047756337868,55856.744388398634,56443.86783274369,52971.74821986799,35.0,60.0,30.0,15.0,True,False
188,2021-04-10 15:45:00+00:00,2021,PERSISTENT_EXIT,2021-04-10 20:45:00+00:00,58709.41,612.1125000000003,2021-04-10 22:00:00+00:00,59321.52250000001,2021-04-10 21:30:00+00:00,59202.97,PERSISTENT_FAILURE_EXIT,True,PERSISTENT_FAILURE_FIRST,2021-04-10 21:30:00+00:00,59202.97,-1.047956388735735,-0.8063223672119054,-0.8542787559476361,-0.902235144683367,2021-04-10 16:00:00+00:00,2021-04-10 20:00:00+00:00,EXPANSION,0.13333333333333336,BULL,1.031743536686682,22.278768169832784,59.32024346985257,58754.03329929254,58240.70109072741,55965.98000622844,60.0,90.0,25.0,0.0,True,False
195,2021-04-14 17:00:00+00:00,2021,PERSISTENT_EXIT,2021-04-14 17:45:00+00:00,62369.31,1296.7857142857142,2021-04-15 05:00:00+00:00,63070.56,2021-04-15 05:00:00+00:00,63070.56,TIME,False,,,,-0.5648077758193335,-0.5407601211787386,-0.5648077758193335,-0.5888554304599284,2021-04-14 12:00:00+00:00,2021-04-14 16:00:00+00:00,EXPANSION,0.11666666666666671,BULL,1.192172186904291,35.54911799754413,62.05321505341309,62024.02528391271,60382.07864855512,57101.750401802645,70.0,90.0,40.0,0.0,True,False
200,2021-04-17 10:45:00+00:00,2021,PERSISTENT_EXIT,2021-04-17 11:30:00+00:00,61030.0,697.6964285714296,2021-04-17 17:45:00+00:00,59983.455357142855,2021-04-17 17:45:00+00:00,59983.455357142855,TP,False,,,,1.456263213124825,1.5000000000000009,1.456263213124825,1.412526426249649,2021-04-17 04:00:00+00:00,2021-04-17 08:00:00+00:00,PULLBACK,0.4666666666666666,BULL,1.0815352368766387,21.91818941528806,51.02890696440707,62175.318017773665,61296.37906102644,57880.86386916624,50.0,100.0,30.0,0.0,True,False
201,2021-04-17 23:45:00+00:00,2021,PERSISTENT_EXIT,2021-04-18 00:45:00+00:00,59496.64,615.978571428572,2021-04-18 03:00:00+00:00,58572.67214285714,2021-04-18 03:00:00+00:00,58572.67214285714,TP,False,,,,1.4517055927270222,1.5000000000000024,1.4517055927270222,1.403411185454042,2021-04-17 20:00:00+00:00,2021-04-18 00:00:00+00:00,PULLBACK,0.2166666666666667,NEUTRAL,1.0860614430424331,24.37447325263153,39.773698327510786,61628.47405224306,61183.6928790947,57985.23431487792,35.0,60.0,0.0,15.0,True,False
210,2021-04-22 14:45:00+00:00,2021,PERSISTENT_EXIT,2021-04-22 19:00:00+00:00,52692.25,998.3875000000014,2021-04-22 21:00:00+00:00,51194.66875,2021-04-22 21:00:00+00:00,51194.66875,TP,False,RECOVERED_FIRST,2021-04-22 20:15:00+00:00,52258.75,1.4736113232587558,1.5000000000000009,1.4736113232587558,1.4472226465175104,2021-04-22 12:00:00+00:00,2021-04-22 16:00:00+00:00,PULLBACK,0.5000000000000001,BEAR,0.9965169223660623,47.338295247161305,44.23785402158866,55442.50214749518,57187.55781858275,57342.04874158964,40.0,100.0,30.0,0.0,True,True
220,2021-04-28 18:00:00+00:00,2021,PERSISTENT_EXIT,2021-04-29 04:30:00+00:00,53711.75,589.1196428571415,2021-04-29 06:00:00+00:00,54300.86964285714,2021-04-29 06:00:00+00:00,54300.86964285714,SL,False,UNRESOLVED,,,-1.04558645315195,-1.0000000000000009,-1.04558645315195,-1.0911729063038988,2021-04-29 00:00:00+00:00,2021-04-29 04:00:00+00:00,PULLBACK,0.2833333333333334,NEUTRAL,0.8128178200403933,21.23515758531631,53.556449468327415,53948.18745437016,53855.83830500512,55731.89853968992,15.0,70.0,0.0,30.0,True,False
229,2021-05-03 23:30:00+00:00,2021,PERSISTENT_EXIT,2021-05-04 00:45:00+00:00,55318.69,927.5696428571428,2021-05-04 05:00:00+00:00,56246.25964285714,2021-05-04 05:00:00+00:00,56246.25964285714,SL,False,UNRESOLVED,,,-1.029819157206136,-0.999999999999996,-1.029819157206136,-1.0596383144122756,2021-05-03 20:00:00+00:00,2021-05-04 00:00:00+00:00,PULLBACK,0.15,NEUTRAL,0.8660350126104751,21.74742047933565,53.30528070958591,57114.33073382657,55943.141811762755,55953.387666388284,25.0,70.0,30.0,55.0,True,False
230,2021-05-04 11:30:00+00:00,2021,PERSISTENT_EXIT,2021-05-04 15:00:00+00:00,54209.99,760.3428571428594,2021-05-04 23:30:00+00:00,53825.54,2021-05-04 23:30:00+00:00,53825.54,TIME,False,,,,0.4699787755523771,0.5056271606793874,0.4699787755523771,0.4343303904253668,2021-05-04 08:00:00+00:00,2021-05-04 12:00:00+00:00,PULLBACK,0.05,NEUTRAL,0.9427086774975425,22.01543820287146,47.43580539988358,56801.9341089857,55937.86887013349,55951.50843377627,25.0,70.0,15.0,75.0,True,False
272,2021-05-27 00:00:00+00:00,2021,PERSISTENT_EXIT,2021-05-27 01:45:00+00:00,37627.69,653.2821428571411,2021-05-27 06:45:00+00:00,38280.97214285714,2021-05-27 06:45:00+00:00,38280.97214285714,SL,False,RECOVERED_FIRST,2021-05-27 03:00:00+00:00,37287.19,-1.028798958008735,-0.9999999999999992,-1.028798958008735,-1.0575979160174716,2021-05-26 20:00:00+00:00,2021-05-27 00:00:00+00:00,PULLBACK,0.5333333333333333,BEAR,0.7971926884014763,22.358165387160927,53.216865011395264,38376.70771766571,39613.1074303715,47620.73028615928,40.0,100.0,15.0,15.0,True,True
275,2021-05-28 12:15:00+00:00,2021,PERSISTENT_EXIT,2021-05-28 21:00:00+00:00,35016.43,1314.0517857142863,2021-05-29 00:15:00+00:00,35920.0,2021-05-29 00:15:00+00:00,35920.0,TIME,False,,,,-0.7009451415944953,-0.6876213021611178,-0.7009451415944953,-0.7142689810278726,2021-05-28 16:00:00+00:00,2021-05-28 20:00:00+00:00,PULLBACK,0.1,BEAR,0.7535045057020079,19.88008791087174,41.54396890782222,37764.05361722707,38918.02428982865,46593.31659149038,45.0,75.0,0.0,65.0,True,True
286,2021-06-03 21:45:00+00:00,2021,PERSISTENT_EXIT,2021-06-04 01:00:00+00:00,38260.0,409.0160714285724,2021-06-04 01:15:00+00:00,37646.47589285714,2021-06-04 01:15:00+00:00,37646.47589285714,TP,False,,,,1.4532292216949267,1.5000000000000056,1.4532292216949267,1.4064584433898482,2021-06-03 20:00:00+00:00,2021-06-04 00:00:00+00:00,RANGE,0.3166666666666667,NEUTRAL,0.6796228462626124,20.264710115597403,65.12293424752636,37667.96363156555,37488.035302838056,43539.09914402377,25.0,30.0,0.0,55.0,False,False
305,2021-06-16 09:15:00+00:00,2021,PERSISTENT_EXIT,2021-06-16 11:00:00+00:00,39252.73,428.4410714285708,2021-06-16 15:00:00+00:00,38610.068392857145,2021-06-16 15:00:00+00:00,38610.068392857145,TP,False,,,,1.4541912148278475,1.5000000000000042,1.4541912148278475,1.408382429655691,2021-06-16 04:00:00+00:00,2021-06-16 08:00:00+00:00,PULLBACK,0.25,NEUTRAL,0.8732948287156458,35.76208834575833,62.797545244132266,39109.94207361501,37808.36941305831,40086.33687759087,25.0,60.0,15.0,30.0,True,False
306,2021-06-16 22:45:00+00:00,2021,PERSISTENT_EXIT,2021-06-16 23:15:00+00:00,38212.43,548.5303571428552,2021-06-17 01:15:00+00:00,38760.96035714285,2021-06-17 00:30:00+00:00,38614.51,PERSISTENT_FAILURE_EXIT,True,PERSISTENT_FAILURE_FIRST,2021-06-17 00:30:00+00:00,38614.51,-1.0348316455984603,-0.7330132138799512,-0.7678448594784174,-0.8026765050768835,2021-06-16 16:00:00+00:00,2021-06-16 20:00:00+00:00,PULLBACK,0.4,NEUTRAL,0.9110705942072203,31.664030208660314,49.804658027786196,39036.94829747601,37924.63796410804,40049.51487811134,25.0,70.0,30.0,30.0,True,False
307,2021-06-17 14:30:00+00:00,2021,PERSISTENT_EXIT,2021-06-17 17:00:00+00:00,38248.82,576.275,2021-06-17 20:00:00+00:00,37384.4075,2021-06-17 20:00:00+00:00,37384.4075,TP,False,,,,1.46681374343846,1.4999999999999976,1.46681374343846,1.4336274868769223,2021-06-17 12:00:00+00:00,2021-06-17 16:00:00+00:00,PULLBACK,0.4,NEUTRAL,0.8435356871403241,24.860574428798465,52.27560145204151,38999.49952756606,38105.8115546722,39994.162244028594,25.0,70.0,30.0,30.0,True,False
309,2021-06-18 14:30:00+00:00,2021,PERSISTENT_EXIT,2021-06-18 15:15:00+00:00,36463.91,759.8607142857145,2021-06-18 18:30:00+00:00,35324.118928571435,2021-06-18 18:30:00+00:00,35324.118928571435,TP,False,,,,1.4760061881641793,1.4999999999999951,1.4760061881641793,1.4520123763283637,2021-06-18 08:00:00+00:00,2021-06-18 12:00:00+00:00,PULLBACK,0.15,NEUTRAL,0.8759394270618596,22.525148465475795,43.38617497395451,38537.42310008661,38055.41412632226,39888.54788046522,35.0,70.0,45.0,55.0,True,False
321,2021-06-26 05:00:00+00:00,2021,PERSISTENT_EXIT,2021-06-26 07:15:00+00:00,31219.91,615.2446428571427,2021-06-26 08:00:00+00:00,30297.043035714287,2021-06-26 08:00:00+00:00,30297.043035714287,TP,False,,,,1.4746280521395363,1.4999999999999984,1.4746280521395363,1.4492561042790744,2021-06-26 00:00:00+00:00,2021-06-26 04:00:00+00:00,PULLBACK,0.21666666666666665,BEAR,1.0016001983892497,23.920479349795848,40.20994633353555,33232.41510372363,34210.38642538474,37627.28074783138,50.0,75.0,0.0,0.0,True,True
340,2021-07-07 23:15:00+00:00,2021,PERSISTENT_EXIT,2021-07-08 00:00:00+00:00,33726.1,401.54464285714187,2021-07-08 00:30:00+00:00,33123.78303571429,2021-07-08 00:30:00+00:00,33123.78303571429,TP,False,,,,1.458004544949185,1.4999999999999931,1.458004544949185,1.4160090898983766,2021-07-07 20:00:00+00:00,2021-07-08 00:00:00+00:00,RANGE,0.25,NEUTRAL,0.8896103127756961,14.222481963406176,44.750170631053045,34338.53080407734,34289.98974447109,35879.080514800895,10.0,55.0,30.0,80.0,False,False
345,2021-07-12 02:45:00+00:00,2021,PERSISTENT_EXIT,2021-07-12 11:00:00+00:00,33680.01,282.46250000000015,2021-07-12 14:45:00+00:00,33405.94,2021-07-12 14:45:00+00:00,33405.94,TIME,False,,,,0.9106695402044503,0.9702880913395568,0.9106695402044503,0.8510509890693441,2021-07-12 04:00:00+00:00,2021-07-12 08:00:00+00:00,RANGE,0.45,NEUTRAL,0.8080069774482885,13.175198851032226,58.83842596493872,33810.24745911896,33839.77672715154,35333.30418347681,10.0,45.0,45.0,80.0,False,False
