trades,retention,ev,pf,cumr,cumr_per_baseline_trade,maxdd_r,dd_pct_025,dd_pct_050,win_rate,loss_streak,recovery_factor,variant,period,baseline_period_n
62,1.0,0.2732130411164964,1.6964165597414853,16.939208549222776,0.2732130411164964,4.475545544054356,1.118886386013589,2.237772772027178,0.5161290322580645,4,3.7848365931000454,BASELINE,2021,62
49,1.0,0.023370493180798504,1.0490717617666516,1.1451541658591267,0.023370493180798504,9.228603308708099,2.3071508271770247,4.614301654354049,0.3877551020408163,6,0.12408748404848657,BASELINE,2022,49
52,1.0,-0.02330236437202749,0.9518419441626057,-1.2117229473454296,-0.02330236437202749,4.706966042384634,1.1767415105961585,2.353483021192317,0.38461538461538464,4,-0.2574318438744353,BASELINE,2023,52
64,1.0,0.08498095521554029,1.1929960733900993,5.438781133794579,0.08498095521554029,6.439452232456001,1.6098630581140003,3.2197261162280006,0.40625,8,0.8446030714199789,BASELINE,2024,64
32,1.0,-0.05406241804519168,0.8911933146019769,-1.7299973774461337,-0.05406241804519168,7.756823731886731,1.9392059329716826,3.8784118659433653,0.4375,4,-0.22302909505787336,BASELINE,2025_H1,32
33,1.0,0.2009614648033562,1.5190095822924214,6.631728338510754,0.2009614648033562,3.1190448475880483,0.7797612118970121,1.5595224237940242,0.5151515151515151,2,2.126204868018829,BASELINE,2025_H2,33
35,1.0,0.17020308728782677,1.3835147112111648,5.957108055073936,0.17020308728782677,4.844609570599524,1.211152392649881,2.422304785299762,0.45714285714285713,3,1.229636355265,BASELINE,2026_JAN_JUL,35
58,0.9354838709677419,0.2438632881871902,1.6071297300927847,14.144070714857031,0.2281301728202747,4.475545544054356,1.118886386013589,2.237772772027178,0.5,4,3.1603009232353934,PRIMARY_PULLBACK_EXPANSION,2021,62
45,0.9183673469387755,-0.014045333157296922,0.9715421840070982,-0.6320399920783615,-0.01289877534853799,10.21043953045056,2.55260988261264,5.10521976522528,0.37777777777777777,6,-0.061901350102846274,PRIMARY_PULLBACK_EXPANSION,2022,49
43,0.8269230769230769,0.01789947161538474,1.035965208641685,0.7696772794615437,0.014801486143491225,3.9449520266342377,0.9862380066585594,1.9724760133171189,0.4186046511627907,4,0.19510434455605247,PRIMARY_PULLBACK_EXPANSION,2023,52
60,0.9375,0.06862709070023841,1.1544841723464219,4.117625442014305,0.06433789753147351,7.858288017953829,1.9645720044884571,3.9291440089769143,0.4,10,0.5239850502560821,PRIMARY_PULLBACK_EXPANSION,2024,64
25,0.78125,0.007744047116079207,1.0157996953251578,0.19360117790198017,0.00605003680943688,6.185660266767089,1.5464150666917722,3.0928301333835444,0.44,4,0.031298385225279286,PRIMARY_PULLBACK_EXPANSION,2025_H1,32
30,0.9090909090909091,0.10896475102961208,1.2558326292773472,3.268942530888362,0.09905886457237462,3.1190448475880483,0.7797612118970121,1.5595224237940242,0.4666666666666667,2,1.048058841929198,PRIMARY_PULLBACK_EXPANSION,2025_H2,33
30,0.8571428571428571,0.27913256586679097,1.7165903779503584,8.373976976003728,0.23925648502867794,3.4654960340070886,0.8663740085017722,1.7327480170035443,0.5,2,2.416386252885436,PRIMARY_PULLBACK_EXPANSION,2026_JAN_JUL,35
12,0.1935483870967742,0.4880547285655958,2.5329062910389437,5.856656742787149,0.09446220552882499,1.7297440996032303,0.43243602490080757,0.8648720498016151,0.5833333333333334,2,3.3858515511806355,STRICT_PRIMARY_PLUS_BEAR,2021,62
21,0.42857142857142855,-0.0927253898488371,0.8067420751007375,-1.9472331868255792,-0.039739452792358756,6.70420021792089,1.6760500544802226,3.352100108960445,0.3333333333333333,9,-0.29044973651300887,STRICT_PRIMARY_PLUS_BEAR,2022,49
10,0.19230769230769232,0.4289089760065887,2.024725902422633,4.289089760065887,0.08248249538588245,1.8220154247353264,0.4555038561838316,0.9110077123676632,0.6,2,2.354035921890693,STRICT_PRIMARY_PLUS_BEAR,2023,52
