split,model,n,base_rate,auc,brier,logloss
DISCOVERY_2023,fixed,1559,0.35856318152661965,0.5053309481216458,0.26783379036693966,0.7696397956140973
DISCOVERY_2023,phase,1559,0.35856318152661965,0.5344722719141324,0.2581565994493072,0.7532118914090501
DISCOVERY_2023,phase_compact,1559,0.35856318152661965,0.5354025044722719,0.257970876119214,0.7492937959902026
CONFIRMATION,fixed,2354,0.33305012744265083,0.5277005069543741,0.2325998733468398,0.6622123290125355
CONFIRMATION,phase,2354,0.33305012744265083,0.491609255167035,0.23888624165434255,0.6754882704535238
CONFIRMATION,phase_compact,2354,0.33305012744265083,0.49603860652541265,0.2372382480117329,0.6722738541128939
