group,auc_drop
DIGESTION,0.0173388145066945
FIRST_PULLBACK,0.004244930456258955
RECOVERY,0.002691570258676723
INITIAL_EXPANSION,-0.007259034186923086
POST_RECOVERY,-0.011276485116339496
