split,n,P1_fallback_rate,P2_fallback_rate,P3_fallback_rate,INITIAL_EXPANSION_median_duration,INITIAL_EXPANSION_p90_duration,FIRST_PULLBACK_median_duration,FIRST_PULLBACK_p90_duration,RECOVERY_median_duration,RECOVERY_p90_duration,POST_RECOVERY_median_duration,POST_RECOVERY_p90_duration,DIGESTION_median_duration,DIGESTION_p90_duration
DISCOVERY,2423,0.14362360709863806,0.20841931489888568,0.4585224927775485,6.0,15.0,2.0,5.0,2.0,8.0,3.0,11.0,4.0,4.0
CONFIRMATION,2354,0.12404418011894647,0.19711129991503823,0.4647408666100255,6.0,15.0,2.0,5.0,3.0,8.0,3.0,11.0,4.0,4.0
