split,baseline_all_n,baseline_all_ev,baseline_all_pf,future_reaccel_selected_n,selected_early_ev,selected_early_pf,selected_early_tp_rate,selected_actual_micro_ev,selected_actual_micro_pf,selected_actual_micro_tp_rate,nonselected_n,nonselected_early_ev,nonselected_early_pf,nonselected_early_tp_rate,median_wait_min,mean_wait_min,median_entry_deterioration_atr,mean_entry_deterioration_atr,median_entry_deterioration_R,mean_entry_deterioration_R,micro_minus_early_ev
DISCOVERY,2423,-0.15613872406488705,0.7659508734858554,1180,0.37978416783612323,1.8658443411646375,0.5644067796610169,-0.19638693541101337,0.7134918032640093,0.33559322033898303,1243,-0.6648989915171735,0.24787685114486427,0.14641995172968625,4.0,4.605084745762712,0.3127912340386616,0.38913664064158876,0.6255824680773232,0.7782732812831775,-0.5761711032471366
CONFIRMATION,2354,-0.17212096114310232,0.7420765886335879,1160,0.3540847276417636,1.790215544107582,0.5405172413793103,-0.15115923524462035,0.771821530659155,0.34655172413793106,1194,-0.6833425683377794,0.22377226264772895,0.13149078726968175,4.0,4.63448275862069,0.30516862308289283,0.3880178249877593,0.6103372461657857,0.7760356499755185,-0.505243962886384
