period,variant,N,trades_per_month,EV,PF,SumR,MaxDD_R,R_DD,max_concurrent_risk_units
historical,CORE,1617,26.95,0.0844871758261805,1.1726024783537283,136.61576331093386,18.814135954048083,7.261336031832988,
historical,ALLOW_ALL_FAST,1006,16.766666666666666,0.0019086772739333416,1.0038379111781415,1.9201293375769417,43.98470845259128,0.04365447459192652,
historical,BLOCK_ANY_CORE_OPEN_FAST,650,10.833333333333334,-0.013004278547020789,0.97447921873723,-8.452781055563513,36.4551948707073,-0.23186766894381744,
historical,BLOCK_OPPOSITE_CORE_OPEN_FAST,938,15.633333333333333,-0.012615806890669233,0.9746098516234818,-11.83362686344774,49.160780282359255,-0.24071275507590129,
historical,BLOCK_SAME_SIDE_CORE_OPEN_FAST,786,13.1,-0.008498312397849542,0.9835538942367489,-6.67967354470974,44.99330007129175,-0.1484592935865077,
historical,ALLOW_ALL_RISK0.25,2623,43.71666666666667,0.0522667920874297,1.1495729168442121,137.0957956453281,20.962235722041505,6.540132334318412,1.25
historical,ALLOW_ALL_RISK0.40,2623,43.71666666666667,0.05237659742507231,1.1385437649426713,137.38381504596467,22.2510955828376,6.174249467155658,1.4
historical,BLOCK_ANY_CORE_OPEN_RISK0.25,2267,37.78333333333333,0.05933064316146582,1.153838859473111,134.502568047043,19.930466022951215,6.748591221708245,1.25
historical,BLOCK_ANY_CORE_OPEN_RISK0.40,2267,37.78333333333333,0.05877135019351941,1.1441949213469491,133.2346508887085,21.232293198756444,6.27509471734838,1.4
historical,BLOCK_OPPOSITE_CORE_OPEN_RISK0.25,2555,42.583333333333336,0.05231207694523364,1.147195983623736,133.65735659507195,20.33539238231473,6.572647042272515,1.25
historical,BLOCK_OPPOSITE_CORE_OPEN_RISK0.40,2555,42.583333333333336,0.05161734346988446,1.134858110412074,131.8823125655548,21.587590487856716,6.109172426618905,1.4
historical,BLOCK_SAME_SIDE_CORE_OPEN_RISK0.25,2403,40.05,0.05615723883676922,1.1511077128329188,134.94584492475644,21.46460505859848,6.2869009029681004,1.25
historical,BLOCK_SAME_SIDE_CORE_OPEN_RISK0.40,2403,40.05,0.05574028043822304,1.1404072088304142,133.94389389304996,23.887022949051087,5.6073916862197715,1.4
2026,CORE,172,28.666666666666668,0.13211627080977384,1.2757932715976612,22.7239985792811,8.014074755501825,2.8355111815847005,
2026,ALLOW_ALL_FAST,97,16.166666666666668,0.15654544843596743,1.3655535503153073,15.184908498288841,7.264802130649438,2.090202627023426,
2026,BLOCK_ANY_CORE_OPEN_FAST,64,10.666666666666666,0.015103554489852206,1.0300084584106564,0.9666274873505412,7.9720991461723525,0.12125131281321914,
2026,BLOCK_OPPOSITE_CORE_OPEN_FAST,94,15.666666666666666,0.11235137504279098,1.2509183685673164,10.561029254022353,6.350371561929798,1.6630569016363177,
2026,BLOCK_SAME_SIDE_CORE_OPEN_FAST,76,12.666666666666666,-0.0004012094296321343,0.9992077252808202,-0.030491916652042206,6.534690631023157,-0.004666160706565537,
2026,ALLOW_ALL_RISK0.25,269,44.833333333333336,0.09858819964257737,1.2858401558364487,26.520225703853313,7.947539038917595,3.3369104038355504,1.25
2026,ALLOW_ALL_RISK0.40,269,44.833333333333336,0.10705562073827747,1.290856657850351,28.79796197859664,7.907617608967055,3.64180002153119,1.4
2026,BLOCK_ANY_CORE_OPEN_RISK0.25,236,39.333333333333336,0.0973120993691472,1.253910036244588,22.96565545111874,7.84729398280421,2.9265700382123345,1.25
2026,BLOCK_ANY_CORE_OPEN_RISK0.40,236,39.333333333333336,0.0979264812467005,1.2425556637947661,23.11064957422132,7.747225519185642,2.9830872377458064,1.4
2026,BLOCK_OPPOSITE_CORE_OPEN_RISK0.25,266,44.333333333333336,0.0953543454616041,1.272976328606051,25.36425589278669,7.947539038917595,3.1914603713907823,1.25
2026,BLOCK_OPPOSITE_CORE_OPEN_RISK0.40,266,44.333333333333336,0.1013098130860528,1.2715729213794644,26.948410280890045,7.907617608967055,3.407905087662708,1.4
2026,BLOCK_SAME_SIDE_CORE_OPEN_RISK0.25,248,41.333333333333336,0.09159828871015359,1.2468723680102778,22.71637560011809,8.350149195773584,2.7204754151717374,1.25
2026,BLOCK_SAME_SIDE_CORE_OPEN_RISK0.40,248,41.333333333333336,0.09157984601863016,1.2322515641021827,22.71180181262028,8.551793859936643,2.6557938819152667,1.4
