signal_ts,entry_ts,exit_ts,side,R,entry_overlap,any_lifetime_overlap,same_core_overlap_count,opposite_core_overlap_count,later_core_same_entries,later_core_opposite_entries,branch,align_tf,response_ratio,confirm_min,abs_z
1614065100,1614067380,1614153780,-1,-0.1603767161361743,NONE,True,0,1,0,1,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.742933288322962,38.0,1.1852496897115115
1614269700,1614271620,1614318720,-1,2.2211660663937898,CORE_SAME,True,1,0,0,0,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.6942805919123024,32.0,1.0272390848212913
1614563400,1614563700,1614603600,-1,-1.0011901049653182,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,4.7893293977178795,5.0,1.121154376326115
1614603900,1614604500,1614690900,1,0.3277888721892365,NONE,False,0,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,2.9830508332604952,10.0,1.0818007357476291
1614706800,1614707100,1614776400,1,2.2211233229272715,NONE,True,1,1,1,1,STRONG_RESPONSE_GE_2.50,H4_ALIGN,339384412.1805639,5.0,1.1787880274663542
1614853200,1614853440,1614903660,1,-1.0010781918655023,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,10.980271730507296,4.0,1.0720025740074948
1614996600,1614996660,1615083060,1,0.628114511969343,NONE,True,0,1,0,1,STRONG_RESPONSE_GE_2.50,H1_ALIGN,455513265.7827412,1.0,1.1351927190664821
1615083900,1615084380,1615170780,1,0.9565018128579783,NONE,True,1,0,1,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.9353249138667008,8.0,1.251553935235602
1615458300,1615458360,1615544760,1,0.34015632444453736,CORE_SAME,True,1,1,0,1,STRONG_RESPONSE_GE_2.50,H4_ALIGN,364263640.0553369,1.0,1.0326162504602983
1615803600,1615803840,1615890240,-1,0.11897264036102394,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,510690880.8396978,4.0,1.4888895047454098
1615976700,1615979940,1616004720,-1,-1.0016159528985076,NONE,False,0,0,0,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.7050213131096659,54.0,1.9232781659019658
