period,variant,N,WR,EV,PF,SumR,MaxDD_R,R_DD,MaxConsecutiveLosses,positive_periods,periods_total,action_count,total_saved_R,total_given_up_R,net_local_delta_R,original_initial_stop_share,original_right_tail_share,immediate_close_share
historical,CONTROL,5297,0.39022087974325087,0.1322202021482657,1.2256575126182987,700.3704107793633,31.976920699121933,21.902371944106395,14,5,5,0,0.0,0.0,0.0,,,
historical,HIGHVOL_FAILED_EARLY_STOPCAP_-0.75R,5302,0.38494907582044513,0.12709363669151297,1.2180702169298356,673.8504617384017,34.50829076153242,19.527204821444414,14,5,5,371,49.977906919504974,56.64094794612676,-6.663041026621775,0.5417789757412399,0.1078167115902965,0.013477088948787063
forward_2026,CONTROL,544,0.3694852941176471,0.06525338378964178,1.1054907878098506,35.49784078156513,27.632952848676066,1.2846198875653596,16,4,6,0,0.0,0.0,0.0,,,
forward_2026,HIGHVOL_FAILED_EARLY_STOPCAP_-0.75R,544,0.3713235294117647,0.08450044710197216,1.1391106194645102,45.968243223472854,27.163917887255415,1.6922537983756727,16,4,6,33,5.219034961420528,1.4923534968588537,3.7266814645616737,0.6363636363636364,0.06060606060606061,0.030303030303030304
