window,reversal_trade_side,signals,fills,cum_R,ev_R,profit_factor
2025_H2,BUY,13,10,3.758666052221605,0.2891281578632004,1.8253344269833798
2025_H2,SELL,3,2,2.882972326921963,0.9609907756406543,inf
2026_JAN_JUL,BUY,16,12,6.973123441643571,0.4358202151027232,2.5853763514046437
2026_JAN_JUL,SELL,6,3,-0.8005699012669452,-0.1334283168778242,0.6435758437968137
