window,removed_episode,removed_R,remaining_R
2025_H2,46,-1.1817584171975541,7.8233967963411235
2025_H2,47,-1.200929553264599,7.842567932408168
2025_H2,48,7.031820740935433,-0.3901823617918634
2025_H2,49,-1.0894211267954834,7.731059505939053
2025_H2,50,3.081926735465774,3.5597116436777956
2026_JAN_JUL,51,-1.6995729636177934,7.872126503994419
2026_JAN_JUL,52,1.4684004117190763,4.704153128657549
2026_JAN_JUL,53,1.3637536198367077,4.808799920539919
2026_JAN_JUL,54,1.3802015675029056,4.79235197287372
2026_JAN_JUL,55,0.0,6.172553540376626
2026_JAN_JUL,56,-1.180329695193435,7.352883235570061
2026_JAN_JUL,57,6.059187096727804,0.11336644364882176
2026_JAN_JUL,58,-1.2190864965986394,7.391640036975265
