window,gap_days,episodes,positive_episodes,negative_episodes,top_episode_positive_share,min_leave_one_episode_R
2025_H2,3,7,4,3,0.5053602344802688,0.9837509539791247
2025_H2,7,5,2,3,0.6280794069279425,-0.3901823617918634
2025_H2,14,4,2,2,0.6280794069279425,0.6992387650036207
2026_JAN_JUL,3,8,4,3,0.5585652099150752,0.11336644364882176
2026_JAN_JUL,7,8,4,3,0.5585652099150752,0.11336644364882176
2026_JAN_JUL,14,6,4,2,0.5585652099150752,1.2936961388422565
