window,signals,fills,cum_R,ev_R,profit_factor,positive_signals,negative_signals,no_fill_or_zero
2025_H2,16,12,6.641638379143569,0.4151023986964731,2.458382503186557,8,4,4
2026_JAN_JUL,22,15,6.172553540376626,0.2805706154716648,1.9289693029183879,9,6,7
