window,removed_month,removed_R,remaining_R
2025_H2,2025-07,-1.1817584171975541,7.8233967963411235
2025_H2,2025-08,-1.200929553264599,7.842567932408168
2025_H2,2025-09,0.0,6.641638379143569
2025_H2,2025-10,5.942399614139949,0.6992387650036207
2025_H2,2025-11,3.081926735465774,3.5597116436777956
2025_H2,2025-12,0.0,6.641638379143569
2026_JAN_JUL,2026-01,0.0,6.172553540376626
2026_JAN_JUL,2026-02,-0.2311725518987171,6.403726092275343
2026_JAN_JUL,2026-03,1.3637536198367077,4.808799920539919
2026_JAN_JUL,2026-04,1.3802015675029056,4.79235197287372
2026_JAN_JUL,2026-05,-1.180329695193435,7.352883235570061
2026_JAN_JUL,2026-06,6.059187096727804,0.11336644364882176
2026_JAN_JUL,2026-07,-1.2190864965986394,7.391640036975265
