window,gap_days,episode_id,start,end,signals,fills,cum_R,positive_R,ev_R,profit_factor
2025_H2,7,46,2025-07-24 04:15:00+00:00,2025-07-24 04:15:00+00:00,1,1,-1.1817584171975541,0.0,-1.1817584171975541,0.0
2025_H2,7,47,2025-08-29 07:30:00+00:00,2025-08-29 07:30:00+00:00,1,1,-1.200929553264599,0.0,-1.200929553264599,0.0
2025_H2,7,48,2025-10-11 03:30:00+00:00,2025-10-21 04:30:00+00:00,7,5,7.031820740935433,7.031820740935433,1.0045458201336332,inf
2025_H2,7,49,2025-10-30 12:30:00+00:00,2025-10-30 12:30:00+00:00,1,1,-1.0894211267954834,0.0,-1.0894211267954834,0.0
2025_H2,7,50,2025-11-14 20:45:00+00:00,2025-11-21 21:15:00+00:00,6,4,3.081926735465774,4.163930406725058,0.5136544559109623,3.8483514588068712
2026_JAN_JUL,7,51,2026-01-30 06:30:00+00:00,2026-02-06 09:30:00+00:00,8,4,-1.6995729636177934,1.4455458216263288,-0.21244662045222418,0.4596156521681665
2026_JAN_JUL,7,52,2026-02-28 06:30:00+00:00,2026-02-28 06:30:00+00:00,1,1,1.4684004117190763,1.4684004117190763,1.4684004117190763,inf
2026_JAN_JUL,7,53,2026-03-23 06:45:00+00:00,2026-03-23 06:45:00+00:00,1,1,1.3637536198367077,1.3637536198367077,1.3637536198367077,inf
2026_JAN_JUL,7,54,2026-04-07 10:45:00+00:00,2026-04-07 10:45:00+00:00,1,1,1.3802015675029056,1.3802015675029056,1.3802015675029056,inf
2026_JAN_JUL,7,55,2026-05-11 03:00:00+00:00,2026-05-11 03:00:00+00:00,1,0,0.0,0.0,0.0,
2026_JAN_JUL,7,56,2026-05-24 22:45:00+00:00,2026-05-24 22:45:00+00:00,1,1,-1.180329695193435,0.0,-1.180329695193435,0.0
2026_JAN_JUL,7,57,2026-06-02 01:45:00+00:00,2026-06-06 10:15:00+00:00,8,6,6.059187096727804,7.159170427223779,0.7573983870909755,6.508435381466882
2026_JAN_JUL,7,58,2026-07-31 02:00:00+00:00,2026-07-31 02:00:00+00:00,1,1,-1.2190864965986394,0.0,-1.2190864965986394,0.0
