year,regime,bars,g1,g1_prevalence
2022,EXPANSION,132,0,0.0
2022,PULLBACK,542,103,0.1900369003690037
2022,RANGE,30,7,0.23333333333333334
2022,REVERSAL,7,0,0.0
2023,EXPANSION,307,4,0.013029315960912053
2023,PULLBACK,1119,209,0.1867739052725648
2023,RANGE,98,20,0.20408163265306123
2023,REVERSAL,18,0,0.0
2024,EXPANSION,387,0,0.0
2024,PULLBACK,886,149,0.16817155756207675
2024,RANGE,271,126,0.46494464944649444
2024,REVERSAL,9,0,0.0
2025,EXPANSION,450,9,0.02
2025,PULLBACK,930,162,0.17419354838709677
2025,RANGE,164,97,0.5914634146341463
2025,REVERSAL,3,0,0.0
2026,EXPANSION,194,9,0.04639175257731959
2026,PULLBACK,548,144,0.26277372262773724
2026,RANGE,118,86,0.7288135593220338
2026,REVERSAL,3,0,0.0
