year,metric,n,effect,eligible,positive
2023,SEQ_SIGNED_CLOSE_ATR_24H,52,-0.04610544190464031,True,False
2024,SEQ_SIGNED_CLOSE_ATR_24H,73,0.2263184979914839,True,True
2025,SEQ_SIGNED_CLOSE_ATR_24H,58,0.00031136578665606236,True,True
2026,SEQ_SIGNED_CLOSE_ATR_24H,34,-0.1924526964518954,True,False
