year,metric,n_a,n_b,effect,eligible,positive,strata_json
2023,momentum_flip_24h,52,1005,-0.002379619260918249,True,False,"[{""state"": ""PULLBACK"", ""n_a"": 50, ""n_b"": 705, ""effect"": -0.0051063829787234005}, {""state"": ""EXPANSION"", ""n_a"": 1, ""n_b"": 224, ""effect"": 0.5}, {""state"": ""RANGE"", ""n_a"": 1, ""n_b"": 76, ""effect"": -0.3684210526315789}]"
2024,momentum_flip_24h,73,988,0.009913187567068153,True,True,"[{""state"": ""PULLBACK"", ""n_a"": 55, ""n_b"": 531, ""effect"": -0.032631398733093675}, {""state"": ""EXPANSION"", ""n_a"": 1, ""n_b"": 269, ""effect"": 0.4758364312267658}, {""state"": ""RANGE"", ""n_a"": 17, ""n_b"": 188, ""effect"": 0.12015018773466835}]"
2025,momentum_flip_24h,58,1006,0.014190764628751257,True,True,"[{""state"": ""PULLBACK"", ""n_a"": 47, ""n_b"": 592, ""effect"": 0.012327487061529585}, {""state"": ""EXPANSION"", ""n_a"": 4, ""n_b"": 310, ""effect"": -0.4967741935483871}, {""state"": ""RANGE"", ""n_a"": 7, ""n_b"": 104, ""effect"": 0.31868131868131866}]"
2026,momentum_flip_24h,34,561,0.07159884077067503,True,True,"[{""state"": ""PULLBACK"", ""n_a"": 27, ""n_b"": 354, ""effect"": 0.08976773383553038}, {""state"": ""EXPANSION"", ""n_a"": 1, ""n_b"": 134, ""effect"": -0.5373134328358209}, {""state"": ""RANGE"", ""n_a"": 6, ""n_b"": 73, ""effect"": 0.091324200913242}]"
