available_time,regime,RSEQ_DIR,RSEQ_ANCHOR_TIME,RSEQ_TRANSITION_TIME,RSEQ_A_TO_B_H,RSEQ_A_TO_C_H,momentum_flip_24h,SEQ_SIGNED_CLOSE_ATR_24H,R3_RAW_REVERSAL_WINNER,competition_class,year,direction
2022-07-21 16:00:00,PULLBACK,1.0,2022-07-21 04:00:00,2022-07-21 12:00:00,8.0,8.0,0.0,1.8997278231220895,False,NO_R3_EVENT,2022,BULL
2022-07-27 00:00:00,PULLBACK,-1.0,2022-07-26 08:00:00,2022-07-26 12:00:00,4.0,12.0,1.0,-2.0456130177024767,False,NO_R3_EVENT,2022,BEAR
2022-07-27 04:00:00,PULLBACK,1.0,2022-07-26 12:00:00,2022-07-26 16:00:00,4.0,12.0,1.0,2.1819792308684045,False,NO_R3_EVENT,2022,BULL
2022-08-03 00:00:00,EXPANSION,-1.0,2022-08-02 08:00:00,2022-08-02 16:00:00,8.0,12.0,1.0,-0.3758167090043759,False,NO_R3_EVENT,2022,BEAR
2022-08-05 16:00:00,PULLBACK,-1.0,2022-08-05 04:00:00,2022-08-05 08:00:00,4.0,8.0,,,False,NO_R3_EVENT,2022,BEAR
2022-08-12 08:00:00,PULLBACK,1.0,2022-08-11 20:00:00,2022-08-12 00:00:00,4.0,8.0,,,False,NO_R3_EVENT,2022,BULL
2022-08-23 20:00:00,PULLBACK,1.0,2022-08-23 12:00:00,2022-08-23 16:00:00,4.0,4.0,1.0,-0.015868556867704744,False,NO_R3_EVENT,2022,BULL
2022-08-24 04:00:00,PULLBACK,-1.0,2022-08-23 20:00:00,2022-08-24 00:00:00,4.0,4.0,0.0,-0.893625741076263,False,NO_R3_EVENT,2022,BEAR
2022-08-24 12:00:00,PULLBACK,1.0,2022-08-24 04:00:00,2022-08-24 08:00:00,4.0,4.0,0.0,1.446778281044177,False,NO_R3_EVENT,2022,BULL
2022-08-24 20:00:00,PULLBACK,1.0,2022-08-24 04:00:00,2022-08-24 08:00:00,4.0,12.0,0.0,1.0799222034125695,False,NO_R3_EVENT,2022,BULL
2022-09-06 16:00:00,PULLBACK,-1.0,2022-09-06 08:00:00,2022-09-06 12:00:00,4.0,4.0,0.0,1.011647571043827,False,NO_R3_EVENT,2022,BEAR
2022-09-07 20:00:00,PULLBACK,1.0,2022-09-07 04:00:00,2022-09-07 08:00:00,4.0,12.0,1.0,-1.0006213388710088,False,NO_R3_EVENT,2022,BULL
2022-09-08 20:00:00,PULLBACK,-1.0,2022-09-08 12:00:00,2022-09-08 16:00:00,4.0,4.0,1.0,-1.6003010598519898,False,NO_R3_EVENT,2022,BEAR
2022-09-09 04:00:00,PULLBACK,1.0,2022-09-08 20:00:00,2022-09-09 00:00:00,4.0,4.0,,,False,NO_R3_EVENT,2022,BULL
2022-09-21 16:00:00,PULLBACK,1.0,2022-09-21 00:00:00,2022-09-21 08:00:00,8.0,12.0,0.0,0.947339860708883,False,NO_R3_EVENT,2022,BULL
2022-09-21 20:00:00,PULLBACK,-1.0,2022-09-21 12:00:00,2022-09-21 16:00:00,4.0,4.0,0.0,-1.0559418503421019,False,NO_R3_EVENT,2022,BEAR
2022-09-22 04:00:00,PULLBACK,-1.0,2022-09-21 12:00:00,2022-09-21 16:00:00,4.0,12.0,1.0,-1.3236727088250504,False,NO_R3_EVENT,2022,BEAR
2022-09-22 12:00:00,PULLBACK,1.0,2022-09-22 04:00:00,2022-09-22 08:00:00,4.0,4.0,0.0,-0.8350156919290511,False,NO_R3_EVENT,2022,BULL
2022-09-28 20:00:00,PULLBACK,1.0,2022-09-28 08:00:00,2022-09-28 12:00:00,4.0,8.0,1.0,-0.024924855386799484,False,NO_R3_EVENT,2022,BULL
2022-10-21 20:00:00,PULLBACK,1.0,2022-10-21 08:00:00,2022-10-21 12:00:00,4.0,8.0,,,False,NO_R3_EVENT,2022,BULL
2022-10-25 12:00:00,PULLBACK,-1.0,2022-10-24 20:00:00,2022-10-25 00:00:00,4.0,12.0,1.0,-3.1101178472066247,False,NO_R3_EVENT,2022,BEAR
2022-10-28 12:00:00,PULLBACK,-1.0,2022-10-28 00:00:00,2022-10-28 08:00:00,8.0,8.0,,,False,NO_R3_EVENT,2022,BEAR
2022-11-01 12:00:00,PULLBACK,1.0,2022-11-01 00:00:00,2022-11-01 04:00:00,4.0,8.0,0.0,0.5824084659659732,False,NO_R3_EVENT,2022,BULL
2022-11-02 20:00:00,RANGE,-1.0,2022-11-02 04:00:00,2022-11-02 08:00:00,4.0,12.0,0.0,2.507814683371944,False,NO_R3_EVENT,2022,BEAR
2022-11-24 00:00:00,PULLBACK,1.0,2022-11-23 08:00:00,2022-11-23 16:00:00,8.0,12.0,0.0,0.6571356905408833,False,NO_R3_EVENT,2022,BULL
2022-11-25 12:00:00,PULLBACK,-1.0,2022-11-25 04:00:00,2022-11-25 08:00:00,4.0,4.0,,,False,NO_R3_EVENT,2022,BEAR
2022-11-28 20:00:00,PULLBACK,-1.0,2022-11-28 12:00:00,2022-11-28 16:00:00,4.0,4.0,1.0,-1.021528386846734,False,NO_R3_EVENT,2022,BEAR
2022-11-30 00:00:00,PULLBACK,-1.0,2022-11-29 08:00:00,2022-11-29 16:00:00,8.0,12.0,1.0,-2.3707005199631057,False,NO_R3_EVENT,2022,BEAR
2022-11-30 04:00:00,PULLBACK,1.0,2022-11-29 16:00:00,2022-11-29 20:00:00,4.0,8.0,0.0,2.978347194386168,False,NO_R3_EVENT,2022,BULL
2022-12-20 12:00:00,PULLBACK,1.0,2022-12-20 00:00:00,2022-12-20 04:00:00,4.0,8.0,0.0,0.6624732896149996,False,NO_R3_EVENT,2022,BULL
2022-12-22 16:00:00,PULLBACK,-1.0,2022-12-22 08:00:00,2022-12-22 12:00:00,4.0,4.0,0.0,1.670938450310349,False,NO_R3_EVENT,2022,BEAR
2022-12-28 12:00:00,PULLBACK,-1.0,2022-12-28 00:00:00,2022-12-28 08:00:00,8.0,8.0,1.0,-1.0294582039009927,False,NO_R3_EVENT,2022,BEAR
2022-12-28 20:00:00,PULLBACK,1.0,2022-12-28 12:00:00,2022-12-28 16:00:00,4.0,4.0,1.0,1.543566914204091,False,NO_R3_EVENT,2022,BULL
2022-12-29 04:00:00,PULLBACK,1.0,2022-12-28 12:00:00,2022-12-28 16:00:00,4.0,12.0,0.0,1.340648734585081,False,NO_R3_EVENT,2022,BULL
2023-01-18 08:00:00,PULLBACK,-1.0,2023-01-17 20:00:00,2023-01-18 00:00:00,4.0,8.0,1.0,-1.3779715136018704,False,NO_R3_EVENT,2023,BEAR
2023-01-18 12:00:00,PULLBACK,1.0,2023-01-18 00:00:00,2023-01-18 04:00:00,4.0,8.0,1.0,-0.46392755179284134,False,NO_R3_EVENT,2023,BULL
2023-01-19 08:00:00,PULLBACK,1.0,2023-01-19 00:00:00,2023-01-19 04:00:00,4.0,4.0,0.0,1.7595316867939417,False,NO_R3_EVENT,2023,BULL
2023-01-25 08:00:00,PULLBACK,-1.0,2023-01-25 00:00:00,2023-01-25 04:00:00,4.0,4.0,1.0,-2.0967143130218857,False,NO_R3_EVENT,2023,BEAR
2023-01-25 20:00:00,PULLBACK,1.0,2023-01-25 08:00:00,2023-01-25 16:00:00,8.0,8.0,1.0,-1.0796804305884478,False,NO_R3_EVENT,2023,BULL
2023-01-31 20:00:00,PULLBACK,1.0,2023-01-31 12:00:00,2023-01-31 16:00:00,4.0,4.0,1.0,-0.38600919398056116,False,NO_R3_EVENT,2023,BULL
2023-02-01 12:00:00,PULLBACK,-1.0,2023-02-01 00:00:00,2023-02-01 04:00:00,4.0,8.0,1.0,-3.577900065946685,False,NO_R3_EVENT,2023,BEAR
2023-02-01 16:00:00,PULLBACK,1.0,2023-02-01 08:00:00,2023-02-01 12:00:00,4.0,4.0,0.0,1.6988182280037996,False,NO_R3_EVENT,2023,BULL
2023-02-02 00:00:00,PULLBACK,1.0,2023-02-01 08:00:00,2023-02-01 12:00:00,4.0,12.0,1.0,-3.5038647695598986,False,NO_R3_EVENT,2023,BULL
2023-02-02 20:00:00,PULLBACK,-1.0,2023-02-02 04:00:00,2023-02-02 12:00:00,8.0,12.0,0.0,4.068609860489383,False,NO_R3_EVENT,2023,BEAR
2023-02-09 12:00:00,PULLBACK,1.0,2023-02-08 20:00:00,2023-02-09 00:00:00,4.0,12.0,1.0,-1.935960599194034,False,NO_R3_EVENT,2023,BULL
2023-02-09 20:00:00,PULLBACK,-1.0,2023-02-09 04:00:00,2023-02-09 08:00:00,4.0,12.0,0.0,0.6055619834520448,True,SMOOTHING_SUPPRESSED,2023,BEAR
