observed,ci_lo,ci_hi,p_positive,n_a,n_b,weeks,state,metric,horizon_h
0.06680773285985797,0.03379142424043673,0.10313004960804138,1.0,742,3147,210,PULLBACK,breakout_1atr_4h,4
0.09920634920634913,0.05520988762337121,0.1449975869716099,1.0,720,3024,210,PULLBACK,breakout_1atr_8h,8
0.0676696743860451,0.0167987015556262,0.11751211841603938,0.995,686,2907,210,PULLBACK,breakout_1atr_12h,12
-0.03584733023985362,-0.13081710379287304,0.2550512073048821,0.3245192307692308,22,1391,210,EXPANSION,breakout_1atr_4h,4
0.023845007451564815,-0.15417826721805877,0.4773524354943873,0.6363454217591665,22,1342,210,EXPANSION,breakout_1atr_8h,8
0.09013867488443761,-0.15703697571523573,0.3323567518779479,0.7826348506115901,22,1298,210,EXPANSION,breakout_1atr_12h,12
0.03648106126723685,-0.01447610778599828,0.08998800456968771,0.9206,323,337,210,RANGE,breakout_1atr_4h,4
0.07620977168238136,0.0004182772739544957,0.15283364209313666,0.9756,313,328,210,RANGE,breakout_1atr_8h,8
0.09842479045377595,0.02068713257558725,0.1849725340645527,0.9954,299,324,210,RANGE,breakout_1atr_12h,12
