year,state,metric,n_a,n_b,effect,eligible,positive
2023,PULLBACK,breakout_1atr_8h,201,836,0.1822704658525554,True,True
2024,PULLBACK,breakout_1atr_8h,140,684,0.12694235588972425,True,True
2025,PULLBACK,breakout_1atr_8h,150,718,0.037214484679665816,True,True
2026,PULLBACK,breakout_1atr_8h,135,374,0.05490196078431375,True,True
