risk_q,risk_min,risk_max,small_premium,h1_premium,small_aligned_n,small_opposed_n,h1_aligned_n,h1_opposed_n,eligible,h1_nonnegative
1,0.000257590979847599,0.0009553662806255588,0.07760598082496473,,6014,5686,0,0,False,False
2,0.0009554427306996366,0.0014306883536454248,0.059106416495443556,,6200,5501,0,0,False,False
3,0.0014307011407840309,0.002219105313955731,0.03645490066370146,-1.0907948717948721,6119,5554,13,12,False,False
4,0.002219222242624731,0.027052116955961523,0.036060692412876356,-0.10136068106292227,5083,4481,1182,954,True,False
