atr_q,atr_ratio_min,atr_ratio_max,aligned_n,opposed_n,aligned_mean,opposed_mean,premium
1,0.6677004790858325,0.9907872650860281,304,238,-0.10985294278638758,0.10484892454504906,-0.21470186733143665
2,0.9908553869122266,1.1068357794761263,301,238,0.08660594543106039,0.03108206647561236,0.055523878955448025
3,1.1070763631066327,1.225976441030744,295,245,-0.17430566875752135,0.01454979212623706,-0.1888554608837584
4,1.2267496548300354,2.232794712635787,295,245,-0.08304267193738855,0.02766045157367581,-0.11070312351106437
