horizon_h,tf_group,aligned_n,opposed_n,aligned_mean,opposed_mean,premium
10,M5_M15,23416,21222,0.5331381231762405,-0.43280860060883897,0.9659467237850795
10,H1,1195,966,0.11756760792226019,-0.08389429782806648,0.2014619057503267
30,M5_M15,23416,21222,1.2575196879596275,-1.1657276003718335,2.423247288331461
30,H1,1195,966,0.1790709644976489,-0.15221598321185092,0.33128694770949985
120,M5_M15,23416,21222,2.716222735239321,-2.4433944573910193,5.159617192630341
120,H1,1195,966,0.41213280096189436,-0.32105134670135016,0.7331841476632446
