mechanic,n,small_premium,h1_premium,small_aligned_n,small_opposed_n,h1_aligned_n,h1_opposed_n,eligible,h1_nonnegative
f_C_BOLLINGER,23702,0.03654406625243379,-0.08446298007897535,1769,2020,93,125,False,False
f_C_PIVOT,5487,0.04344070841281462,-0.2165966717969845,552,336,95,65,False,False
f_C_WILLIAMS,55531,0.04369574952788712,0.003347618647914788,4264,5002,185,234,True,True
f_P_3SOLDIER,263,0.2265021122958532,-0.26382855578395975,11,25,19,21,False,False
f_P_PINBAR,20664,0.0924672796629126,-0.20225865784840674,2033,1583,128,56,False,False
f_P_TURNAROUND,36964,0.02443874328740485,-0.4634443235268523,4512,1752,199,63,False,False
f_T_ALLIGATOR,33317,0.04670071526222694,-0.20828937869635164,3090,2378,150,109,True,False
f_T_ENVELOPE,12144,0.02596636854525422,-0.05298417933565702,1082,1093,215,167,True,False
f_T_LINREG,40312,0.043285468588938315,-0.03800983281729383,3253,3446,138,138,True,False
f_T_MACD_MOM,57068,0.0651249746170543,-0.12832639820765607,4717,4883,191,197,True,False
f_T_PRICECHANNEL,42102,0.09511662220809688,-0.020821891411869718,3960,3003,193,135,True,False
f_T_PSAR,34696,0.056433728060728855,-0.05696607915398744,2889,2965,138,122,True,False
f_T_SMA_STOCH,1118,-0.1348686373691867,-0.1790820911960957,61,117,15,29,False,False
f_V_ATR_EXP,10335,0.14984386199305716,0.0369634148636761,1007,777,81,33,False,False
