left_out,n,small_premium,h1_premium,asymmetry,positive
2023,198435,0.048871034429612645,-0.0479353683835884,0.09680640281320105,True
2024,196803,0.054000002269682636,-0.0803199249954146,0.13431992726509723,True
2025,196741,0.04185949736934514,-0.24003861899415513,0.28189811636350026,True
2026,225780,0.06475941507200428,-0.10860481080717728,0.17336422587918154,True
