year,n,small_premium,h1_premium,asymmetry,small_aligned_n,small_opposed_n,h1_aligned_n,h1_opposed_n,eligible,positive
2022,27544,0.04135852758672333,,,2754,2880,0,0,False,False
2023,64970,0.06878283472470693,-0.36910837859345547,0.4378912133181624,5392,4954,237,205,True,True
2024,66602,0.051402131736145204,-0.2122484360585329,0.2636505677946781,5561,4806,339,251,True,True
2025,66664,0.08497613209429863,0.11716608527203778,-0.03218995317773915,6909,5625,440,338,True,False
2026,37625,-0.02135479006357753,-0.13304508964785855,0.11169029958428102,2800,2957,179,172,True,True
