type,key,n,aligned_n,opposed_n,aligned_mean,opposed_mean,premium
DIR,BUY,7117,954,250,-0.06488272985569833,0.2506021477327669,-0.3154848775884652
DIR,SELL,5938,241,716,-0.08857485997914875,-0.027873535424295624,-0.06070132455485313
YEAR,2022,0,0,0,,,
YEAR,2023,2910,237,205,-0.19876087558336336,0.17034750301009208,-0.36910837859345547
YEAR,2024,3829,339,251,-0.04734499017744021,0.1649034458810927,-0.2122484360585329
YEAR,2025,4031,440,338,-0.028330906436725097,-0.14549699170876287,0.11716608527203778
YEAR,2026,2285,179,172,-0.04258540514940048,0.09045968449845807,-0.13304508964785855
