state,horizon_h,metric,comparator,observed,ci_lo,ci_hi,p_positive,n_a,n_b,weeks,confirmed
EXPANSION,4,range_atr_4h,RANGE,0.025416423048187475,-0.1395685782433266,0.1771021935294693,0.6326,190,79,177,False
EXPANSION,8,range_atr_8h,RANGE,0.03882241871505743,-0.14703833506488645,0.2120426334905507,0.6686,182,78,175,False
EXPANSION,12,range_atr_12h,RANGE,0.08240811133428161,-0.11033207807882195,0.27798917535549517,0.807,175,77,174,False
EXPANSION,24,range_atr_24h,RANGE,0.20490125933301728,-0.08352320524653115,0.4859331570987041,0.9098,162,71,168,False
EXPANSION,48,range_atr_48h,RANGE,-0.045623119047403904,-0.4783349548369285,0.37407581796539785,0.4128,130,60,152,False
PULLBACK,4,bias_follow_4h,0.50,0.04634146341463419,-0.019806930693069325,0.11422372167884096,0.9102,205,0,154,False
PULLBACK,8,bias_follow_8h,0.50,0.02941176470588236,-0.041871921182266014,0.10301507537688437,0.7794,204,0,154,False
PULLBACK,12,bias_follow_12h,0.50,-0.002487562189054715,-0.07635467980295568,0.06999999999999995,0.4622,201,0,154,False
PULLBACK,24,bias_follow_24h,0.50,-0.03038674033149169,-0.10555952380952383,0.0393258426966292,0.177,181,0,146,False
PULLBACK,48,bias_follow_48h,0.50,0.07333333333333336,-0.010207600281491917,0.1530680272108842,0.9584,150,0,135,False
REVERSAL,4,momentum_flip_4h,EXPANSION,0.007936507936507964,-0.47549907456372287,0.49186182669789213,0.5138221153846154,6,126,108,False
REVERSAL,8,momentum_flip_8h,EXPANSION,0.20903954802259883,-0.25,0.5862068965517242,0.8403125626127028,6,118,104,False
REVERSAL,12,momentum_flip_12h,EXPANSION,0.17117117117117114,-0.286002621231979,0.550049590875279,0.799959831291424,6,111,98,False
REVERSAL,24,momentum_flip_24h,EXPANSION,0.2646464646464647,-0.18181818181818182,0.5234472049689437,0.8979468599033816,5,99,88,False
REVERSAL,48,momentum_flip_48h,EXPANSION,-0.21890547263681598,-0.6363636363636364,0.47887323943661975,0.20796272765777213,3,67,62,False
RANGE,4,contained_1atr_4h,EXPANSION,0.07754830113257827,-0.024173310978638833,0.17754179702475667,0.936,79,190,177,False
RANGE,8,contained_1atr_8h,EXPANSION,0.09890109890109888,-0.029619486290397436,0.22349086872382767,0.9362,78,182,175,False
RANGE,12,contained_1atr_12h,EXPANSION,0.06129870129870135,-0.0611825892100858,0.18744429839245202,0.8338,77,175,174,False
RANGE,24,contained_1atr_24h,EXPANSION,-0.0028690662493479346,-0.09123294984055197,0.08827164463379712,0.4566,71,162,168,False
RANGE,48,contained_1atr_48h,EXPANSION,-0.014102564102564105,-0.056,0.03276480361409793,0.266,60,130,152,False
