regime,purity_class,episodes,share_within_state
EXPANSION,INHERITED_CONFLICT,46,0.22885572139303484
EXPANSION,STRONG_PURE,127,0.6318407960199005
EXPANSION,WEAK_PURE,28,0.13930348258706468
PULLBACK,INHERITED_CONFLICT,24,0.07547169811320754
PULLBACK,STRONG_PURE,282,0.8867924528301887
PULLBACK,WEAK_PURE,12,0.03773584905660377
RANGE,INHERITED_CONFLICT,18,0.2222222222222222
RANGE,STRONG_PURE,63,0.7777777777777778
REVERSAL,INHERITED_CONFLICT,4,0.4
REVERSAL,STRONG_PURE,6,0.6
