state,horizon_h,year,metric,comparator,n_a,n_b,effect,positive
PULLBACK,8,2026,bias_follow_8h,0.50,23,0,0.15217391304347827,True
PULLBACK,12,2022,bias_follow_12h,0.50,23,0,-0.10869565217391303,False
PULLBACK,12,2023,bias_follow_12h,0.50,48,0,-0.0625,False
PULLBACK,12,2024,bias_follow_12h,0.50,51,0,-0.04901960784313725,False
PULLBACK,12,2025,bias_follow_12h,0.50,56,0,0.0535714285714286,True
PULLBACK,12,2026,bias_follow_12h,0.50,23,0,0.19565217391304346,True
PULLBACK,24,2022,bias_follow_24h,0.50,21,0,-0.16666666666666669,False
PULLBACK,24,2023,bias_follow_24h,0.50,43,0,-0.08139534883720928,False
PULLBACK,24,2024,bias_follow_24h,0.50,46,0,-0.06521739130434784,False
PULLBACK,24,2025,bias_follow_24h,0.50,49,0,0.010204081632653073,True
PULLBACK,24,2026,bias_follow_24h,0.50,22,0,0.18181818181818177,True
PULLBACK,48,2022,bias_follow_48h,0.50,19,0,0.07894736842105265,True
PULLBACK,48,2023,bias_follow_48h,0.50,35,0,0.0714285714285714,True
PULLBACK,48,2024,bias_follow_48h,0.50,34,0,0.0,False
PULLBACK,48,2025,bias_follow_48h,0.50,43,0,0.12790697674418605,True
PULLBACK,48,2026,bias_follow_48h,0.50,19,0,0.07894736842105265,True
REVERSAL,4,2022,momentum_flip_4h,EXPANSION,1,10,-0.6,False
REVERSAL,4,2023,momentum_flip_4h,EXPANSION,2,29,0.4137931034482759,True
REVERSAL,4,2024,momentum_flip_4h,EXPANSION,2,37,0.1216216216216216,True
REVERSAL,4,2025,momentum_flip_4h,EXPANSION,1,36,-0.5,False
REVERSAL,4,2026,momentum_flip_4h,EXPANSION,0,14,,False
REVERSAL,8,2022,momentum_flip_8h,EXPANSION,1,10,0.7,True
REVERSAL,8,2023,momentum_flip_8h,EXPANSION,2,26,0.34615384615384615,True
REVERSAL,8,2024,momentum_flip_8h,EXPANSION,2,34,0.08823529411764708,True
REVERSAL,8,2025,momentum_flip_8h,EXPANSION,1,34,-0.4117647058823529,False
REVERSAL,8,2026,momentum_flip_8h,EXPANSION,0,14,,False
REVERSAL,12,2022,momentum_flip_12h,EXPANSION,1,10,0.6,True
REVERSAL,12,2023,momentum_flip_12h,EXPANSION,2,25,0.31999999999999995,True
REVERSAL,12,2024,momentum_flip_12h,EXPANSION,2,30,0.13333333333333336,True
REVERSAL,12,2025,momentum_flip_12h,EXPANSION,1,32,-0.53125,False
REVERSAL,12,2026,momentum_flip_12h,EXPANSION,0,14,,False
REVERSAL,24,2022,momentum_flip_24h,EXPANSION,1,10,0.5,True
REVERSAL,24,2023,momentum_flip_24h,EXPANSION,2,25,0.36,True
REVERSAL,24,2024,momentum_flip_24h,EXPANSION,2,27,-0.05555555555555558,False
REVERSAL,24,2025,momentum_flip_24h,EXPANSION,0,26,,False
REVERSAL,24,2026,momentum_flip_24h,EXPANSION,0,11,,False
REVERSAL,48,2022,momentum_flip_48h,EXPANSION,1,5,-0.2,False
REVERSAL,48,2023,momentum_flip_48h,EXPANSION,1,15,-0.5333333333333333,False
REVERSAL,48,2024,momentum_flip_48h,EXPANSION,1,19,0.3157894736842105,True
REVERSAL,48,2025,momentum_flip_48h,EXPANSION,0,18,,False
REVERSAL,48,2026,momentum_flip_48h,EXPANSION,0,10,,False
RANGE,4,2022,contained_1atr_4h,EXPANSION,5,17,0.03529411764705892,True
RANGE,4,2023,contained_1atr_4h,EXPANSION,15,40,-0.1166666666666667,False
RANGE,4,2024,contained_1atr_4h,EXPANSION,27,53,0.26554856743535993,True
RANGE,4,2025,contained_1atr_4h,EXPANSION,20,57,-0.10701754385964912,False
RANGE,4,2026,contained_1atr_4h,EXPANSION,12,23,0.30434782608695654,True
RANGE,8,2022,contained_1atr_8h,EXPANSION,5,17,0.07058823529411762,True
RANGE,8,2023,contained_1atr_8h,EXPANSION,15,37,0.01981981981981984,True
RANGE,8,2024,contained_1atr_8h,EXPANSION,26,50,0.2892307692307693,True
RANGE,8,2025,contained_1atr_8h,EXPANSION,20,55,-0.16363636363636358,False
RANGE,8,2026,contained_1atr_8h,EXPANSION,12,23,0.2717391304347826,True
RANGE,12,2022,contained_1atr_12h,EXPANSION,5,17,0.24705882352941172,True
RANGE,12,2023,contained_1atr_12h,EXPANSION,15,36,-0.016666666666666663,False
RANGE,12,2024,contained_1atr_12h,EXPANSION,26,46,0.17892976588628767,True
RANGE,12,2025,contained_1atr_12h,EXPANSION,19,53,-0.1668321747765641,False
RANGE,12,2026,contained_1atr_12h,EXPANSION,12,23,0.23550724637681164,True
