state,horizon_h,metric,strong_n,not_strong_n,strong_mean,not_strong_mean,effect,ci_lo,ci_hi,p_positive,n_eligible,positive,confirmed_positive
EXPANSION,4,range_atr_4h,119,71,0.9565983931537413,1.0162908146935379,-0.05969242153979659,-0.25566696349049206,0.12453469391536073,0.2712,True,False,False
EXPANSION,8,range_atr_8h,111,71,1.412960854662704,1.380673482336853,0.032287372325850994,-0.18622935294084578,0.24643262430505472,0.6258,True,True,False
EXPANSION,12,range_atr_12h,105,70,1.7245985242617103,1.7589713131513747,-0.03437278888966433,-0.25956120705033997,0.1906931580999313,0.3704,True,False,False
EXPANSION,24,range_atr_24h,97,65,2.695418382076511,2.6271774571053728,0.0682409249711382,-0.3067949788380208,0.43812738705133913,0.6394,True,True,False
EXPANSION,48,range_atr_48h,79,51,3.7590146108304396,3.7626059658967828,-0.003591355066343116,-0.5266070638399727,0.5163477024488424,0.5086,True,False,False
PULLBACK,4,bias_follow_4h,187,18,0.5294117647058824,0.7222222222222222,-0.19281045751633985,-0.40011941450751703,0.060232818008190706,0.0636,False,False,False
PULLBACK,8,bias_follow_8h,186,18,0.5,0.8333333333333334,-0.33333333333333337,-0.5121805103010554,-0.11353159453036739,0.0038,False,False,False
PULLBACK,12,bias_follow_12h,183,18,0.48633879781420764,0.6111111111111112,-0.12477231329690353,-0.3684029896874951,0.13002825797872342,0.1626,False,False,False
PULLBACK,24,bias_follow_24h,164,17,0.4634146341463415,0.5294117647058824,-0.06599713055954087,-0.31948302209038404,0.18693864696526183,0.2998,False,False,False
PULLBACK,48,bias_follow_48h,135,15,0.562962962962963,0.6666666666666666,-0.10370370370370363,-0.3488475177304965,0.16762926439232403,0.2144,False,False,False
REVERSAL,4,momentum_flip_4h,3,3,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-1.0,0.5,0.1485148514851485,False,False,False
REVERSAL,8,momentum_flip_8h,3,3,0.6666666666666666,0.6666666666666666,0.0,-0.8,0.8,0.38510858324715613,False,False,False
REVERSAL,12,momentum_flip_12h,3,3,0.6666666666666666,0.6666666666666666,0.0,-0.8,0.75,0.3808641975308642,False,False,False
REVERSAL,24,momentum_flip_24h,3,2,0.6666666666666666,1.0,-0.33333333333333337,-1.0,0.0,0.0,False,False,False
REVERSAL,48,momentum_flip_48h,1,2,0.0,0.5,-0.5,-1.0,0.0,0.0,False,False,False
RANGE,4,contained_1atr_4h,62,17,0.8064516129032258,0.9411764705882353,-0.13472485768500952,-0.27146103896103896,0.02966593155272384,0.05,False,False,False
RANGE,8,contained_1atr_8h,61,17,0.5573770491803278,0.8235294117647058,-0.266152362584378,-0.4791699016563147,-0.02258536889332025,0.0172,False,False,False
RANGE,12,contained_1atr_12h,60,17,0.36666666666666664,0.5882352941176471,-0.22156862745098044,-0.4761547619047619,0.037514880952380716,0.0472,False,False,False
RANGE,24,contained_1atr_24h,54,17,0.14814814814814814,0.058823529411764705,0.08932461873638343,-0.07643852805999031,0.22413793103448276,0.8718,False,True,False
RANGE,48,contained_1atr_48h,45,15,0.022222222222222223,0.0,0.022222222222222223,0.0,0.07317073170731707,0.6382,False,True,False
